sample	group	ploidy_class	embedded_ploidy	ploidy	ploidy_stat	ploidy_stat_label	ploidy_source	analysis_cloneid_origin	origin_resolution_status	origin_resolution_distance_edges	origin_resolution_mrca	ploidy_status	model_type	control_mean	slope	lower_limit	upper_limit	ec50_uM	ic50_uM	log10_ec50_uM	log10_ic50_uM	auc_metric	auc_norm_log10dose	auc_norm_log10dose_common_range	auc_norm_log10dose_full_observed_range	auc_integration_min_uM	auc_integration_max_uM	full_auc_integration_min_uM	full_auc_integration_max_uM	positive_dose_min_uM	positive_dose_max_uM	n_positive_doses	n_observations	group_pair_label
HGC-27_MRCA_harvest	HGC	Low	2.594	3.14258718660847	mean	mean	cloneid_genome_perspective	HGC-27_MRCA_harvest	exact_mapped_genome_perspective	0	HGC-27_MRCA_harvest	ok	LL.4	2055000	1.06787634004384	-0.101312454389317	1.02786167561056	0.379997767823594	0.336354338640145	-0.420218954500934	-0.473202965973386	normalized_response_auc_log10dose_common_0p005_0p9_uM	1.74582625344381	1.74582625344381	1.7959040657826	0.005	0.9	0.005	5	0.005	5	11	24	HGC-27: 3.1N vs. 3.2N
HGC-27_G1_A10_harvesT3	HGC	High	2.814	3.24002981121058	mean	mean	cloneid_genome_perspective	HGC-27_G1_A9_harvesT155	nearest_pedigree_genome_perspective	2	HGC-27_G1_A9_harvesT155	ok	LL.4	2755000	2.67560274017183	0.123345162609202	1.0270966803608	0.0578449964206701	0.065587113953204	-1.23773420146371	-1.18318147905031	normalized_response_auc_log10dose_common_0p005_0p9_uM	1.23924677745031	1.23924677745031	1.33119919149415	0.005	0.9	0.005	5	0.005	5	11	24	HGC-27: 3.1N vs. 3.2N
MDA-MB-231_O1_A23-K_harvest	MDA	Low	3.43	4.2564460599923	mean	mean	cloneid_genome_perspective	MDA-MB-231_O1_A23-K_harvest	exact_mapped_genome_perspective	0	MDA-MB-231_O1_A23-K_harvest	ok	LL.4	3555000	0.912925125496972	0.583429478109157	1.05922754839765	1.41847922086642	NA	0.151822978250202	NA	normalized_response_auc_log10dose_common_0p005_0p9_uM	2.27541526165485	2.27541526165485	2.85639704694741	0.005	0.9	0.005	5	0.005	5	11	24	MDA-MB-231: 4.3N vs. 4.5N
MDA-MB-231_G2_A3_harvesT8	MDA	High	4.249	4.46978632843667	mean	mean	cloneid_genome_perspective	MDA-MB-231_G2_A4_seed	nearest_pedigree_genome_perspective	1	MDA-MB-231_G2_A3_harvesT8	ok	LL.4	3030000	1.88118921637701	0.694426174161733	0.987817082872607	0.611772020910349	NA	-0.213410389139676	NA	normalized_response_auc_log10dose_common_0p005_0p9_uM	2.15189179841266	2.15189179841266	2.69448600824342	0.005	0.9	0.005	5	0.005	5	11	24	MDA-MB-231: 4.3N vs. 4.5N
SNU-668_P1_A19kT_harvest	SNU	Low	2.462	2.6439661686584	mean	mean	cloneid_genome_perspective	SNU-668_P1_A18K_seed	nearest_pedigree_genome_perspective	3	SNU-668_P1_A17k_harvest	ok	LL.4	1530000	2.92181692553113	0.233539514441899	1.09567680261178	0.0187867114235341	0.0247414930995384	-1.72614923563166	-1.60657409511418	normalized_response_auc_log10dose_common_0p005_0p9_uM	1.02497142283376	1.02497142283376	1.19889628714213	0.005	0.9	0.005	5	0.005	5	11	24	SNU-668: 2.6N vs. 2.9N
SNU-668_r2_GFP_VT_A7_harvesT3	SNU	High	4.726	2.92137790322248	mean	mean	cloneid_genome_perspective	SNU-668_r2_A55_seedT1	nearest_pedigree_genome_perspective	24	SNU-668_r2_A55_seedT1	ok	LL.4	1910000	2.93859083421058	0.223872526230306	1.0142621502859	0.0537391917286998	0.0664045667578392	-1.26970886991635	-1.17780205241617	normalized_response_auc_log10dose_common_0p005_0p9_uM	1.32011831367396	1.32011831367396	1.48687171009627	0.005	0.9	0.005	5	0.005	5	11	24	SNU-668: 2.6N vs. 2.9N
SUM159_NLS_2N_O1_A7K_harvest	SUM	Low	1.996	2.15918128360122	mean	mean	cloneid_genome_perspective	SUM159_NLS_2N_O1_A7K_harvest	exact_mapped_genome_perspective	0	SUM159_NLS_2N_O1_A7K_harvest	ok	LL.4	2990000	3.80356611819931	0.0195646862033187	0.999990605193106	0.103459411682741	0.104550765155342	-0.985229995515819	-0.980672784448158	normalized_response_auc_log10dose_common_0p005_0p9_uM	1.33413933514031	1.33413933514031	1.34873954632493	0.005	0.9	0.005	5	0.005	5	11	24	SUM-159: 2.2N vs. 3.9N
SUM-159_NLS_2N_O2_A24_seedT2	SUM	High	3.726	3.88616087506525	mean	mean	cloneid_genome_perspective	SUM-159_NLS_2N_O2_A19_seed	nearest_pedigree_genome_perspective	11	SUM-159_NLS_2N_O2_A19_seed	ok	LL.4	2755000	4.04515186596427	0.0201956160650953	1.00141222929191	0.0991235950299535	0.100209937507897	-1.00382295528657	-0.99908920869987	normalized_response_auc_log10dose_common_0p005_0p9_uM	1.31837428216169	1.31837428216169	1.33342852933169	0.005	0.9	0.005	5	0.005	5	11	24	SUM-159: 2.2N vs. 3.9N
SUM-159_2N	SUMOld	Low	2.009975	2.009975	mean	mean	embedded_fallback		target_not_in_passaging	NA	NA	target_not_in_passaging	LL.4	2940000	6.00385566460288	0.00791156652920941	0.974702426356076	0.015856962749679	0.0157626293503155	-1.79977999402808	-1.80237133652368	normalized_response_auc_log10dose_common_0p005_0p9_uM	0.502515056241106	0.502515056241106	0.648209946301735	0.005	0.9	0.0035435	0.9	0.0035435	0.9	9	20	SUM-159: 2.0N vs. 3.5N
SUM-159_4N	SUMOld	High	3.49593528659252	3.49593528659252	mean	mean	embedded_fallback		target_not_in_passaging	NA	NA	target_not_in_passaging	LL.4	2985000	2.10236823963831	0.0191814151244367	1.00833974877825	0.04932897683979	0.0506545311043647	-1.30689789239193	-1.29538170043978	normalized_response_auc_log10dose_common_0p005_0p9_uM	1.02781194372351	1.02781194372351	1.17774621889416	0.005	0.9	0.0035435	0.9	0.0035435	0.9	9	20	SUM-159: 2.0N vs. 3.5N
