Feature_ID,Metabolite,log2FC_2N_G_vs_C,FC_2N_G_vs_C,log2FC_4N_G_vs_C,FC_4N_G_vs_C,Differential_response_delta_log2FC_2N_minus_4N,p_interaction,FDR_interaction_BH
5-Methyltetrahydrofolic acid | row_0,5-Methyltetrahydrofolic acid,0.8333959788198193,1.7818748081351128,1.6375309974413312,3.111329086666349,-0.8041350186215119,0.015861809143832957,0.08752244927185802
Uridine | row_1,Uridine,-1.2058517866746854,0.43351331587436853,0.366349897224989,1.2890872352570715,-1.5722016838996744,0.05002311737700551,0.1788705409238379
Uridine | row_2,Uridine,-0.40210114077972037,0.7567553419541159,0.5868025180151797,1.5019143247073514,-0.9889036587949,0.2718913476041083,0.5092568097981711
Guanosine | row_3,Guanosine,-0.7714561469336907,0.5858258879033698,0.7901030446101878,1.7291979663098966,-1.5615591915438785,0.263127869147961,0.5069238948483167
5-Methyltetrahydrofolic acid | row_4,5-Methyltetrahydrofolic acid,0.6249159739156163,1.5421210058967807,1.23157118443374,2.3482258701096117,-0.6066552105181238,0.09384584567885032,0.2636621378596271
Trimethyl N-Oxide,Trimethyl N-Oxide,-0.24615327198647208,0.8431415300973604,-0.6331183002777436,0.6447812514173651,0.38696502829127155,0.08205953971114135,0.24273587811487138
Adenosine,Adenosine,-1.3852868947804282,0.3828133653200363,0.8303564906601757,1.7781246835439082,-2.215643385440604,0.0010411954366520866,0.015853040196767254
Guanosine | row_7,Guanosine,-0.6402786727876055,0.6415890066724068,1.1820588982431772,2.269003600396123,-1.8223375710307828,0.1950613650327772,0.43159723456440613
Galactarate;D-Saccharic acid,Galactarate;D-Saccharic acid,-1.2082635577588086,0.4327892117357928,-0.49045223574762886,0.7118019371650933,-0.7178113220111797,0.024671243852079423,0.11145306648843042
Isovalerylcarnitine | row_9,Isovalerylcarnitine,0.0887715339290196,1.0634642487073784,0.6903777214347215,1.6137059580636417,-0.6016061875057019,0.006652925928171243,0.05064808125962623
Phenol sulfate,Phenol sulfate,-0.5267642971299313,0.6941097516608018,0.6496074496568731,1.5687412907986302,-1.1763717467868045,0.0004904816039920356,0.009190981825086826
Isovalerylcarnitine | row_11,Isovalerylcarnitine,0.10467708476854831,1.0752536918716702,0.7312199069529832,1.6600421886149204,-0.6265428221844349,0.01657498960686496,0.08752244927185802
Propionylcarnitine | row_12,Propionylcarnitine,-0.5818037352798306,0.6681279253612289,-0.13747926236837316,0.9091061971360251,-0.4443244729114575,0.04595989072012337,0.16974329838571633
Myristoyl-L-carnitine | row_13,Myristoyl-L-carnitine,-1.1604366630660863,0.4473771065476763,-0.21553823368039815,0.8612247981920422,-0.9448984293856881,0.016688602615396658,0.08752244927185802
N-Alpha-Acetyl-L-Asparagine,N-Alpha-Acetyl-L-Asparagine,-0.8386366488797776,0.5591717383979593,-0.14820794965464046,0.902370650637994,-0.6904286992251372,0.0007479462391036135,0.012990094959935536
dAMP | row_15,dAMP,-4.137882996896829,0.056803238854982084,-1.66828427429558,0.3146272918709348,-2.4695987226012495,0.00027508089214644697,0.006491909054656149
Xanthosine 5'-monophosphate | row_16,Xanthosine 5'-monophosphate,-1.1659553482996046,0.4456690412810981,-0.4649204239250082,0.7245110387059556,-0.7010349243745964,0.13820088513345602,0.34882790258284085
L-Sorbose;Myo-inositol;Mannose;Allose;D-Psicose;chiro-Inositol,L-Sorbose;Myo-inositol;Mannose;Allose;D-Psicose;chiro-Inositol,-1.039813461572578,0.4863903592257727,-0.03684785351232733,0.9747824259369731,-1.0029656080602507,7.458021317076676e-05,0.002514418615471565
Lauroylcarnitine;Lauroyl-L-carnitine,Lauroylcarnitine;Lauroyl-L-carnitine,-1.2963206092310777,0.40716328783342026,-0.6987918010967853,0.6160879394879796,-0.5975288081342924,0.1626166654328231,0.39361572350919233
Inosine | row_19,Inosine,-0.28783654473855336,0.8191294987900627,0.5012114836374373,1.4154016278355048,-0.7890480283759906,0.421732937536646,0.6421224081203125
Decanoyl-L-carnitine | row_20,Decanoyl-L-carnitine,-1.1265202774294742,0.4580191176506294,-0.6170385412826747,0.6520079491467694,-0.5094817361467996,0.2701141621679888,0.5092568097981711
Inosine | row_21,Inosine,-0.15659510049368208,0.8971399110906995,0.4851308382365218,1.3997128000097028,-0.6417259387302039,0.4941471825107705,0.7192601134096207
Beta-Alanine | row_22,Beta-Alanine,-1.3241177099513592,0.39939337026191246,-0.27777671059326536,0.8248612044980547,-1.0463409993580939,6.348535565356025e-05,0.002514418615471565
Myristoyl-L-carnitine | row_23,Myristoyl-L-carnitine,-0.8506205199665224,0.5545461679563716,-0.2323565165958179,0.8512433238046239,-0.6182640033707045,0.11581201421144734,0.30368483726557305
Beta-Alanine | row_24,Beta-Alanine,-1.4956829687088415,0.35461292631690766,-0.32073255089032315,0.8006632251260074,-1.1749504178185184,7.44943154114413e-07,0.0003516131687420029
Arachidonic acid,Arachidonic acid,0.4727880453049629,1.3877888159345537,1.7576953105559916,3.38157490363286,-1.2849072652510287,0.02816523965272845,0.11869636710792704
Hexanoyl-L-carnitine,Hexanoyl-L-carnitine,-0.5709994777704779,0.6731502783065778,0.023417047645427402,1.016363906334128,-0.5944165254159053,0.016448332051513664,0.08752244927185802
Decanoyl-L-carnitine | row_27,Decanoyl-L-carnitine,-0.8161886629444091,0.5679403573016943,-0.47614316619378627,0.7188969229723887,-0.3400454967506228,0.31745794855335724,0.5549635248784616
Glucose 6-phosphate | row_28,Glucose 6-phosphate,-0.047879133065276136,0.9673573700411626,0.18389338479900275,1.1359453152964818,-0.23177251786427888,0.464003224916651,0.6887091891844632
N-Acetyl-L-Methionine | row_29,N-Acetyl-L-Methionine,-1.5306132717117116,0.3461302001090579,-0.9593333955301517,0.5142944907823567,-0.5712798761815598,0.04209917222282284,0.16024846200945467
2-Oxo-4-methylthiobutanoic acid,2-Oxo-4-methylthiobutanoic acid,-0.9250818629397415,0.5266506333579721,-0.335627775268474,0.7924392390448477,-0.5894540876712675,0.008841771687592358,0.06048284400787816
Urocanate,Urocanate,-0.3407143059917068,0.7896502440741275,0.48078647041405986,1.3955042038449077,-0.8215007764057667,0.3431491847869571,0.5743489901398715
Glucose 6-phosphate | row_32,Glucose 6-phosphate,0.07620783343850945,1.0542432857561008,0.20414362542603826,1.1520023225721718,-0.1279357919875288,0.6808666611777223,0.8285032041973338
Phosphocholine | row_33,Phosphocholine,-0.12860477591777197,0.9147156401187371,-0.09123010891893557,0.9387220098253746,-0.0373746669988364,0.7444998066843908,0.8549973449027553
N-Acetyl-D-Glucosamine;N-Acetyl-D-Galactosamine,N-Acetyl-D-Glucosamine;N-Acetyl-D-Galactosamine,-0.3063989029532195,0.8086577248339499,0.35704012170978316,1.2807954800770045,-0.6634390246630026,0.2997636666228229,0.5368999119047594
N-Acetyl-Glucosamine-6-phosphate | row_35,N-Acetyl-Glucosamine-6-phosphate,-0.3808712480025136,0.7679736688995293,-0.13827045276605432,0.9086077696238252,-0.24260079523645928,0.31864464046314944,0.5549825472273304
2'-Deoxycytidine 5'-monophosphate,2'-Deoxycytidine 5'-monophosphate,-1.7494164141948527,0.29742206487441153,-0.635749651168819,0.6436062980521614,-1.1136667630260337,0.006325256900867438,0.04894297142966281
1-Oleoyl-rac-Glycerol,1-Oleoyl-rac-Glycerol,-0.0601571066568809,0.9591596630340569,0.20770425169592244,1.1548490195827834,-0.26786135835280334,0.3722095683675371,0.5966585100222457
Octanoyl-L-carnitine,Octanoyl-L-carnitine,-0.6447704048145582,0.6395945697017702,-0.2783581751106752,0.8245288190202229,-0.366412229703883,0.1685347328133311,0.39601259733462457
Palmitoylcarnitine,Palmitoylcarnitine,-0.7267628222805129,0.6042582530231175,-0.15365769481840275,0.8989683976271137,-0.5731051274621102,0.06359800125645337,0.2056044972126438
Phosphocholine | row_40,Phosphocholine,-0.06728876706784348,0.954429958152773,-0.6583636183021682,0.633596548582715,0.5910748512343247,0.3418133355144544,0.5743489901398715
