Feature_ID,Metabolite,oneway_F,oneway_p,oneway_FDR_BH
5-Methyltetrahydrofolic acid | row_0,5-Methyltetrahydrofolic acid,81.19643249189433,3.0772692659594987e-08,1.2103925779440694e-06
Uridine | row_1,Uridine,6.261485902221739,0.008390313210777775,0.017069947566754784
Uridine | row_2,Uridine,4.165874959227476,0.030817852262234387,0.05176521803478516
Guanosine | row_3,Guanosine,0.7776739579617221,0.5287108098865778,0.5658764223729359
5-Methyltetrahydrofolic acid | row_4,5-Methyltetrahydrofolic acid,44.60050809743867,8.787755099385668e-07,1.0116635138804963e-05
Trimethyl N-Oxide,Trimethyl N-Oxide,147.35502286453843,9.877753628102592e-10,7.186507135342588e-08
Adenosine,Adenosine,7.809219889978017,0.0037293510304055384,0.008714127160155514
Guanosine | row_7,Guanosine,1.0411912711231925,0.40957347277449946,0.45486748035191465
Galactarate;D-Saccharic acid,Galactarate;D-Saccharic acid,43.75107111703781,9.761812468772178e-07,1.0715291826187135e-05
Isovalerylcarnitine | row_9,Isovalerylcarnitine,69.43143922640867,7.480614535677798e-08,1.6049318458363276e-06
Phenol sulfate,Phenol sulfate,24.90859060049039,1.9320572592481277e-05,0.00012665708699515502
Isovalerylcarnitine | row_11,Isovalerylcarnitine,41.66081767153239,1.2746650155319965e-06,1.3098572151992633e-05
Propionylcarnitine | row_12,Propionylcarnitine,54.241042335124625,2.9858034172206894e-07,4.546126493316662e-06
Myristoyl-L-carnitine | row_13,Myristoyl-L-carnitine,16.634079504840784,0.00014210252425872217,0.0005732683029924518
N-Alpha-Acetyl-L-Asparagine,N-Alpha-Acetyl-L-Asparagine,77.44780117855993,4.0271528128376175e-08,1.2672107517729036e-06
dAMP | row_15,dAMP,55.93500515835492,2.516150279920766e-07,3.958743107075338e-06
Xanthosine 5'-monophosphate | row_16,Xanthosine 5'-monophosphate,11.608133080490747,0.0007337741768841303,0.0021379099474648734
L-Sorbose;Myo-inositol;Mannose;Allose;D-Psicose;chiro-Inositol,L-Sorbose;Myo-inositol;Mannose;Allose;D-Psicose;chiro-Inositol,50.91278403772326,4.2419922253664935e-07,5.6058744844261475e-06
Lauroylcarnitine;Lauroyl-L-carnitine,Lauroylcarnitine;Lauroyl-L-carnitine,15.967227589277725,0.0001724853467864716,0.0006673203580591362
Inosine | row_19,Inosine,1.0850190338275894,0.3926024819849971,0.43956791300479836
Decanoyl-L-carnitine | row_20,Decanoyl-L-carnitine,11.576745287941517,0.0007424790655530701,0.0021500007296996874
Inosine | row_21,Inosine,1.065645412636548,0.4000116790593451,0.44634872935227154
Beta-Alanine | row_22,Beta-Alanine,59.82713683444434,1.728184670814834e-07,2.913225587945006e-06
Myristoyl-L-carnitine | row_23,Myristoyl-L-carnitine,10.375267897894712,0.0011875315683465106,0.0031489601138177136
Beta-Alanine | row_24,Beta-Alanine,124.69154188231576,2.608860177451383e-09,1.3682022263967252e-07
Arachidonic acid,Arachidonic acid,8.763880409668351,0.002374892732804628,0.00586884486850149
Hexanoyl-L-carnitine,Hexanoyl-L-carnitine,23.808398050706238,2.432006473913162e-05,0.00014716757124192466
Decanoyl-L-carnitine | row_27,Decanoyl-L-carnitine,16.33712289717694,0.00015478932460076582,0.0006139542958954746
Glucose 6-phosphate | row_28,Glucose 6-phosphate,13.819562923660433,0.00033710639200613236,0.0011205226551189752
N-Acetyl-L-Methionine | row_29,N-Acetyl-L-Methionine,49.38503109198434,5.019715528045681e-07,6.0641416270797e-06
2-Oxo-4-methylthiobutanoic acid,2-Oxo-4-methylthiobutanoic acid,41.60762199727096,1.2835506765040152e-06,1.3098572151992633e-05
Urocanate,Urocanate,1.0143285894084075,0.420352105520443,0.4635658733776848
Glucose 6-phosphate | row_32,Glucose 6-phosphate,14.502601806007593,0.00027018388031310617,0.000931002145000192
Phosphocholine | row_33,Phosphocholine,115.47000821837985,4.071346631131341e-09,1.921675609893993e-07
N-Acetyl-D-Glucosamine;N-Acetyl-D-Galactosamine,N-Acetyl-D-Glucosamine;N-Acetyl-D-Galactosamine,1.9157424241785463,0.18090000387661678,0.22830160917048964
N-Acetyl-Glucosamine-6-phosphate | row_35,N-Acetyl-Glucosamine-6-phosphate,21.865695082924724,3.7356472711521646e-05,0.00020266959907860017
2'-Deoxycytidine 5'-monophosphate,2'-Deoxycytidine 5'-monophosphate,22.183231094975934,3.475154417440995e-05,0.0001952705815514464
1-Oleoyl-rac-Glycerol,1-Oleoyl-rac-Glycerol,12.823935140379525,0.00047259682050691744,0.0014772562866176492
Octanoyl-L-carnitine,Octanoyl-L-carnitine,18.336912646097826,8.89723360900404e-05,0.0003999518346142769
Palmitoylcarnitine,Palmitoylcarnitine,11.81156099308544,0.0006801544508763328,0.002006455630085182
Phosphocholine | row_40,Phosphocholine,4.549503791393427,0.023778932837523695,0.042194196613951816
N-Acetylglycine,N-Acetylglycine,79.80060605859421,3.39671585069658e-08,1.2332691396375277e-06
Deoxycarnitine | row_42,Deoxycarnitine,28.22498196164974,1.0139492072888701e-05,7.143045161796218e-05
5'-Deoxyadenosine;2'-Deoxyadenosine,5'-Deoxyadenosine;2'-Deoxyadenosine,28.469738702951595,9.693812178574416e-06,6.932544467101704e-05
7-Ketodeoxycholate,7-Ketodeoxycholate,21.866307629815903,3.7351232837088553e-05,0.00020266959907860017
O-Acetyl-L-carnitine,O-Acetyl-L-carnitine,33.65940873365427,4.014533708860101e-06,3.3836784117535136e-05
dAMP | row_46,dAMP,61.25098865527123,1.5148468476004065e-07,2.7759610302378486e-06
4-Aminobutanoate,4-Aminobutanoate,74.35031808273698,5.077523547410901e-08,1.3314395079877473e-06
Hypotaurine | row_48,Hypotaurine,50.812597767163325,4.28846509645919e-07,5.6058744844261475e-06
L-carnitine | row_49,L-carnitine,42.221467318033305,1.1852493373913561e-06,1.2714492892016366e-05
Xanthosine | row_50,Xanthosine,0.8221132519402714,0.5064352897144528,0.5445044572784095
Deoxycytidine | row_51,Deoxycytidine,2.4940701065481807,0.10969691593715611,0.15007809948503675
Orotate,Orotate,543.4368169320293,4.4488422665870224e-13,2.0998535498290745e-10
(R)-3-hydroxybutyrylcarnitine,(R)-3-hydroxybutyrylcarnitine,22.279212267306484,3.400628278352384e-05,0.0001933851261906416
L-carnitine | row_54,L-carnitine,19.567580796861638,6.479694849390896e-05,0.0003069728065295598
Glycine | row_55,Glycine,32.08043144851109,5.17953461107139e-06,4.143627688857112e-05
Hypotaurine | row_56,Hypotaurine,38.36719231242513,1.9911499200339594e-06,1.8796455245120577e-05
Eicosapentaenoic acid,Eicosapentaenoic acid,6.389333387361427,0.00781375991963625,0.016247113136864805
Tartaric acid;Meso-Tartrate,Tartaric acid;Meso-Tartrate,2.979792812902582,0.07393383698707941,0.10542831135317668
Cytidine 5'-Diphosphocholine (Citicoline) | row_59,Cytidine 5'-Diphosphocholine (Citicoline),22.07780775779648,3.55921741700536e-05,0.00019764124950900352
Aspartate | row_60,Aspartate,52.887233544328616,3.435764976904384e-07,5.067753340933966e-06
Deoxycarnitine | row_61,Deoxycarnitine,15.92493356463777,0.00017465527410826667,0.0006702218648707468
Cytidine | row_62,Cytidine,3.764628464206605,0.040898899217481285,0.06499757720757969
Pseudouridine | row_63,Pseudouridine,9.039519259417213,0.0020972898995342227,0.005210109645158701
Butyryl-L-carnitine;Isobutyryl-L-carnitine,Butyryl-L-carnitine;Isobutyryl-L-carnitine,11.91739569696988,0.0006540707969708539,0.0019416441268568744
Aspartate | row_65,Aspartate,61.14852784884988,1.5291310759784759e-07,2.7759610302378486e-06
Oleoyl-L-carnitine,Oleoyl-L-carnitine,2.902149580343718,0.07862807241904186,0.11078343337847092
Riboflavin,Riboflavin,1.0156227637761455,0.4198261234045272,0.4635658733776848
Proline betaine,Proline betaine,24.509049378485173,2.098333734674625e-05,0.0001351115307712393
D-Glucuronic acid;D-(+)-Galacturonic acid,D-Glucuronic acid;D-(+)-Galacturonic acid,14.315675326179926,0.0002868220561981551,0.0009739569102556059
6-Oxopiperidine-2-carboxylic acid | row_70,6-Oxopiperidine-2-carboxylic acid,51.10244022032039,4.155616433719223e-07,5.6058744844261475e-06
Succinic acid,Succinic acid,12.879629661291576,0.0004635138588663912,0.001458523609232911
D-Pantothenic acid | row_72,D-Pantothenic acid,49.17509993967827,5.139103073796356e-07,6.0641416270797e-06
Docosahexaenoic acid | row_73,Docosahexaenoic acid,4.606192197184107,0.02290537334033213,0.0409675449708346
4-Guanidinobutanoate | row_74,4-Guanidinobutanoate,75.00756872707349,4.8302213611311384e-08,1.3314395079877473e-06
Cytidine 5'-Diphosphocholine (Citicoline) | row_75,Cytidine 5'-Diphosphocholine (Citicoline),30.14316550047531,7.191163622319146e-06,5.474563273765543e-05
4-Hydroxyphenyl-2-propionic acid;Desaminotyrosine,4-Hydroxyphenyl-2-propionic acid;Desaminotyrosine,43.79486488535316,9.708611927494066e-07,1.0715291826187135e-05
Chenodeoxycholic acid (CDCA);Deoxycholate (DCA),Chenodeoxycholic acid (CDCA);Deoxycholate (DCA),4.380862295411613,0.02661507019364151,0.04652708567184738
L-Valine | row_78,L-Valine,1.4410938656099361,0.279609094597227,0.33243197141030517
Coenzyme A,Coenzyme A,22.699758363874274,3.095299724337893e-05,0.0001803680827021587
Trimethylacetic acid;Pentanoate,Trimethylacetic acid;Pentanoate,13.593874097398363,0.00036334044890294203,0.0011909492491818654
N-Acetylmuramate,N-Acetylmuramate,7.423076445687325,0.00452085152303692,0.010408984970114275
Ectoine,Ectoine,14.775976273030617,0.000247834070017559,0.0008929593973151746
Nicotinamide,Nicotinamide,1.720328907083366,0.2158509012759494,0.2646275984473977
Uridine 5'-monophosphate | row_84,Uridine 5'-monophosphate,10.519824921180165,0.001120086061505943,0.0030383943737402595
4-Guanidinobutanoate | row_85,4-Guanidinobutanoate,60.662409911703456,1.5990803139342334e-07,2.7954292895442896e-06
Citrulline | row_86,Citrulline,32.875395215349506,4.549802510194199e-06,3.7675557628274774e-05
Pipecolate,Pipecolate,4.254519973741628,0.02899806038240328,0.0492547694479131
O-Phosphorylethanolamine | row_88,O-Phosphorylethanolamine,71.94771867546135,6.116364882507204e-08,1.4123149649009736e-06
5-Oxo-D-Proline;5-Oxo-L-Proline,5-Oxo-D-Proline;5-Oxo-L-Proline,7.9541495724959494,0.003474792341322148,0.008159711368676886
Glycine | row_90,Glycine,23.672439432684065,2.5037187756045806e-05,0.0001495892736816914
Taurine | row_91,Taurine,71.60567740371548,6.283604716720434e-08,1.4123149649009736e-06
L-Histidine,L-Histidine,1.8606021313241845,0.19007197817214344,0.2367123316550177
N-Acetylcysteine,N-Acetylcysteine,16.935128238025932,0.00013046123480049462,0.0005401552879459075
