Feature_ID,Metabolite,log2FC_2N_G_vs_2N_C,p_2N_G_vs_2N_C,log2FC_4N_G_vs_4N_C,p_4N_G_vs_4N_C,Differential_response_2N_minus_4N,p_interaction,Order_category,Response_category,cat_order
5-Methyltetrahydrofolic acid | row_0,5-Methyltetrahydrofolic acid,0.8333959788198193,0.037106956473070184,1.6375309974413312,8.437421796409653e-06,-0.8041350186215119,0.015861809143832957,4N up,4N-specific response,2
Uridine | row_1,Uridine,-1.2058517866746854,0.07939669442738552,0.366349897224989,0.46898155231170774,-1.5722016838996744,0.05002311737700551,No strong response,No strong response,99
Uridine | row_2,Uridine,-0.40210114077972037,0.5656223339683417,0.5868025180151797,0.3508753939872326,-0.9889036587949,0.2718913476041083,No strong response,No strong response,99
Guanosine | row_3,Guanosine,-0.7714561469336907,0.47000272632032153,0.7901030446101878,0.4325446900315422,-1.5615591915438785,0.263127869147961,No strong response,No strong response,99
5-Methyltetrahydrofolic acid | row_4,5-Methyltetrahydrofolic acid,0.6249159739156163,0.10007885035054918,1.23157118443374,0.0014919145667695692,-0.6066552105181238,0.09384584567885032,4N up,4N-specific response,2
Trimethyl N-Oxide,Trimethyl N-Oxide,-0.24615327198647208,0.20334143052385445,-0.6331183002777436,0.0012279331908046163,0.38696502829127155,0.08205953971114135,No strong response,No strong response,99
Adenosine,Adenosine,-1.3852868947804282,0.015052670835758775,0.8303564906601757,0.13529913259763476,-2.215643385440604,0.0010411954366520866,2N down,2N-specific response,1
Guanosine | row_7,Guanosine,-0.6402786727876055,0.5740413602142607,1.1820588982431772,0.19020319119361054,-1.8223375710307828,0.1950613650327772,No strong response,No strong response,99
Galactarate;D-Saccharic acid,Galactarate;D-Saccharic acid,-1.2082635577588086,0.0031734332001397154,-0.49045223574762886,0.007491816046327862,-0.7178113220111797,0.024671243852079423,2N down,2N-specific response,1
Isovalerylcarnitine | row_9,Isovalerylcarnitine,0.0887715339290196,0.5923805810425256,0.6903777214347215,0.0012133009765822374,-0.6016061875057019,0.006652925928171243,No strong response,No strong response,99
Phenol sulfate,Phenol sulfate,-0.5267642971299313,0.01926427519830591,0.6496074496568731,0.01819358135564282,-1.1763717467868045,0.0004904816039920356,Interaction only,Differential response only,7
Isovalerylcarnitine | row_11,Isovalerylcarnitine,0.10467708476854831,0.5223421043128883,0.7312199069529832,0.004807813718421443,-0.6265428221844349,0.01657498960686496,No strong response,No strong response,99
Propionylcarnitine | row_12,Propionylcarnitine,-0.5818037352798306,0.01831151058455586,-0.13747926236837316,0.38142906631151696,-0.4443244729114575,0.04595989072012337,No strong response,No strong response,99
Myristoyl-L-carnitine | row_13,Myristoyl-L-carnitine,-1.1604366630660863,0.006020452124321655,-0.21553823368039815,0.4191510024126347,-0.9448984293856881,0.016688602615396658,2N down,2N-specific response,1
N-Alpha-Acetyl-L-Asparagine,N-Alpha-Acetyl-L-Asparagine,-0.8386366488797776,0.0009470122491645408,-0.14820794965464046,0.17116064824547939,-0.6904286992251372,0.0007479462391036135,No strong response,No strong response,99
dAMP | row_15,dAMP,-4.137882996896829,0.00014843961746259092,-1.66828427429558,0.0011229487750867902,-2.4695987226012495,0.00027508089214644697,Common down,Common gem response,5
Xanthosine 5'-monophosphate | row_16,Xanthosine 5'-monophosphate,-1.1659553482996046,0.011552500048174505,-0.4649204239250082,0.22076466054699226,-0.7010349243745964,0.13820088513345602,2N down,2N-specific response,1
L-Sorbose;Myo-inositol;Mannose;Allose;D-Psicose;chiro-Inositol,L-Sorbose;Myo-inositol;Mannose;Allose;D-Psicose;chiro-Inositol,-1.039813461572578,0.0005684538963898009,-0.03684785351232733,0.8166559628184342,-1.0029656080602507,7.458021317076676e-05,2N down,2N-specific response,1
Lauroylcarnitine;Lauroyl-L-carnitine,Lauroylcarnitine;Lauroyl-L-carnitine,-1.2963206092310777,0.005565989590609672,-0.6987918010967853,0.055350231790045876,-0.5975288081342924,0.1626166654328231,2N down,2N-specific response,1
Inosine | row_19,Inosine,-0.28783654473855336,0.7389275621661372,0.5012114836374373,0.36504058536389217,-0.7890480283759906,0.421732937536646,No strong response,No strong response,99
Decanoyl-L-carnitine | row_20,Decanoyl-L-carnitine,-1.1265202774294742,0.012206647786105886,-0.6170385412826747,0.10782144028684115,-0.5094817361467996,0.2701141621679888,2N down,2N-specific response,1
Inosine | row_21,Inosine,-0.15659510049368208,0.8435591874298709,0.4851308382365218,0.40217259369904573,-0.6417259387302039,0.4941471825107705,No strong response,No strong response,99
Beta-Alanine | row_22,Beta-Alanine,-1.3241177099513592,0.0001969726410637195,-0.27777671059326536,0.025458721824018173,-1.0463409993580939,6.348535565356025e-05,2N down,2N-specific response,1
Myristoyl-L-carnitine | row_23,Myristoyl-L-carnitine,-0.8506205199665224,0.027653000601523682,-0.2323565165958179,0.4125994143805583,-0.6182640033707045,0.11581201421144734,No strong response,No strong response,99
Beta-Alanine | row_24,Beta-Alanine,-1.4956829687088415,2.7307401696704347e-05,-0.32073255089032315,0.01718157472938733,-1.1749504178185184,7.44943154114413e-07,2N down,2N-specific response,1
Arachidonic acid,Arachidonic acid,0.4727880453049629,0.13567805368178545,1.7576953105559916,0.02882691748666969,-1.2849072652510287,0.02816523965272845,4N up,4N-specific response,2
Hexanoyl-L-carnitine,Hexanoyl-L-carnitine,-0.5709994777704779,0.024704873752437916,0.023417047645427402,0.870552253756417,-0.5944165254159053,0.016448332051513664,No strong response,No strong response,99
Decanoyl-L-carnitine | row_27,Decanoyl-L-carnitine,-0.8161886629444091,0.027100965918953127,-0.47614316619378627,0.06135354707183629,-0.3400454967506228,0.31745794855335724,No strong response,No strong response,99
Glucose 6-phosphate | row_28,Glucose 6-phosphate,-0.047879133065276136,0.8583677670111636,0.18389338479900275,0.34340128146375243,-0.23177251786427888,0.464003224916651,No strong response,No strong response,99
N-Acetyl-L-Methionine | row_29,N-Acetyl-L-Methionine,-1.5306132717117116,0.0015042640627916711,-0.9593333955301517,0.0026028268834893497,-0.5712798761815598,0.04209917222282284,2N down,2N-specific response,1
