,2N_C1,2N_C2,2N_C3,2N_C4,2N_G1,2N_G2,2N_G3,2N_G4,4N_C1,4N_C2,4N_C3,4N_C4,4N_G1,4N_G2,4N_G3,4N_G4
Alpha-D-Galactose 1-phosphate;Alpha-D-Glucose 1-phosphate;D-Fructose 6-phosphate,-0.7785756636354879,-0.5751897680757371,-0.7691003721268117,-0.5117569312347952,1.9387086548285095,1.88213770641944,1.5883948452821923,1.2244706094110354,-0.6321520594649247,-1.110369183377233,-0.7254598045201935,-0.4496996796466138,0.056488271215614116,-0.46302339471045045,-0.13763687961431192,-0.5372363507502206
D-Sedoheptulose,0.3535816589575195,-0.10573727414593553,-0.6381803877521854,-0.5257914277146724,1.7011496038946978,2.1221700304486104,1.3368904350219155,1.2550735976426393,-0.8457751919567246,-0.8111066428324936,-0.9937549357203571,-1.1465291332969958,-0.39288013725608434,-0.34346659602989416,-0.5385082002982017,-0.4271353989618695
Phenylalanylalanine,-1.0405967110952155,-1.231098442712779,-2.075513627376375,-0.3868811567116606,0.8539676548040679,1.289198332224391,1.7788036897281962,1.2377425999939542,0.21122671050569328,0.15958355870899893,-0.17904372198670468,-1.2571844148570837,0.06090050251406188,0.2512903302789982,0.0002361623412905276,0.32736853364017926
Formyl-l-methionyl peptide,-0.8655642995163034,0.16124001639487007,-0.9690804964414541,-0.4618268891996797,1.6769313970030886,1.926845213907513,1.5278262704862666,1.1504379385585177,-1.3116118713823655,-0.1266612578497122,-0.684195334548186,-0.8856053557337985,-0.4859141204654158,0.24043754576466372,-0.12403068210585452,-0.7692280748719664
Formyl-l-methionyl peptide (2),-0.8553975911634383,0.09420612976790384,-1.1487633565852595,-0.3398645998234502,1.6610374998004642,1.830715783282566,1.4549348020449777,0.9926227749103292,-0.7939734771631584,-0.4385797824799503,-0.5155233566561265,-1.3741968761260956,-0.15739535688098677,0.8013361465594766,-0.2633362498682877,-0.9478224896189815
Cytidine 5'-Diphosphocholine (Citicoline),-1.849652727669499,-0.5314757593494748,-1.849652727669499,-1.849652727669499,0.42325812966116266,0.1151947612143375,0.11658607372334746,-0.01499799755842848,0.27546876738274306,0.0936060362713594,0.3962236664390334,0.4848822801749748,0.9153212973792272,1.011844698849509,1.5489990467862518,0.7140471820344395
N-Acetyl-Glucosamine-6-phosphate,-1.6817769702353107,-0.9441847192400737,-1.3485718944420868,-0.27732015954536976,1.2588612169057625,0.6689198222548081,1.1737665549704401,1.7051798464637014,0.12728196795538269,-0.9722257525806213,-0.5704328682947744,-1.1411105246063042,0.8691389942203672,0.5292688806428478,-0.05938898805033948,0.6625945935815419
10-Hydroxydecanoate;(R)-3-Hydroxydecanoic acid,-1.95515962243035,-0.07234630357352542,-1.4195720200350967,-0.6796056337092538,1.8249644900398516,0.9973975144043162,1.5718284067762507,0.3329656978007803,-0.6155991051087175,-0.25972183975324303,-0.353053464116383,-0.7703309210204913,-0.13406705822762674,0.9556422813202357,0.8013069278753586,-0.22464935024212784
Sn-glycerol 3-phosphate,-0.363490428940027,-0.17012339076988012,-0.9355692697552013,0.3476474805146611,1.7104404646734908,0.6182711492282084,1.7276650409555183,1.7190678621229518,0.02634079865953582,-1.105286952753437,-0.8029628891155143,-1.4674336391072755,0.27117736896671835,-0.8922409252786504,-0.8271452723825685,0.1436426029812645
Phosphoenolpyruvic acid,-0.5911441454895523,-0.5002359115226727,-0.5752021609610953,0.025528256748375878,1.9913806881117448,0.5661608157533916,1.8534095952760554,1.3781802958515559,-0.24063737285786546,-1.306254110815083,-1.2942866320240929,-1.1956441876870096,0.1843950224615081,-0.27140973016336556,-0.4975337580156408,0.47329333533387574
Phosphoenolpyruvic acid (2),-0.09035683893170116,-0.391113302074366,-0.695997110251579,-0.4371504059003896,1.540123420680551,0.9430119743081848,1.8875126754429974,1.3524841876010438,-0.6301558810925076,-0.9235339554074701,-1.5491440223312516,-1.4081130624590121,0.4542989265002849,-0.4371504059003896,-0.25782089788934803,0.6431046977048656
"Fructose 1,6-bisphosphate",-0.4264350090847098,-0.05465999433792987,-0.9387035754965843,0.35147926943561314,1.5736348040662096,1.3569059748171974,0.935263750871451,1.7858233474934044,-1.225355987893016,-0.5152543612249885,-1.23710202134625,-1.3772508232405052,-0.04980500061769157,0.6722303851087215,-0.8828536785204365,0.03208291996947717
Thymidine 5'-monophosphate,-1.5751633299724463,-0.28237977261504643,-0.273729759996868,0.5765454888784556,1.653298545714998,0.4661929731481798,1.3530767079679702,1.6058859888880073,0.4289944222071462,-1.6876166931529988,-0.9392836766324567,-1.0557211993814994,-0.06759706117277303,-0.23479348818061652,0.555712393120618,-0.5234215388206439
