ploidy	K	density_fraction	alive_count_at_fraction	mu_base_death	use_confluence_death	mu_confluence_death	confluence_death_exponent	confluence_death_hazard	total_drug_independent_death_hazard
2N	31036.283403309146	0.25	7759.070850827286	0.08847931537449859	False	0.0	4.0	0.0	0.08847931537449859
2N	31036.283403309146	0.5	15518.141701654573	0.08847931537449859	False	0.0	4.0	0.0	0.08847931537449859
2N	31036.283403309146	0.75	23277.21255248186	0.08847931537449859	False	0.0	4.0	0.0	0.08847931537449859
2N	31036.283403309146	1.0	31036.283403309146	0.08847931537449859	False	0.0	4.0	0.0	0.08847931537449859
2N	31036.283403309146	1.25	38795.35425413643	0.08847931537449859	False	0.0	4.0	0.0	0.08847931537449859
4N	68867.0955656046	0.25	17216.77389140115	0.035532906939758226	False	0.0	4.0	0.0	0.035532906939758226
4N	68867.0955656046	0.5	34433.5477828023	0.035532906939758226	False	0.0	4.0	0.0	0.035532906939758226
4N	68867.0955656046	0.75	51650.32167420345	0.035532906939758226	False	0.0	4.0	0.0	0.035532906939758226
4N	68867.0955656046	1.0	68867.0955656046	0.035532906939758226	False	0.0	4.0	0.0	0.035532906939758226
4N	68867.0955656046	1.25	86083.86945700576	0.035532906939758226	False	0.0	4.0	0.0	0.035532906939758226
