start_idx	start_values	objective	observation_channels	model_variant	objective_scale	initial_raw_objective	final_raw_objective	delta_raw_objective	initial_normalized_objective	final_normalized_objective	delta_normalized_objective	initial_objective	final_objective	delta_objective	n_iter	n_function_eval	n_gradient_eval	gradient_norm	gradient_max_abs	gradient_max_abs_index	gradient_max_abs_name	optimizer_success	optimizer_status	optimizer_message	result_equals_start	recomputed_final_objective	initial_simulations_attempted	initial_simulations_failed	initial_failure_messages	final_simulations_attempted	final_simulations_failed	final_failure_messages	success	message	any_at_lower_bound	any_at_upper_bound	lower_bound_coordinates	upper_bound_coordinates	initial_mu_r	initial_mu_K	initial_mu_k_tr	initial_mu_k_kill	initial_mu_k_clear	initial_mu_k_cyto	initial_mu_beta_dose	initial_mu_mu_base_death	initial_mu_mu_confluence_death	initial_2N_r	initial_2N_K	initial_2N_k_tr	initial_2N_k_kill	initial_2N_k_clear	initial_2N_k_cyto	initial_2N_beta_dose	initial_2N_mu_base_death	initial_2N_mu_confluence_death	initial_4N_r	initial_4N_K	initial_4N_k_tr	initial_4N_k_kill	initial_4N_k_clear	initial_4N_k_cyto	initial_4N_beta_dose	initial_4N_mu_base_death	initial_4N_mu_confluence_death	initial_dose_gate_ec50_uM	initial_dose_gate_hill	initial_model_preset	initial_fit_beta_dose	initial_use_hill_dose_gate	initial_fit_hill_dose_gate	initial_theta_alive	initial_theta_dead	final_mu_r	final_mu_K	final_mu_k_tr	final_mu_k_kill	final_mu_k_clear	final_mu_k_cyto	final_mu_beta_dose	final_mu_mu_base_death	final_mu_mu_confluence_death	final_2N_r	final_2N_K	final_2N_k_tr	final_2N_k_kill	final_2N_k_clear	final_2N_k_cyto	final_2N_beta_dose	final_2N_mu_base_death	final_2N_mu_confluence_death	final_4N_r	final_4N_K	final_4N_k_tr	final_4N_k_kill	final_4N_k_clear	final_4N_k_cyto	final_4N_beta_dose	final_4N_mu_base_death	final_4N_mu_confluence_death	final_dose_gate_ec50_uM	final_dose_gate_hill	final_model_preset	final_fit_beta_dose	final_use_hill_dose_gate	final_fit_hill_dose_gate	final_theta_alive	final_theta_dead	n_tr
0	{'r': 0.7, 'K': 19597.0, 'k_tr': 0.5, 'k_kill': 25.0, 'k_clear': 0.5, 'beta_dose': 1.0, 'mu_base_death': 0.02, 'mu_confluence_death': 0.05, 'dose_gate_ec50_uM': 0.0125, 'dose_gate_hill': 2.0, 'theta_alive': 20.0, 'theta_dead': 20.0, 'k_cyto': 1.0}	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	316944.48018897587	316944.48018897587	67448.3905051611	249496.0896838148	1.0	0.2128082194867236	0.7871917805132764	316944.48018897587	67448.3905051611	249496.0896838148	25	1161	43	0.009750507053567668	0.004186637127036813	4	mu_log_k_clear	True	0	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	67448.3905051611	73	0		73	0		True	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	False			0.7	19596.999999999993	0.5	24.999999999999996	0.5	1.0	1.0	0.02	0.0	0.7	19596.999999999993	0.5	24.999999999999996	0.5	1.0	1.0	0.02	0.0	0.7	19596.999999999993	0.5	24.999999999999996	0.5	1.0	1.0	0.02	0.0				True	False	True	19.999999999999996	19.999999999999996	0.7777862810925793	37487.99305569415	1.1049336333465802	99.96270692409054	0.5019133246765501	1.1774188571484543	0.6898106947067174	0.09219578762838579	0.0	0.8289097182200212	42330.88275252484	2.5951128390124363	216.04643421190278	0.4598053226503844	1.2687764357455782	0.6069609479818271	0.32348223108809293	0.0	0.8105739320156568	63479.58498753082	1.0369766398824678	184.62572414065932	0.5502802946843224	1.2861625940719998	0.5405086620293047	0.12049846839872934	0.0				True	False	True	1.1228342926731567	4.413670948439019	2
1	{'r': 0.7, 'K': 19597.0, 'k_tr': 0.5, 'k_kill': 25.0, 'k_clear': 0.5, 'beta_dose': 1.0, 'mu_base_death': 0.02, 'mu_confluence_death': 0.05, 'dose_gate_ec50_uM': 0.0125, 'dose_gate_hill': 2.0, 'theta_alive': 20.0, 'theta_dead': 20.0, 'k_cyto': 100.0}	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	314093.8004121001	314093.8004121001	70791.10124468026	243302.69916741984	1.0	0.2253820392245893	0.7746179607754107	314093.8004121001	70791.10124468026	243302.69916741984	7	405	15	0.09585364051745729	0.06673136768901831	14	delta_log_2N_beta_dose	True	0	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	70791.10124468026	73	0		73	0		True	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	False			0.7	19596.999999999993	0.5	24.999999999999996	0.5	100.00000000000004	1.0	0.02	0.0	0.7	19596.999999999993	0.5	24.999999999999996	0.5	100.00000000000004	1.0	0.02	0.0	0.7	19596.999999999993	0.5	24.999999999999996	0.5	100.00000000000004	1.0	0.02	0.0				True	False	True	19.999999999999996	19.999999999999996	0.8017010232537672	19378.261752682552	0.8114843663842517	36.78609448987572	0.2391394381839714	125.49598010043763	1.1528290043433018	0.05753871317576714	0.0	0.7751662407839177	17777.34588845874	1.0535585039093858	44.83475450545335	0.14883294949500278	137.68428729753165	1.5458509859576244	0.11590423786773352	0.0	0.9492118745097117	20897.441576114037	1.0143810184057835	44.409511358007826	0.18378293009646138	143.54928875756573	0.9910958919861385	0.08215573324223667	0.0				True	False	True	2.420413529454605	7.223235500113434	2
2	{'r': 1.2, 'K': 29395.5, 'k_tr': 1.0, 'k_kill': 50.0, 'k_clear': 1.0, 'beta_dose': 1.0, 'mu_base_death': 0.02, 'mu_confluence_death': 0.05, 'dose_gate_ec50_uM': 0.0125, 'dose_gate_hill': 2.0, 'theta_alive': 50.0, 'theta_dead': 50.0, 'k_cyto': 10.0}	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	530657.9535236857	530657.9535236857	65956.83425861578	464701.1192650699	1.0	0.1242925576082444	0.8757074423917556	530657.9535236857	65956.83425861578	464701.1192650699	24	810	30	0.007032883574347061	0.004252578844646524	0	mu_log_r	True	0	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	65956.83425861578	73	0		73	0		True	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	False			1.2	29395.50000000002	1.0	49.99999999999999	1.0	10.000000000000002	1.0	0.02	0.0	1.2	29395.50000000002	1.0	49.99999999999999	1.0	10.000000000000002	1.0	0.02	0.0	1.2	29395.50000000002	1.0	49.99999999999999	1.0	10.000000000000002	1.0	0.02	0.0				True	False	True	49.99999999999999	49.99999999999999	0.9879662720350283	73909.36225674282	0.9461405908587377	170.20888325415424	0.6539159680596243	42.62041844589179	0.6471230744177583	0.0645182698508242	0.0	0.9224357639321208	109587.1364558319	2.090854628823131	376.5133218618523	0.4717789851556916	77.8754372138357	0.39054067007966453	0.15809290527662984	0.0	0.8725679356376135	125025.65479876888	0.4045277459121968	261.0508805775203	0.5937437832904195	99.21540478798572	0.6978420091436579	0.08452187517060467	0.0				True	False	True	1.968154424203279	3.8813081992234784	2
3	{'r': 0.3, 'K': 39194.0, 'k_tr': 2.0, 'k_kill': 100.0, 'k_clear': 0.2, 'beta_dose': 1.0, 'mu_base_death': 0.02, 'mu_confluence_death': 0.05, 'dose_gate_ec50_uM': 0.0125, 'dose_gate_hill': 2.0, 'theta_alive': 100.0, 'theta_dead': 30.0, 'k_cyto': 10.0}	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	655317.156220084	655317.156220084	655317.156220084	0.0	1.0	1.0	0.0	655317.156220084	655317.156220084	0.0	1	81	3	1.5493166210931153	0.7663257584056282	6	mu_log_beta_dose	True	0	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	True	655317.156220084	73	0		73	0		True	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	False			0.3	39193.999999999985	2.0	100.00000000000004	0.2	10.000000000000002	1.0	0.02	0.0	0.3	39193.999999999985	2.0	100.00000000000004	0.2	10.000000000000002	1.0	0.02	0.0	0.3	39193.999999999985	2.0	100.00000000000004	0.2	10.000000000000002	1.0	0.02	0.0				True	False	True	100.00000000000004	30.000000000000004	0.3	39193.999999999985	2.0	100.00000000000004	0.2	10.000000000000002	1.0	0.02	0.0	0.3	39193.999999999985	2.0	100.00000000000004	0.2	10.000000000000002	1.0	0.02	0.0	0.3	39193.999999999985	2.0	100.00000000000004	0.2	10.000000000000002	1.0	0.02	0.0				True	False	True	100.00000000000004	30.000000000000004	2
0	{'r': 0.7, 'K': 19597.0, 'k_tr': 0.5, 'k_kill': 25.0, 'k_clear': 0.5, 'beta_dose': 1.0, 'mu_base_death': 0.02, 'mu_confluence_death': 0.05, 'dose_gate_ec50_uM': 0.0125, 'dose_gate_hill': 2.0, 'theta_alive': 20.0, 'theta_dead': 20.0, 'k_cyto': 1.0}	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	346867.7348309737	346867.7348309737	70212.22740498288	276655.5074259908	1.0	0.2024178681225477	0.7975821318774523	346867.7348309737	70212.22740498288	276655.5074259908	22	756	28	0.0007250167426555685	0.0005172307029846153	0	mu_log_r	True	0	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	70212.22740498288	73	0		73	0		True	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	False			0.7	19596.999999999993	0.5	24.999999999999996	0.5	1.0	1.0	0.02	0.0	0.7	19596.999999999993	0.5	24.999999999999996	0.5	1.0	1.0	0.02	0.0	0.7	19596.999999999993	0.5	24.999999999999996	0.5	1.0	1.0	0.02	0.0				True	False	True	19.999999999999996	19.999999999999996	0.6893902867257592	34640.748182744916	0.07065536882968579	8.03668287459719	0.36140255692924	1.6454005036945136	0.4779617593980662	0.09601061820746826	0.0	0.6553383349702142	41770.00250604886	0.03081795998951391	5.179894047623927	0.33448739601192834	2.1364016033509645	0.4013066827622528	0.2690681839094922	0.0	0.7139986558422844	50645.28002314522	0.023152028513849093	4.042829097749253	0.2852086548047909	2.080211347434963	0.2822904496834334	0.15904387386066804	0.0				True	False	True	0.5301496610864308	3.7175350332130996	3
1	{'r': 0.7, 'K': 19597.0, 'k_tr': 0.5, 'k_kill': 25.0, 'k_clear': 0.5, 'beta_dose': 1.0, 'mu_base_death': 0.02, 'mu_confluence_death': 0.05, 'dose_gate_ec50_uM': 0.0125, 'dose_gate_hill': 2.0, 'theta_alive': 20.0, 'theta_dead': 20.0, 'k_cyto': 100.0}	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	353409.8310031309	353409.8310031309	63690.46864979467	289719.3623533362	1.0	0.1802170258507337	0.8197829741492663	353409.8310031309	63690.46864979467	289719.3623533362	55	2754	102	0.0015573919834850174	0.0007238459875518241	5	mu_log_k_cyto	True	0	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	63690.46864979467	73	0		73	0		True	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	False			0.7	19596.999999999993	0.5	24.999999999999996	0.5	100.00000000000004	1.0	0.02	0.0	0.7	19596.999999999993	0.5	24.999999999999996	0.5	100.00000000000004	1.0	0.02	0.0	0.7	19596.999999999993	0.5	24.999999999999996	0.5	100.00000000000004	1.0	0.02	0.0				True	False	True	19.999999999999996	19.999999999999996	1.1934465067338988	34785.87915883042	1.2288278563023176	95.55263318169287	0.3321018937064184	481.73065630367785	0.6711910905672844	0.03986527630977471	0.0	1.7012885817728352	31036.283403309146	2.3874790908352232	295.04075441280685	0.30487294135067117	1806.5209471407213	0.4642693999564721	0.08847931537449859	0.0	1.4199837796494055	68867.0955656046	1.5436796174149285	117.49800417884943	0.24086656266216142	612.6595352946413	0.6549745971555704	0.035532906939758226	0.0				True	False	True	2.3021495519066257	10.797932290298542	3
2	{'r': 1.2, 'K': 29395.5, 'k_tr': 1.0, 'k_kill': 50.0, 'k_clear': 1.0, 'beta_dose': 1.0, 'mu_base_death': 0.02, 'mu_confluence_death': 0.05, 'dose_gate_ec50_uM': 0.0125, 'dose_gate_hill': 2.0, 'theta_alive': 50.0, 'theta_dead': 50.0, 'k_cyto': 10.0}	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	590038.2302456973	590038.2302456973	65099.69993256711	524938.5303131302	1.0	0.11033132532015595	0.889668674679844	590038.2302456973	65099.69993256711	524938.5303131302	32	1026	38	0.016764971356979824	0.010686859736116085	0	mu_log_r	True	0	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	65099.69993256711	73	0		73	0		True	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	False			1.2	29395.50000000002	1.0	49.99999999999999	1.0	10.000000000000002	1.0	0.02	0.0	1.2	29395.50000000002	1.0	49.99999999999999	1.0	10.000000000000002	1.0	0.02	0.0	1.2	29395.50000000002	1.0	49.99999999999999	1.0	10.000000000000002	1.0	0.02	0.0				True	False	True	49.99999999999999	49.99999999999999	1.0823533341537703	117045.8079431525	1.5645560364848898	130.44971315883848	0.5216750162596164	89.17034723173187	0.6728284853397625	0.06434176674312003	0.0	0.9379725596891542	219221.38294047557	3.6721840869273583	250.00943319293793	0.38443309591943453	254.2382505436188	0.4826774121938415	0.16111695357488745	0.0	1.1291876351428718	238384.5183653388	1.0377954941832335	176.62795740168397	0.37029354185504526	277.8124552957021	0.6373044443062899	0.08242318626889532	0.0				True	False	True	1.8002208451489348	8.102565812611477	3
3	{'r': 0.3, 'K': 39194.0, 'k_tr': 2.0, 'k_kill': 100.0, 'k_clear': 0.2, 'beta_dose': 1.0, 'mu_base_death': 0.02, 'mu_confluence_death': 0.05, 'dose_gate_ec50_uM': 0.0125, 'dose_gate_hill': 2.0, 'theta_alive': 100.0, 'theta_dead': 30.0, 'k_cyto': 10.0}	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	613358.9995681684	613358.9995681684	67470.22413108895	545888.7754370795	1.0	0.1100011969802203	0.8899988030197797	613358.9995681684	67470.22413108895	545888.7754370795	15	459	17	0.02306835519035419	0.016559763199644088	0	mu_log_r	True	0	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	67470.22413108895	73	0		73	0		True	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	False			0.3	39193.999999999985	2.0	100.00000000000004	0.2	10.000000000000002	1.0	0.02	0.0	0.3	39193.999999999985	2.0	100.00000000000004	0.2	10.000000000000002	1.0	0.02	0.0	0.3	39193.999999999985	2.0	100.00000000000004	0.2	10.000000000000002	1.0	0.02	0.0				True	False	True	100.00000000000004	30.000000000000004	0.542025373108737	49120.61611101094	2.3500732363419563	153.62106527887045	0.2317069610036081	14.310944195445511	0.7030628275237129	0.05792541059798617	0.0	0.7156845868988982	54341.735059398736	3.4270870122724078	300.98317090845836	0.2222611667001147	16.400789767418132	0.4908157198344384	0.12945656273084086	0.0	0.741306439653626	55643.78679061716	1.8933938435282864	120.41891439799787	0.2798493218832044	17.86866084366596	0.708657602893426	0.07503268876626361	0.0				True	False	True	1.4287113829769227	2.61575236773367	3
0	{'r': 0.7, 'K': 19597.0, 'k_tr': 0.5, 'k_kill': 25.0, 'k_clear': 0.5, 'beta_dose': 1.0, 'mu_base_death': 0.02, 'mu_confluence_death': 0.05, 'dose_gate_ec50_uM': 0.0125, 'dose_gate_hill': 2.0, 'theta_alive': 20.0, 'theta_dead': 20.0, 'k_cyto': 1.0}	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	370995.13486761163	370995.13486761163	70127.75017840069	300867.3846892109	1.0	0.18902606419198878	0.8109739358080112	370995.13486761163	70127.75017840069	300867.3846892109	20	594	22	0.0035287096365057427	0.00263200572586423	0	mu_log_r	True	0	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	70127.75017840069	73	0		73	0		True	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	False			0.7	19596.999999999993	0.5	24.999999999999996	0.5	1.0	1.0	0.02	0.0	0.7	19596.999999999993	0.5	24.999999999999996	0.5	1.0	1.0	0.02	0.0	0.7	19596.999999999993	0.5	24.999999999999996	0.5	1.0	1.0	0.02	0.0				True	False	True	19.999999999999996	19.999999999999996	0.6846785628479881	43023.18302554446	0.06637902039919266	12.357714002272564	0.3756950540190688	2.016500345915651	1.1010476726575484	0.0977841288789553	0.0	0.6595582128272717	58378.68885447126	0.03224230738717916	9.528849525466462	0.40346064547203164	2.947041325390524	1.2579087185935516	0.2960343445287868	0.0	0.6940021529521749	70907.80756625872	0.018414550379081053	7.963562607666572	0.26645255130206336	2.7772455889121717	1.0822523301347864	0.15012741512910668	0.0				True	False	True	0.5367262627194033	4.112103342924653	4
1	{'r': 0.7, 'K': 19597.0, 'k_tr': 0.5, 'k_kill': 25.0, 'k_clear': 0.5, 'beta_dose': 1.0, 'mu_base_death': 0.02, 'mu_confluence_death': 0.05, 'dose_gate_ec50_uM': 0.0125, 'dose_gate_hill': 2.0, 'theta_alive': 20.0, 'theta_dead': 20.0, 'k_cyto': 100.0}	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	387757.5809374981	387757.5809374981	89599.94928886848	298157.6316486296	1.0	0.23107207619832693	0.7689279238016731	387757.5809374981	89599.94928886848	298157.6316486296	5	216	8	0.07940056404572854	0.05485744947219553	24	log_theta_alive	True	0	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	89599.94928886848	73	0		73	0		True	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	False			0.7	19596.999999999993	0.5	24.999999999999996	0.5	100.00000000000004	1.0	0.02	0.0	0.7	19596.999999999993	0.5	24.999999999999996	0.5	100.00000000000004	1.0	0.02	0.0	0.7	19596.999999999993	0.5	24.999999999999996	0.5	100.00000000000004	1.0	0.02	0.0				True	False	True	19.999999999999996	19.999999999999996	0.8900996061371839	19641.26177740102	0.6798094738236689	27.751992866976817	0.24212962209959393	109.31340787217336	1.3077347269322255	0.04367799202102384	0.0	0.9534852632873696	18867.57527425031	0.7298546548585901	28.31986515403487	0.15998151556493267	116.14664169619999	1.4592084142893085	0.06777391987719388	0.0	1.056565174742531	20492.91088058107	0.86091193465404	30.189132117244142	0.1774632323385996	112.46398395558657	1.53262789571967	0.06147375464478623	0.0				True	False	True	5.872203187786412	8.86156190399158	4
