start_idx	start_values	objective	observation_channels	model_variant	objective_scale	initial_raw_objective	final_raw_objective	delta_raw_objective	initial_normalized_objective	final_normalized_objective	delta_normalized_objective	initial_objective	final_objective	delta_objective	n_iter	n_function_eval	n_gradient_eval	gradient_norm	gradient_max_abs	gradient_max_abs_index	gradient_max_abs_name	optimizer_success	optimizer_status	optimizer_message	result_equals_start	recomputed_final_objective	initial_simulations_attempted	initial_simulations_failed	initial_failure_messages	final_simulations_attempted	final_simulations_failed	final_failure_messages	success	message	any_at_lower_bound	any_at_upper_bound	lower_bound_coordinates	upper_bound_coordinates	initial_mu_r	initial_mu_K	initial_mu_k_tr	initial_mu_k_kill	initial_mu_k_clear	initial_mu_k_cyto	initial_mu_beta_dose	initial_mu_mu_base_death	initial_mu_mu_confluence_death	initial_2N_r	initial_2N_K	initial_2N_k_tr	initial_2N_k_kill	initial_2N_k_clear	initial_2N_k_cyto	initial_2N_beta_dose	initial_2N_mu_base_death	initial_2N_mu_confluence_death	initial_4N_r	initial_4N_K	initial_4N_k_tr	initial_4N_k_kill	initial_4N_k_clear	initial_4N_k_cyto	initial_4N_beta_dose	initial_4N_mu_base_death	initial_4N_mu_confluence_death	initial_dose_gate_ec50_uM	initial_dose_gate_hill	initial_model_preset	initial_fit_beta_dose	initial_use_hill_dose_gate	initial_fit_hill_dose_gate	initial_theta_alive	initial_theta_dead	final_mu_r	final_mu_K	final_mu_k_tr	final_mu_k_kill	final_mu_k_clear	final_mu_k_cyto	final_mu_beta_dose	final_mu_mu_base_death	final_mu_mu_confluence_death	final_2N_r	final_2N_K	final_2N_k_tr	final_2N_k_kill	final_2N_k_clear	final_2N_k_cyto	final_2N_beta_dose	final_2N_mu_base_death	final_2N_mu_confluence_death	final_4N_r	final_4N_K	final_4N_k_tr	final_4N_k_kill	final_4N_k_clear	final_4N_k_cyto	final_4N_beta_dose	final_4N_mu_base_death	final_4N_mu_confluence_death	final_dose_gate_ec50_uM	final_dose_gate_hill	final_model_preset	final_fit_beta_dose	final_use_hill_dose_gate	final_fit_hill_dose_gate	final_theta_alive	final_theta_dead	n_tr
0	{'r': 0.7, 'K': 19597.0, 'k_tr': 0.5, 'k_kill': 25.0, 'k_clear': 0.5, 'beta_dose': 1.0, 'mu_base_death': 0.02, 'mu_confluence_death': 0.05, 'dose_gate_ec50_uM': 0.0125, 'dose_gate_hill': 2.0, 'theta_alive': 20.0, 'theta_dead': 20.0, 'k_cyto': 1.0}	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	320944.6098947865	320944.6098947865	69460.16445966352	251484.445435123	1.0	0.21642415020596315	0.7835758497940368	320944.6098947865	69460.16445966352	251484.445435123	26	1024	32	0.004343464235312079	0.0023581164794663303	9	delta_log_2N_r	True	0	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	69460.16445966352	73	0		73	0		True	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	False			0.7	19596.999999999993	0.5	24.999999999999996	0.5	1.0	1.0	0.02	0.05000000000000001	0.7	19596.999999999993	0.5	24.999999999999996	0.5	1.0	1.0	0.02	0.05000000000000001	0.7	19596.999999999993	0.5	24.999999999999996	0.5	1.0	1.0	0.02	0.05000000000000001	0.012500000000000006	2.0	beta_hill_baseline_confluence	True	True	True	19.999999999999996	19.999999999999996	0.7502089153912916	42228.16426753009	1.875512624754772	37.5607443559807	0.5490193127277005	1.6077258058639827	0.7160269861264538	0.11273626332175134	0.05412648305517324	0.7080139349819214	48223.225593284464	2.0607537371969635	30.26514865002102	0.5686724878639798	2.0437736630321948	0.6454426610588954	0.32598630545015816	0.05509266964114446	0.8499019620959708	79375.59124217204	6.379109151321826	70.52968878778861	0.5812171273872316	2.028081070317258	0.5848680824892828	0.21434641094322077	0.057506422939799975	0.011482485494960453	2.1971424280621306	beta_hill_baseline_confluence	True	True	True	0.5747465179188566	3.0498729374451914	2
1	{'r': 0.7, 'K': 19597.0, 'k_tr': 0.5, 'k_kill': 25.0, 'k_clear': 0.5, 'beta_dose': 1.0, 'mu_base_death': 0.02, 'mu_confluence_death': 0.05, 'dose_gate_ec50_uM': 0.0125, 'dose_gate_hill': 2.0, 'theta_alive': 20.0, 'theta_dead': 20.0, 'k_cyto': 100.0}	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	315002.17255953356	315002.17255953356	76997.48854487189	238004.68401466167	1.0	0.24443478570078692	0.7555652142992131	315002.17255953356	76997.48854487189	238004.68401466167	8	416	13	0.6367840719834554	0.45516355708462874	6	mu_log_beta_dose	True	0	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	76997.48854487189	73	0		73	0		True	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	False			0.7	19596.999999999993	0.5	24.999999999999996	0.5	100.00000000000004	1.0	0.02	0.05000000000000001	0.7	19596.999999999993	0.5	24.999999999999996	0.5	100.00000000000004	1.0	0.02	0.05000000000000001	0.7	19596.999999999993	0.5	24.999999999999996	0.5	100.00000000000004	1.0	0.02	0.05000000000000001	0.012500000000000006	2.0	beta_hill_baseline_confluence	True	True	True	19.999999999999996	19.999999999999996	0.6478188011323089	14722.162231991471	0.7933255528577092	33.55583043714762	0.2103589246273832	148.42302705678307	0.9241366395256387	0.06177260142935798	0.05463325825003748	0.5401856416828602	11144.406887613271	1.0728151749463282	40.94932416824321	0.1214370087865461	202.06342670318506	1.73917832306516	0.12856276006418133	0.056969575466707556	0.7189381541549328	14612.849670574438	0.9307864398732845	36.90608862896496	0.15331432308372567	161.80669108786367	0.45376441524734895	0.09166812044780188	0.05724760930766867	0.012108955368819656	1.9601922331017012	beta_hill_baseline_confluence	True	True	True	1.0952530317882676	5.950780675336031	2
2	{'r': 1.2, 'K': 29395.5, 'k_tr': 1.0, 'k_kill': 50.0, 'k_clear': 1.0, 'beta_dose': 1.0, 'mu_base_death': 0.02, 'mu_confluence_death': 0.05, 'dose_gate_ec50_uM': 0.0125, 'dose_gate_hill': 2.0, 'theta_alive': 50.0, 'theta_dead': 50.0, 'k_cyto': 10.0}	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	508890.74749303475	508890.74749303475	186284.74979965654	322605.99769337825	1.0	0.3660603984595068	0.6339396015404932	508890.74749303475	186284.74979965654	322605.99769337825	4	224	7	0.5213041688702369	0.23328162192037663	0	mu_log_r	True	0	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	186284.74979965654	73	0		73	0		True	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	False			1.2	29395.50000000002	1.0	49.99999999999999	1.0	10.000000000000002	1.0	0.02	0.05000000000000001	1.2	29395.50000000002	1.0	49.99999999999999	1.0	10.000000000000002	1.0	0.02	0.05000000000000001	1.2	29395.50000000002	1.0	49.99999999999999	1.0	10.000000000000002	1.0	0.02	0.05000000000000001	0.012500000000000006	2.0	beta_hill_baseline_confluence	True	True	True	49.99999999999999	49.99999999999999	1.553086018948692	25707.89062032813	1.312251380933978	63.45851152838517	0.6716033132081072	11.194912888004865	1.1083896242669167	0.030413744879444198	0.05525675979690518	1.997060520881007	23232.84833278654	1.5605147928124563	72.35558722723553	0.5028870491717892	11.679204968783756	1.377945393266463	0.04085144598198943	0.05854519990821603	1.5642626239584685	24878.032584999673	1.4480484155767759	70.63621023983416	0.6023768621689672	12.01292722003351	0.9882001073908179	0.03443277501049473	0.05763614092724209	0.011983159845645804	1.9467728493707506	beta_hill_baseline_confluence	True	True	True	17.14785174847488	28.56081616340278	2
3	{'r': 0.3, 'K': 39194.0, 'k_tr': 2.0, 'k_kill': 100.0, 'k_clear': 0.2, 'beta_dose': 1.0, 'mu_base_death': 0.02, 'mu_confluence_death': 0.05, 'dose_gate_ec50_uM': 0.0125, 'dose_gate_hill': 2.0, 'theta_alive': 100.0, 'theta_dead': 30.0, 'k_cyto': 10.0}	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	676264.9122195807	676264.9122195807	676264.9122195807	0.0	1.0	1.0	0.0	676264.9122195807	676264.9122195807	0.0	1	96	3	1.5501572113722524	0.7839220383942802	6	mu_log_beta_dose	True	0	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	True	676264.9122195807	73	0		73	0		True	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	False			0.3	39193.999999999985	2.0	100.00000000000004	0.2	10.000000000000002	1.0	0.02	0.05000000000000001	0.3	39193.999999999985	2.0	100.00000000000004	0.2	10.000000000000002	1.0	0.02	0.05000000000000001	0.3	39193.999999999985	2.0	100.00000000000004	0.2	10.000000000000002	1.0	0.02	0.05000000000000001	0.012500000000000006	2.0	beta_hill_baseline_confluence	True	True	True	100.00000000000004	30.000000000000004	0.3	39193.999999999985	2.0	100.00000000000004	0.2	10.000000000000002	1.0	0.02	0.05000000000000001	0.3	39193.999999999985	2.0	100.00000000000004	0.2	10.000000000000002	1.0	0.02	0.05000000000000001	0.3	39193.999999999985	2.0	100.00000000000004	0.2	10.000000000000002	1.0	0.02	0.05000000000000001	0.012500000000000006	2.0	beta_hill_baseline_confluence	True	True	True	100.00000000000004	30.000000000000004	2
0	{'r': 0.7, 'K': 19597.0, 'k_tr': 0.5, 'k_kill': 25.0, 'k_clear': 0.5, 'beta_dose': 1.0, 'mu_base_death': 0.02, 'mu_confluence_death': 0.05, 'dose_gate_ec50_uM': 0.0125, 'dose_gate_hill': 2.0, 'theta_alive': 20.0, 'theta_dead': 20.0, 'k_cyto': 1.0}	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	345782.2883393366	345782.2883393366	69924.96251223813	275857.32582709845	1.0	0.20222251072506245	0.7977774892749375	345782.2883393366	69924.96251223813	275857.32582709845	23	896	28	0.009016256746019254	0.006364667130018246	0	mu_log_r	True	0	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	69924.96251223813	73	0		73	0		True	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	False			0.7	19596.999999999993	0.5	24.999999999999996	0.5	1.0	1.0	0.02	0.05000000000000001	0.7	19596.999999999993	0.5	24.999999999999996	0.5	1.0	1.0	0.02	0.05000000000000001	0.7	19596.999999999993	0.5	24.999999999999996	0.5	1.0	1.0	0.02	0.05000000000000001	0.012500000000000006	2.0	beta_hill_baseline_confluence	True	True	True	19.999999999999996	19.999999999999996	0.6173353899727385	373780.75185709796	0.010172519487606904	3.807681911569926	0.21087049314820297	3.7316434262688505	1.4211893985288724	0.08283151307147307	0.0759752697583913	0.5837969416041072	2001917.7542110188	0.002569671843681629	1.8890493975773124	0.21451023674418998	7.472439633562405	3.1234934167510864	0.19327634852980569	0.0759710865843548	0.5713880038452124	1362389.1553232477	0.0008514955389889702	1.1948975066579262	0.09007720592548543	6.918337573843566	0.9781198003000033	0.13538317755319132	0.11438917155952602	0.012421114724049376	2.0334973210082468	beta_hill_baseline_confluence	True	True	True	0.5518569419179586	3.262659995098081	3
1	{'r': 0.7, 'K': 19597.0, 'k_tr': 0.5, 'k_kill': 25.0, 'k_clear': 0.5, 'beta_dose': 1.0, 'mu_base_death': 0.02, 'mu_confluence_death': 0.05, 'dose_gate_ec50_uM': 0.0125, 'dose_gate_hill': 2.0, 'theta_alive': 20.0, 'theta_dead': 20.0, 'k_cyto': 100.0}	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	348894.39967028145	348894.39967028145	63848.27253795307	285046.1271323284	1.0	0.18300171226105127	0.8169982877389488	348894.39967028145	63848.27253795307	285046.1271323284	25	1088	34	0.03862666511984204	0.021392193702122187	5	mu_log_k_cyto	True	0	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	63848.27253795307	73	0		73	0		True	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	False			0.7	19596.999999999993	0.5	24.999999999999996	0.5	100.00000000000004	1.0	0.02	0.05000000000000001	0.7	19596.999999999993	0.5	24.999999999999996	0.5	100.00000000000004	1.0	0.02	0.05000000000000001	0.7	19596.999999999993	0.5	24.999999999999996	0.5	100.00000000000004	1.0	0.02	0.05000000000000001	0.012500000000000006	2.0	beta_hill_baseline_confluence	True	True	True	19.999999999999996	19.999999999999996	1.0168879928290626	26612.694610572034	1.6412012849303397	69.4933053990642	0.2771254191058587	519.0650082226917	0.659466042247975	0.05114901311696366	0.05409931467341172	1.0180490917013485	27424.422778410422	3.5823967465523743	123.76657528050208	0.22128130040465724	2318.9082111301586	0.6996261749140602	0.19413655059977183	0.0552271780012858	1.474245138404985	34994.953217299495	2.4628319619840844	108.38208106543323	0.1926173747582756	601.1312564416327	0.4098423113484395	0.03474198306419584	0.057329765210445624	0.013604870407332117	2.151226183591569	beta_hill_baseline_confluence	True	True	True	3.3039107927828386	6.7111045363777215	3
2	{'r': 1.2, 'K': 29395.5, 'k_tr': 1.0, 'k_kill': 50.0, 'k_clear': 1.0, 'beta_dose': 1.0, 'mu_base_death': 0.02, 'mu_confluence_death': 0.05, 'dose_gate_ec50_uM': 0.0125, 'dose_gate_hill': 2.0, 'theta_alive': 50.0, 'theta_dead': 50.0, 'k_cyto': 10.0}	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	562726.136866451	562726.136866451	130228.7654526469	432497.3714138041	1.0	0.23142476761045389	0.7685752323895461	562726.136866451	130228.7654526469	432497.3714138041	6	288	9	0.1491103786670535	0.07981955145390811	29	log_theta_alive	True	0	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	130228.7654526469	73	0		73	0		True	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	False			1.2	29395.50000000002	1.0	49.99999999999999	1.0	10.000000000000002	1.0	0.02	0.05000000000000001	1.2	29395.50000000002	1.0	49.99999999999999	1.0	10.000000000000002	1.0	0.02	0.05000000000000001	1.2	29395.50000000002	1.0	49.99999999999999	1.0	10.000000000000002	1.0	0.02	0.05000000000000001	0.012500000000000006	2.0	beta_hill_baseline_confluence	True	True	True	49.99999999999999	49.99999999999999	1.309026759762938	21600.884185277013	1.4274696347744562	59.68776696740301	0.6406573102848098	11.205931907480057	1.1920736672886456	0.03297318000239854	0.05559414264752086	1.549940847538735	17183.58011927517	1.7189900151424777	64.7645920578337	0.4671779278355223	11.79140580882932	1.4351750707193087	0.04597036570372146	0.058891820105344855	1.206576716234008	19951.484974462466	1.6921022308288773	65.66712600954848	0.5628543162157473	11.93378375289882	1.1803294154266708	0.03899253973381995	0.05835283291675747	0.012067083117458818	1.9605637093366088	beta_hill_baseline_confluence	True	True	True	10.572229777312915	22.410374509041084	3
3	{'r': 0.3, 'K': 39194.0, 'k_tr': 2.0, 'k_kill': 100.0, 'k_clear': 0.2, 'beta_dose': 1.0, 'mu_base_death': 0.02, 'mu_confluence_death': 0.05, 'dose_gate_ec50_uM': 0.0125, 'dose_gate_hill': 2.0, 'theta_alive': 100.0, 'theta_dead': 30.0, 'k_cyto': 10.0}	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	636254.6388272693	636254.6388272693	66343.98242405662	569910.6564032127	1.0	0.10427268954194252	0.8957273104580574	636254.6388272693	66343.98242405662	569910.6564032127	18	800	25	0.009202148451178279	0.005424562161070423	2	mu_log_k_tr	True	0	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	66343.98242405662	73	0		73	0		True	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	False			0.3	39193.999999999985	2.0	100.00000000000004	0.2	10.000000000000002	1.0	0.02	0.05000000000000001	0.3	39193.999999999985	2.0	100.00000000000004	0.2	10.000000000000002	1.0	0.02	0.05000000000000001	0.3	39193.999999999985	2.0	100.00000000000004	0.2	10.000000000000002	1.0	0.02	0.05000000000000001	0.012500000000000006	2.0	beta_hill_baseline_confluence	True	True	True	100.00000000000004	30.000000000000004	0.5513714350710801	47597.45389184433	2.666755408079228	180.4876547206078	0.23201606378804968	14.164398544914942	0.5296269568839487	0.06106298149444763	0.050219849934221676	0.734108273520592	52988.21018757425	3.9057253745004643	380.2684888921341	0.21866757220106373	16.18592420508966	0.3334282494101682	0.15608221214562965	0.050113677757899815	0.7606394208250908	51578.55281428601	2.4273547676226865	154.56631391752182	0.28553655202797473	17.555255741303863	0.4454821445458498	0.0726394420331223	0.0505474233395714	0.013059202346593529	2.038567557788639	beta_hill_baseline_confluence	True	True	True	1.990603865745119	2.6326710461490217	3
0	{'r': 0.7, 'K': 19597.0, 'k_tr': 0.5, 'k_kill': 25.0, 'k_clear': 0.5, 'beta_dose': 1.0, 'mu_base_death': 0.02, 'mu_confluence_death': 0.05, 'dose_gate_ec50_uM': 0.0125, 'dose_gate_hill': 2.0, 'theta_alive': 20.0, 'theta_dead': 20.0, 'k_cyto': 1.0}	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	365877.179676346	365877.179676346	69368.32092800962	296508.8587483364	1.0	0.18959455462451266	0.8104054453754873	365877.179676346	69368.32092800962	296508.8587483364	29	1120	35	0.0034796283886722647	0.002418537593692068	0	mu_log_r	True	0	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	69368.32092800962	73	0		73	0		True	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	False			0.7	19596.999999999993	0.5	24.999999999999996	0.5	1.0	1.0	0.02	0.05000000000000001	0.7	19596.999999999993	0.5	24.999999999999996	0.5	1.0	1.0	0.02	0.05000000000000001	0.7	19596.999999999993	0.5	24.999999999999996	0.5	1.0	1.0	0.02	0.05000000000000001	0.012500000000000006	2.0	beta_hill_baseline_confluence	True	True	True	19.999999999999996	19.999999999999996	0.7272155965916468	1782030.8113807952	0.010220979073724944	7.179139832653268	0.29625230990377394	7.924878986502128	2.2595479454357545	0.1171366202974922	0.0650028448216509	0.7775399008831548	28898055.046780456	0.0023336674139196245	4.543784787198954	0.4607258457189837	22.81705631759919	3.2280027523962618	0.38184381734882505	0.054952681317394295	0.697742368994146	10356020.292116996	0.0009646710468987423	3.3182901823246813	0.11587398409092381	21.648360035020872	3.7691690488312557	0.187245289764382	0.09884270414866514	0.013673548835961481	1.9200813749839378	beta_hill_baseline_confluence	True	True	True	0.7528872612214293	3.7458081225070647	4
1	{'r': 0.7, 'K': 19597.0, 'k_tr': 0.5, 'k_kill': 25.0, 'k_clear': 0.5, 'beta_dose': 1.0, 'mu_base_death': 0.02, 'mu_confluence_death': 0.05, 'dose_gate_ec50_uM': 0.0125, 'dose_gate_hill': 2.0, 'theta_alive': 20.0, 'theta_dead': 20.0, 'k_cyto': 100.0}	negative_binomial	alive_dead	immediate_cytostasis_delayed_death	379063.59675039916	379063.59675039916	62800.11658225115	316263.480168148	1.0	0.16567171609360037	0.8343282839063997	379063.59675039916	62800.11658225115	316263.480168148	23	928	29	0.01241877948427563	0.006085945639539394	18	delta_log_4N_r	True	0	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	62800.11658225115	73	0		73	0		True	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	False	False			0.7	19596.999999999993	0.5	24.999999999999996	0.5	100.00000000000004	1.0	0.02	0.05000000000000001	0.7	19596.999999999993	0.5	24.999999999999996	0.5	100.00000000000004	1.0	0.02	0.05000000000000001	0.7	19596.999999999993	0.5	24.999999999999996	0.5	100.00000000000004	1.0	0.02	0.05000000000000001	0.012500000000000006	2.0	beta_hill_baseline_confluence	True	True	True	19.999999999999996	19.999999999999996	1.0466611928231566	27554.494493864993	1.899618519268398	75.44269014308446	0.1941409769950548	854.0495666085816	0.6114958413562642	0.04707940959517895	0.05356475221728775	1.204020387086469	32176.920032350612	5.557853888982631	146.45096180808613	0.15067290079749396	6661.693176178644	0.4347908563195786	0.18401652909392582	0.05470752850790413	1.3582340222077367	33171.32491401794	2.456537432059625	117.15509908214912	0.09738271894976597	930.9274862654551	0.5248091476851927	0.028174434260349747	0.05616754398395753	0.01491198716927999	2.3975755787815958	beta_hill_baseline_confluence	True	True	True	4.2694786250589605	14.738779821542035	4
