"group_value","fill_value","n_cells","total_cells","proportion","group_field","fill_field","denominator_definition"
"0","2N",2320,4830,0.480331262939959,"cluster","initial_ploidy","all plotted cells within cluster"
"2","2N",451,976,0.462090163934426,"cluster","initial_ploidy","all plotted cells within cluster"
"4c","2N",61,89,0.685393258426966,"cluster","initial_ploidy","all plotted cells within cluster"
"5","2N",258,623,0.414125200642055,"cluster","initial_ploidy","all plotted cells within cluster"
"6","2N",377,686,0.549562682215743,"cluster","initial_ploidy","all plotted cells within cluster"
"8","2N",9,13,0.692307692307692,"cluster","initial_ploidy","all plotted cells within cluster"
"10","2N",1172,2106,0.55650522317189,"cluster","initial_ploidy","all plotted cells within cluster"
"13","2N",230,506,0.454545454545455,"cluster","initial_ploidy","all plotted cells within cluster"
"14","2N",2,3,0.666666666666667,"cluster","initial_ploidy","all plotted cells within cluster"
"0","4N",2510,4830,0.519668737060041,"cluster","initial_ploidy","all plotted cells within cluster"
"2","4N",525,976,0.537909836065574,"cluster","initial_ploidy","all plotted cells within cluster"
"4c","4N",28,89,0.314606741573034,"cluster","initial_ploidy","all plotted cells within cluster"
"5","4N",365,623,0.585874799357945,"cluster","initial_ploidy","all plotted cells within cluster"
"6","4N",309,686,0.450437317784257,"cluster","initial_ploidy","all plotted cells within cluster"
"8","4N",4,13,0.307692307692308,"cluster","initial_ploidy","all plotted cells within cluster"
"10","4N",934,2106,0.44349477682811,"cluster","initial_ploidy","all plotted cells within cluster"
"13","4N",276,506,0.545454545454545,"cluster","initial_ploidy","all plotted cells within cluster"
"14","4N",1,3,0.333333333333333,"cluster","initial_ploidy","all plotted cells within cluster"
