"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","gene_symbol","cluster"
8.67200926322522e-151,1.92244254771858,0.816,0.089,6.2700361374971e-146,"GRCh38-KIF20A","KIF20A","4c"
3.49132194666288e-143,2.98073840997477,0.913,0.126,2.52429559387619e-138,"GRCh38-KIF14","KIF14","4c"
6.81347626424478e-140,1.85925225626991,0.767,0.084,4.92627960857426e-135,"GRCh38-HJURP","HJURP","4c"
1.29122570975784e-137,2.16487232208908,0.932,0.129,9.33582012669113e-133,"GRCh38-DLGAP5","DLGAP5","4c"
1.36357847098688e-136,2.51735779790299,0.592,0.053,9.85894506092931e-132,"GRCh38-PIF1","PIF1","4c"
4.17902847266513e-133,2.18709135268519,0.874,0.114,3.02152116630634e-128,"GRCh38-CKAP2L","CKAP2L","4c"
3.44103984174818e-131,1.57271836456355,0.777,0.091,2.48794062638077e-126,"GRCh38-SPAG5","SPAG5","4c"
1.10684557320103e-125,2.96974725333256,0.932,0.152,8.00271486335809e-121,"GRCh38-CIT","CIT","4c"
1.35190163977909e-125,2.5528347055997,0.893,0.132,9.7745192359308e-121,"GRCh38-GTSE1","GTSE1","4c"
1.86282418160549e-125,2.09412200885589,0.816,0.108,1.3468591397844e-120,"GRCh38-KIFC1","KIFC1","4c"
1.74461830326808e-118,1.37127599330531,0.631,0.066,1.26139392562888e-113,"GRCh38-ESPL1","ESPL1","4c"
3.76597679189969e-118,1.63455161654123,0.806,0.11,2.72287654007931e-113,"GRCh38-PLK4","PLK4","4c"
3.40174243047191e-117,2.43187406529364,0.689,0.082,2.4595278120798e-112,"GRCh38-KIF18B","KIF18B","4c"
3.53492856546121e-117,2.18993946321255,0.728,0.091,2.55582405139976e-112,"GRCh38-CDC25C","CDC25C","4c"
1.86793301735259e-116,2.80734577214184,0.922,0.16,1.35055293020627e-111,"GRCh38-KNL1","KNL1","4c"
5.93409964043679e-114,1.65749767715375,0.806,0.108,4.29047272202861e-109,"GRCh38-SPC25","SPC25","4c"
8.62467984116716e-114,2.09952347707177,0.854,0.13,6.23581601876068e-109,"GRCh38-DEPDC1","DEPDC1","4c"
3.9040471356417e-112,2.03582022871334,0.903,0.143,2.82270416001166e-107,"GRCh38-CEP55","CEP55","4c"
2.79080217354666e-111,1.86382339440067,0.68,0.084,2.01780578751771e-106,"GRCh38-IQGAP3","IQGAP3","4c"
1.03643732029901e-108,2.3701278218482,0.777,0.112,7.49364911322589e-104,"GRCh38-POLQ","POLQ","4c"
2.53904589016663e-108,1.86177670361855,0.825,0.124,1.83578095950828e-103,"GRCh38-SGO1","SGO1","4c"
1.95596603675636e-107,2.38047331025684,0.874,0.151,1.41420256389558e-102,"GRCh38-BUB1B","BUB1B","4c"
9.56936061132617e-105,1.87210735582068,0.835,0.132,6.91883910920105e-100,"GRCh38-PLK1","PLK1","4c"
2.43532310333787e-104,3.17949904665661,0.971,0.208,1.76078731017535e-99,"GRCh38-MKI67","MKI67","4c"
3.35235761765108e-104,2.14879758990667,0.874,0.153,2.42382160471408e-99,"GRCh38-BUB1","BUB1","4c"
4.9004014785632e-104,3.25193242867791,0.951,0.199,3.54308827703076e-99,"GRCh38-ASPM","ASPM","4c"
6.76267565737649e-101,2.14982918695677,0.825,0.135,4.88954975379635e-96,"GRCh38-CDCA8","CDCA8","4c"
5.18605975609925e-98,1.65241365218455,0.67,0.092,3.74962492485488e-93,"GRCh38-TICRR","TICRR","4c"
8.96419736756314e-97,2.17823319717851,0.816,0.138,6.4812939806955e-92,"GRCh38-HMMR","HMMR","4c"
2.28083635333771e-96,1.60988052099151,0.767,0.117,1.64909030019023e-91,"GRCh38-NCAPH","NCAPH","4c"
4.63663772207898e-96,2.14783313755368,0.786,0.127,3.35238180581755e-91,"GRCh38-KIF15","KIF15","4c"
7.81214969142608e-94,2.80344971210842,0.903,0.184,5.64834046989489e-89,"GRCh38-KIF4A","KIF4A","4c"
9.80673108258622e-92,1.82062631471679,0.796,0.132,7.09046270733149e-87,"GRCh38-SHCBP1","SHCBP1","4c"
3.13384303686734e-91,1.56358788303137,0.786,0.127,2.26583119251583e-86,"GRCh38-CCNA2","CCNA2","4c"
7.09583488419842e-90,1.37123525896158,0.612,0.079,5.13043053797314e-85,"GRCh38-NEK2","NEK2","4c"
2.00355047290752e-88,2.71464429543282,0.922,0.215,1.44860706292159e-83,"GRCh38-ANLN","ANLN","4c"
2.67260967194291e-88,2.03652931889833,0.796,0.144,1.93235024500817e-83,"GRCh38-TTK","TTK","4c"
3.76924514790352e-88,2.01475246111968,0.806,0.147,2.72523962683721e-83,"GRCh38-NUF2","NUF2","4c"
3.36484289425457e-87,1.38856341238498,0.641,0.089,2.43284870940394e-82,"GRCh38-CDCA3","CDCA3","4c"
9.94695795699343e-86,2.4633937573641,0.864,0.188,7.19184954206539e-81,"GRCh38-KIF2C","KIF2C","4c"
2.54201457121766e-84,2.29967357180518,0.874,0.186,1.83792737528179e-79,"GRCh38-CDCA2","CDCA2","4c"
4.73049441126702e-84,2.14153970927535,0.864,0.183,3.42024206923428e-79,"GRCh38-NCAPG","NCAPG","4c"
5.29529492999208e-84,1.55267302037014,0.825,0.151,3.82860414028288e-79,"GRCh38-PBK","PBK","4c"
6.4216406386614e-81,2.50422797487901,0.893,0.207,4.64297461456497e-76,"GRCh38-DIAPH3","DIAPH3","4c"
4.17043494582125e-80,1.83765456567846,0.748,0.135,3.01530787452768e-75,"GRCh38-AURKB","AURKB","4c"
9.92192049688967e-80,3.17053375952399,0.971,0.298,7.17374695766117e-75,"GRCh38-CENPE","CENPE","4c"
4.87635609482555e-78,2.18614906726223,0.757,0.144,3.52570298368077e-73,"GRCh38-CENPI","CENPI","4c"
1.91115640969278e-77,1.52351566994661,0.845,0.178,1.38180430733607e-72,"GRCh38-CDC20","CDC20","4c"
3.12090870993801e-77,1.95739082159839,0.709,0.128,2.25647941545938e-72,"GRCh38-NEIL3","NEIL3","4c"
4.8698147023281e-77,1.8287512122295,0.66,0.108,3.52097342607726e-72,"GRCh38-ENSG00000227598","ENSG00000227598","4c"
8.70225995403044e-76,0.628005545694617,0.272,0.019,6.29190799196309e-71,"GRCh38-ENSG00000255094","ENSG00000255094","4c"
1.13622702402467e-75,2.3574217587886,0.854,0.213,8.21514862910315e-71,"GRCh38-ARHGAP11A","ARHGAP11A","4c"
1.32496870842455e-70,1.10385051598269,0.66,0.108,9.57978875565118e-66,"GRCh38-ESCO2","ESCO2","4c"
2.07593802191929e-70,1.75201833780736,0.728,0.142,1.50094470860808e-65,"GRCh38-TROAP","TROAP","4c"
2.09481013410691e-70,1.23288230640843,0.612,0.098,1.51458962316198e-65,"GRCh38-WDR62","WDR62","4c"
2.79552949021361e-70,2.02119291508566,0.796,0.183,2.02122373201424e-65,"GRCh38-STIL","STIL","4c"
3.11668138368485e-70,0.888966839876023,0.583,0.086,2.25342297403182e-65,"GRCh38-PIMREG","PIMREG","4c"
1.12979841174146e-69,1.78780009269324,0.738,0.155,8.16866847657307e-65,"GRCh38-CCDC150","CCDC150","4c"
2.79274975003994e-69,2.41712322472709,0.689,0.139,2.01921392427388e-64,"GRCh38-FAM83D","FAM83D","4c"
2.87478532919384e-69,1.15971087761777,0.553,0.082,2.07852728871373e-64,"GRCh38-DDIAS","DDIAS","4c"
3.9850372244725e-69,1.63322488035966,0.757,0.16,2.88126161403811e-64,"GRCh38-FOXM1","FOXM1","4c"
7.69509942758298e-68,2.27550446521432,0.942,0.295,5.56371078813105e-63,"GRCh38-KIF23","KIF23","4c"
3.43396407673404e-67,2.1059232061276,0.854,0.217,2.48282470676025e-62,"GRCh38-MELK","MELK","4c"
1.04085246395781e-66,2.44063817099669,0.767,0.197,7.52557148490772e-62,"GRCh38-ARHGAP11B","ARHGAP11B","4c"
1.26493767801548e-66,1.49455916638736,0.864,0.207,9.14575239958752e-62,"GRCh38-BIRC5","BIRC5","4c"
2.05855356332673e-66,1.21136844645376,0.408,0.048,1.48837539735649e-61,"GRCh38-NEURL1B","NEURL1B","4c"
1.75111128560586e-65,0.307554477399632,0.184,0.01,1.26608848171875e-60,"GRCh38-ENSG00000249084","ENSG00000249084","4c"
2.18745273227313e-65,3.01655904968986,0.942,0.358,1.58157207448812e-60,"GRCh38-TOP2A","TOP2A","4c"
7.71049397709726e-65,1.91856933872898,0.816,0.2,5.57484135532086e-60,"GRCh38-RRM2","RRM2","4c"
2.78006973521551e-64,2.48155153148818,0.777,0.195,2.01004601995552e-59,"GRCh38-CCNF","CCNF","4c"
