"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","gene_symbol","cluster","gene_key","lfc_value","p_val_adj_num","delta_pct","abs_logfc","abs_delta_pct"
0,4.97767252546142,0.838,0.267,0,"GRCh38-CCL5","CCL5",5,"CCL5",4.97767252546142,0,0.571,4.97767252546142,0.571
0,4.7470358002771,0.919,0.199,0,"GRCh38-OASL","OASL",5,"OASL",4.7470358002771,0,0.72,4.7470358002771,0.72
0,4.66564315893011,0.698,0.143,0,"GRCh38-IFIT2","IFIT2",5,"IFIT2",4.66564315893011,0,0.555,4.66564315893011,0.555
0,3.77331581097097,0.887,0.345,0,"GRCh38-IFIT3","IFIT3",5,"IFIT3",3.77331581097097,0,0.542,3.77331581097097,0.542
0,3.70648008735962,0.919,0.737,0,"GRCh38-ZC3HAV1","ZC3HAV1",5,"ZC3HAV1",3.70648008735962,0,0.182,3.70648008735962,0.182
0,3.27363935183224,0.964,0.696,0,"GRCh38-ISG15","ISG15",5,"ISG15",3.27363935183224,0,0.268,3.27363935183224,0.268
0,3.11523531567173,0.71,0.133,0,"GRCh38-HERC5","HERC5",5,"HERC5",3.11523531567173,0,0.577,3.11523531567173,0.577
2.91731675305953e-144,2.98287605250184,0.398,0.174,2.1092783587971e-139,"GRCh38-CXCL10","CXCL10",5,"CXCL10",2.98287605250184,2.1092783587971e-139,0.224,2.98287605250184,0.224
0,2.96081366425816,0.399,0.03,0,"GRCh38-RSAD2","RSAD2",5,"RSAD2",2.96081366425816,0,0.369,2.96081366425816,0.369
0,2.7391348304925,0.867,0.445,0,"GRCh38-RIGI","RIGI",5,"RIGI",2.7391348304925,0,0.422,2.7391348304925,0.422
0,2.68810075080753,0.693,0.167,0,"GRCh38-IFIT1","IFIT1",5,"IFIT1",2.68810075080753,0,0.526,2.68810075080753,0.526
0,2.54894275830852,0.836,0.557,0,"GRCh38-PLAAT4","PLAAT4",5,"PLAAT4",2.54894275830852,0,0.279,2.54894275830852,0.279
0,2.46506732198713,0.868,0.42,0,"GRCh38-DDX60","DDX60",5,"DDX60",2.46506732198713,0,0.448,2.46506732198713,0.448
3.22641771298736e-185,2.41928096096048,0.653,0.434,2.33276453484412e-180,"GRCh38-SLC2A13","SLC2A13",5,"SLC2A13",2.41928096096048,2.33276453484412e-180,0.219,2.41928096096048,0.219
4.60415063058008e-208,2.41177176993772,0.834,0.702,3.32889298892201e-203,"GRCh38-IGFBP6","IGFBP6",5,"IGFBP6",2.41177176993772,3.32889298892201e-203,0.132,2.41177176993772,0.132
0,2.33779553654026,0.77,0.312,0,"GRCh38-PMAIP1","PMAIP1",5,"PMAIP1",2.33779553654026,0,0.458,2.33779553654026,0.458
0,2.32963332640647,0.8,0.396,0,"GRCh38-ISG20","ISG20",5,"ISG20",2.32963332640647,0,0.404,2.32963332640647,0.404
0,2.28707454594293,0.789,0.429,0,"GRCh38-CXCL11","CXCL11",5,"CXCL11",2.28707454594293,0,0.36,2.28707454594293,0.36
0,2.10493307913755,0.907,0.801,0,"GRCh38-FNDC3A","FNDC3A",5,"FNDC3A",2.10493307913755,0,0.106,2.10493307913755,0.106
0,2.08679836003272,0.948,0.599,0,"GRCh38-IFI44","IFI44",5,"IFI44",2.08679836003272,0,0.349,2.08679836003272,0.349
1.96503153272342e-286,2.03922292603415,0.77,0.503,1.42075709878969e-281,"GRCh38-IFIH1","IFIH1",5,"IFIH1",2.03922292603415,1.42075709878969e-281,0.267,2.03922292603415,0.267
1.16232378876475e-254,2.00892156348459,0.906,0.794,8.40383345752687e-250,"GRCh38-GRB10","GRB10",5,"GRB10",2.00892156348459,8.40383345752687e-250,0.112,2.00892156348459,0.112
1.86157168803738e-257,1.95711950941299,0.688,0.408,1.34595356188479e-252,"GRCh38-ZNF704","ZNF704",5,"ZNF704",1.95711950941299,1.34595356188479e-252,0.28,1.95711950941299,0.28
4.35612886920511e-199,1.91493170080214,0.838,0.634,3.14956829501268e-194,"GRCh38-TTC28","TTC28",5,"TTC28",1.91493170080214,3.14956829501268e-194,0.204,1.91493170080214,0.204
