"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","gene_symbol","cluster"
0,-2.79145642311744,0.357,0.867,0,"GRCh38-PAGE5","PAGE5","8"
0,2.26910383714731,0.691,0.274,0,"GRCh38-KRT81","KRT81","8"
0,1.99985007837689,0.861,0.304,0,"GRCh38-GAGE12F","GAGE12F","8"
0,-1.89087442901871,0.814,0.921,0,"GRCh38-ZNHIT6","ZNHIT6","8"
0,1.74119700994062,0.702,0.232,0,"GRCh38-HBE1","HBE1","8"
0,1.57530743375257,0.891,0.412,0,"GRCh38-FIRRE","FIRRE","8"
0,1.40046423142061,0.899,0.337,0,"GRCh38-ENSG00000287474","ENSG00000287474","8"
0,1.30941698369127,0.652,0.214,0,"GRCh38-CDH9","CDH9","8"
0,1.27753881111873,0.894,0.472,0,"GRCh38-LINC02241","LINC02241","8"
0,1.26102432758076,0.588,0.122,0,"GRCh38-HSD11B1","HSD11B1","8"
0,1.23527213024381,0.961,0.476,0,"GRCh38-TENM1","TENM1","8"
0,1.17506767625406,0.394,0.091,0,"GRCh38-ENSG00000289084","ENSG00000289084","8"
0,1.17327423821418,0.491,0.123,0,"GRCh38-MARCHF1","MARCHF1","8"
0,1.08169292886462,0.938,0.674,0,"GRCh38-PIR","PIR","8"
0,1.02709537314567,0.301,0.021,0,"GRCh38-LINC00632","LINC00632","8"
0,1.01485342173061,0.396,0.079,0,"GRCh38-ALDH3A1","ALDH3A1","8"
0,0.989315999089911,0.233,0.025,0,"GRCh38-TNFRSF11B","TNFRSF11B","8"
0,0.965633557351322,0.645,0.126,0,"GRCh38-SMIM10","SMIM10","8"
0,0.944568500506188,0.441,0.039,0,"GRCh38-RBP1","RBP1","8"
0,0.923303689344097,0.904,0.556,0,"GRCh38-PLAAT4","PLAAT4","8"
0,0.900398403533038,0.751,0.256,0,"GRCh38-PNPLA4","PNPLA4","8"
0,0.866200431429099,0.911,0.401,0,"GRCh38-DMD","DMD","8"
0,0.85982230665937,0.373,0.038,0,"GRCh38-LINC02484","LINC02484","8"
0,0.855645620620174,0.594,0.176,0,"GRCh38-ENSG00000287172","ENSG00000287172","8"
0,0.855274847538761,0.242,0.023,0,"GRCh38-PLCB4","PLCB4","8"
0,0.838094678998925,0.206,0.013,0,"GRCh38-SGCG","SGCG","8"
0,0.836954625813007,0.45,0.061,0,"GRCh38-MASP1","MASP1","8"
0,0.80664851583366,0.406,0.09,0,"GRCh38-LYPD6B","LYPD6B","8"
