sample_id	mean_pseudotime_z	initial_ploidy_factor2N:dose_groupvehicle	initial_ploidy_factor4N:dose_groupvehicle	initial_ploidy_factor2N:dose_groupdose_30	initial_ploidy_factor4N:dose_groupdose_30	initial_ploidy_factor2N:dose_groupdose_120	initial_ploidy_factor4N:dose_groupdose_120
2N-A1-0	1.7373220758129804	1	0	0	0	0	0
2N-A1-LR	-0.8898540380765972	1	0	0	0	0	0
2N-A1-R	-0.3033680413212729	1	0	0	0	0	0
2N-A1-RR	0.25773224269369893	1	0	0	0	0	0
4N-A5-0	-1.6111510243383622	0	1	0	0	0	0
4N-A5-RR	-1.360012155108554	0	1	0	0	0	0
A5-4N-L	-0.017481083650042036	0	1	0	0	0	0
A5-4N-R	-1.3255764299362505	0	1	0	0	0	0
2N-A2-0	1.0856449213268382	0	0	1	0	0	0
2N-A2-L	1.2848097743518925	0	0	1	0	0	0
A6-4N-O	0.25465089625767073	0	0	0	1	0	0
A6-4N-RR	-0.2936361222325628	0	0	0	1	0	0
2N-A4-R	-0.03730818305144885	0	0	0	0	1	0
2N-A4-RL	1.2796429221373502	0	0	0	0	1	0
4N-A8-RL	-0.3526709299291865	0	0	0	0	0	1
4N-A8-RR	0.2912551750638559	0	0	0	0	0	1
