sample_id	initial_ploidy	dose_mg	treatment	n_cells	mean_pseudotime	median_pseudotime	minimum_pseudotime	maximum_pseudotime	library_size
2N-A1-0	2N	0	vehicle	12	0.41534719119469327	0.42215125262737274	0.32862719893455505	0.4838056266307831	562043
2N-A1-LR	2N	0	vehicle	19	0.38537337591773585	0.3803605437278748	0.2976749539375305	0.4836874306201935	952180
2N-A1-R	2N	0	vehicle	12	0.3920646756887436	0.4068479686975479	0.29930636286735535	0.48517072200775146	587426
2N-A1-RR	2N	0	vehicle	65	0.3984663463555849	0.407977819442749	0.2978894114494324	0.48480403423309326	1776258
4N-A5-0	4N	0	vehicle	12	0.3771439989407857	0.3801918923854828	0.306148499250412	0.4442159235477448	1280674
4N-A5-RR	4N	0	vehicle	9	0.3800092769993676	0.3713555932044983	0.30054596066474915	0.4737553894519806	1128336
A5-4N-L	4N	0	vehicle	19	0.395326399489453	0.3998218774795532	0.297911137342453	0.48500457406044006	855012
A5-4N-R	4N	0	vehicle	16	0.3804021589457989	0.36234012246131897	0.3204393982887268	0.4743037521839142	1071448
2N-A2-0	2N	30	treated	16	0.40791211649775505	0.4030048996210098	0.3026253581047058	0.4858188927173615	844606
2N-A2-L	2N	30	treated	34	0.410184415824273	0.41857555508613586	0.29831305146217346	0.4844078421592712	707115
A6-4N-O	4N	30	treated	10	0.39843119084835055	0.40256018936634064	0.3027132451534271	0.47527575492858887	603159
A6-4N-RR	4N	30	treated	28	0.3921757084982736	0.41386881470680237	0.3041536509990692	0.4838870167732239	3446031
2N-A4-R	2N	120	treated	32	0.39510018937289715	0.4085172265768051	0.29665082693099976	0.4822825789451599	154178
2N-A4-RL	2N	120	treated	52	0.4101254664934599	0.4227553308010101	0.2993488907814026	0.4828678369522095	2405978
4N-A8-RL	4N	120	treated	64	0.3915021722204983	0.39021924138069153	0.3013512194156647	0.48474082350730896	4576428
4N-A8-RR	4N	120	treated	17	0.3988488141228171	0.40825390815734863	0.2985120415687561	0.4784141480922699	187366
