collection_id	collection_label	pathway_id	pathway_label	ranking_id	pval	padj	log2err	ES	NES	size	direction	leading_edge_genes	model_id
H	Hallmark	HALLMARK_MYC_TARGETS_V1	Myc Targets V1	primary_adjacent_state	8.55926402032124e-94	4.27963201016062e-92	2.53366611259277	-0.796495121556018	-4.88697687569609	200	negative	PCNA;MCM5;KPNB1;MCM6;TYMS;LSM7;SNRPG;DUT;SRM;TFDP1;NDUFAB1;MCM7;PPM1G;MCM2;SRSF2;RANBP1;PSMA4;TXNL4A;USP1;NME1;MCM4;SNRPD1;H2AZ1;NOP56;SET;PRDX4;PSMA7;PHB2;HSPE1;EIF1AX;RFC4;NHP2;GLO1;SSBP1;SNRPD3;ABCE1;RAN;NAP1L1;CDC45;PSMB2;PA2G4;MRPL9;ERH;PSMA1;PHB1;C1QBP;SRSF7;XRCC6;HSP90AB1;HPRT1;SERBP1;CTPS1;SNRPD2;PSMA2;PTGES3;CCT2;UBE2L3;COX5A;SNRPA;CDK4;SLC25A3;VDAC3;NPM1;PRDX3;FBL;EIF2S2;EIF4A1;TUFM;SRSF3;LSM2;DEK;VDAC1;EIF4E;CCT3;HNRNPR;PSMB3;CCT7;PSMD8;POLE3;HNRNPD;TRIM28;EEF1B2;NOLC1;SRPK1;GNL3;PCBP1;SSB;HDAC2;PSMD3;TOMM70;RPS10;CYC1;PPIA;RRP9;PSMD1;AIMP2;HSPD1;PSMA6;EIF2S1;RPL18;APEX1;SRSF1;G3BP1;RNPS1;EPRS1;SNRPA1;HDDC2;XPO1;RPS3;PSMC4;RPS5;POLD2;SYNCRIP;CCT5;PABPC4;RSL1D1;CCT4;RRM1;SNRPB2;EIF3D;PSMD7;RPL22;ACP1;NOP16;PRPS2;SF3B3;CLNS1A;RPL6;PSMC6;DDX18;PWP1;CDK2;RPS6;EIF3J;RACK1;CBX3;AP3S1;COPS5;U2AF1;RPL14;GSPT1;DDX21;CUL1;CAD;EXOSC7;YWHAQ	ETP_reference_balanced_threshold_2_24
H	Hallmark	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Oxidative Phosphorylation	primary_adjacent_state	1.11675549273312e-77	2.79188873183279e-76	2.30244104428451	-0.74765787204559	-4.58733096127566	200	negative	UQCR10;NDUFAB1;BAX;UQCRFS1;MRPL11;MPC1;MRPS15;ATP5F1D;MRPL34;CYCS;TIMM8B;ATP5MC1;NDUFA6;LDHB;ATP5MC3;NDUFS8;MRPL15;PHB2;SLC25A11;ATP5PF;TIMM9;FXN;POLR2F;NDUFB2;HSD17B10;ATP5ME;COX7B;NDUFC2;TOMM22;NDUFS6;TIMM13;MRPS12;NDUFA4;COX5A;ATP5MF;SLC25A3;VDAC3;PRDX3;UQCRB;ATP5MG;UQCRH;COX15;ISCU;NDUFA1;VDAC1;MRPL35;ATP5F1B;SDHA;SUCLG1;SLC25A5;IMMT;NDUFS3;ATP5F1C;CPT1A;NDUFA8;PDHA1;ATP5F1E;COX5B;ATP6V0B;NDUFS7;TIMM10;ATP5PO;SDHD;TIMM50;ATP5F1A;TOMM70;CYC1;FDX1;VDAC2;HCCS;ATP5PB;NDUFB8;NDUFB7;NDUFA9;GRPEL1;COX11;ECI1;COX4I1;CYB5R3;SDHB;ECHS1;UQCR11;OXA1L;AFG3L2;ATP6V1F;NDUFB3;FH;SLC25A6;UQCRC2;NDUFC1;NDUFV2;PDHB;ACAT1;HSPA9;NDUFB4;NDUFB1;DLAT;ETFB;NDUFA2;UQCRQ;COX7C;ACAA1;IDH3G;ALAS1;ATP6AP1;MRPS30;NDUFA5;NDUFA7;IDH1;MRPS11;COX10;CYB5A;COX7A2;ATP6V0E1;NDUFB6;COX6C;ETFA;MDH2;CS;GPX4;COX8A;PMPCA;MTX2;COX6B1;NDUFV1;TCIRG1;ATP1B1;DLD;UQCRC1;OGDH;COX17;TIMM17A;ACAA2;COX7A2L;ATP6V1E1;NDUFB5;MDH1;SURF1;SLC25A12	ETP_reference_balanced_threshold_2_24
H	Hallmark	HALLMARK_E2F_TARGETS	E2f Targets	primary_adjacent_state	1.1742608849676e-66	1.957101474946e-65	2.13441997365622	-0.705331016718759	-4.32763023291583	200	negative	POLD3;PCNA;MCM5;LIG1;MCM6;MCM3;UNG;DUT;MCM7;POLA2;POLE;MCM2;TCF19;GINS3;SRSF2;SLBP;MMS22L;RANBP1;DONSON;RAD51C;CDC25A;CNOT9;USP1;TIPIN;NME1;MCM4;RAD51AP1;H2AZ1;NOP56;UBE2T;GINS1;RFC2;PRDX4;ATAD2;HELLS;RAN;NAP1L1;MSH2;SNRPB;CCNE1;PA2G4;CSE1L;DSCC1;BRCA1;NASP;H2AX;SMC3;XRCC6;DNMT1;RFC3;CTPS1;SMC6;PRKDC;CDK4;RRM2;SSRP1;DEK;DCTPP1;DCK;RPA1;BARD1;RPA2;E2F8;LYAR;SMC1A;HNRNPD;HMGA1;BRCA2;POP7;CHEK2;CENPM;NOLC1;TUBB;DDX39A;DCLRE1B;TMPO;MELK;ORC6;PSMC3IP;PSIP1;ASF1B;PAICS;POLD1;RAD1;EED;EIF2S1;IPO7;CCP110;SRSF1;POLE4;XPO1;MYBL2;POLD2;RPA3;SYNCRIP;ZW10;LUC7L3;CDC25B;NUP107;PHF5A;PNN;TBRG4;PDS5B;EZH2;MLH1;RBBP7;CHEK1;TUBG1;AK2;TIMELESS;RAD50;RFC1;PRIM2;LMNB1;SUV39H1;NBN;PPM1D;NAA38;GSPT1;TP53;CTCF;PRPS1;HUS1;JPT1;CBX5;SHMT1;PLK4	ETP_reference_balanced_threshold_2_24
H	Hallmark	HALLMARK_DNA_REPAIR	Dna Repair	primary_adjacent_state	1.92921815996006e-37	2.41152269995008e-36	1.58945578468201	-0.627761655198489	-3.91783732440069	148	negative	POLD3;PCNA;LIG1;FEN1;TYMS;DUT;SAC3D1;POLA2;CDA;NME1;RAD51;ADRM1;RFC2;PNP;PRIM1;RFC4;POLR1H;POLR2F;POLR2I;GTF2H5;HPRT1;RFC3;ITPA;RFC5;CSTF3;POLR2J;NUDT9;DGCR8;CCNO;SSRP1;POLA1;RPA2;ALYREF;NFX1;EDF1;UMPS;ZWINT;AK3;GTF3C5;NT5C3A;APRT;NME4;POLD1;GUK1;DAD1;DDB2;POLE4;SUPT4H1;RPA3;NELFCD;POLR2E;NELFE;POLR2K;SNAPC5;POLR2G;SF3A3;NME3;CANT1;TARBP2;TAF9;POLR2H;RBX1;NT5C;MRPL40;SMAD5;GPX4;DGUOK;TP53;POLH;RAE1;BCAP31;POLR2D;COX17;DCTN4;IMPDH2;MPC2;NCBP2;ERCC4;CLP1;SURF1;TAF6	ETP_reference_balanced_threshold_2_24
H	Hallmark	HALLMARK_MTORC1_SIGNALING	Mtorc1 Signaling	primary_adjacent_state	2.76632425423153e-37	2.76632425423153e-36	1.58945578468201	-0.549111607758122	-3.41444865514693	197	negative	UNG;MCM2;CDC25A;PSMA4;MCM4;SQLE;ATP5MC1;PRDX1;PNP;TOMM40;HSPE1;SLC1A5;GSR;ELOVL6;PSME3;PSAT1;GMPS;SLC37A4;TMEM97;HPRT1;PSMB5;HMBS;CACYBP;CCT6A;EIF2S2;DHFR;RRM2;RPA1;DHCR24;EBP;HMGCR;IMMT;SDF2L1;PSMA3;UCHL5;QDPR;DDX39A;POLR3G;PPA1;EEF1E1;PITPNB;PPIA;RRP9;HSPD1;ACLY;PSMD12;ARPC5L;EPRS1;NMT1;PDAP1;NFYC;PSMG1;CYP51A1;PSMC4;RPN1;STIP1;TXNRD1;SSR1;SCD;LDLR;RDH11;ACTR3;SEC11A;DHCR7;IFI30;HSPA9;TUBG1;PSMC6;SKAP2;FADS1;TRIB3;G6PD;FADS2;IDH1;COPS5;ME1;PSMD13;SRD5A1;NUFIP1;HSPA4;CORO1A;ACACA;INSIG1;CYB5B;SORD;WARS1;HMGCS1;NUP205;PSMC2;UBE2D3;IDI1;FDXR;TCEA1;CTSC;ACTR2	ETP_reference_balanced_threshold_2_24
H	Hallmark	HALLMARK_G2M_CHECKPOINT	G2m Checkpoint	primary_adjacent_state	8.80481040263893e-36	7.33734200219911e-35	1.55654423323138	-0.53358417388455	-3.34027665764847	198	negative	MCM5;KPNB1;MCM6;MCM3;CHAF1A;GINS2;RBL1;CCND1;TFDP1;E2F1;POLA2;POLE;MCM2;SRSF2;NSD2;CDC25A;SQLE;SNRPD1;H2AZ1;CDC6;EXO1;CDC45;NASP;H2AX;CDK4;DKC1;TNPO2;FANCC;BARD1;SRSF10;RPA2;CDC7;POLQ;SMC1A;HNRNPD;HMGA1;BRCA2;NOLC1;CASP8AP2;DDX39A;STIL;TMPO;ORC5;ORC6;RAD54L;DTYMK;FBXO5;E2F2;LIG3;E2F3;SRSF1;G3BP1;XPO1;MYBL2;SYNCRIP;CUL5;AMD1;CDC25B;PDS5B;EZH2;CHEK1;NCL;HSPA8;ATF5;MAPK14;MEIS2;UCK2;PAFAH1B1;PRIM2;LMNB1;SUV39H1;GSPT1;CTCF;HUS1;CUL1;JPT1;UPF1;E2F4;MTF2;PLK4;CHMP1A	ETP_reference_balanced_threshold_2_24
H	Hallmark	HALLMARK_ADIPOGENESIS	Adipogenesis	primary_adjacent_state	6.99557289829202e-26	4.9968377844943e-25	1.31888879607587	-0.461612265427922	-2.88565609468303	191	negative	UQCR10;NDUFAB1;SAMM50;MRPL15;SLC19A1;SLC1A5;ELOVL6;CHCHD10;COX7B;REEP5;SOD1;PRDX3;RAB34;JAGN1;TALDO1;PREB;SUCLG1;RTN3;IMMT;NDUFS3;QDPR;COQ9;SLC25A10;ATP5PO;SLC5A6;DNAJC15;CYC1;MTCH2;NDUFB7;ACLY;GRPEL1;MYLK;NMT1;SLC25A1;GHITM;PEMT;SDHB;ECHS1;UQCR11;DHRS7B;ESRRA;TKT;GPHN;GPAT4;DHCR7;DLAT;ETFB;AK2;UQCRQ;IDH3G;RMDN3;PEX14;NDUFA5;CMBL;ATL2;IDH1;DRAM2;ATP1B3;NKIRAS1;ME1;MDH2;ELMOD3;CS;GPX4;COX8A;SLC66A3;SCARB1;STAT5A;ITSN1;DHRS7;COQ3;DDT;DLD;UQCRC1;ACAA2;ACADS;RNF11;CMPK1;CD151;PTCD3;PPARG;RETSAT;FAH;CHUK;STOM;GPAM;COQ5;CAVIN1;COX6A1;TST;MIGA2;CPT2;ADCY6;ESYT1;ACADM;IDH3A;CDKN2C;ARAF;SCP2;ADIPOR2;FABP4	ETP_reference_balanced_threshold_2_24
H	Hallmark	HALLMARK_MYC_TARGETS_V2	Myc Targets V2	primary_adjacent_state	3.02544199150723e-24	1.89090124469202e-23	1.27903397725049	-0.771919373367994	-4.16783809375152	58	negative	MCM5;UNG;SRM;MRTO4;MCM4;NOP56;HSPE1;SLC19A1;PA2G4;PHB1;TMEM97;RABEPK;CDK4;NPM1;EXOSC5;IMP4;DCTPP1;NOLC1;NDUFAF4;LAS1L;GNL3;UTP20;RRP9;FARSA;AIMP2;HSPD1;TCOF1;NIP7;NOC4L;TBRG4;NOP16;PUS1;PPAN;WDR43;DDX18;BYSL;CBX3;IPO4;GRWD1;PLK4;SORD;MPHOSPH10	ETP_reference_balanced_threshold_2_24
H	Hallmark	HALLMARK_FATTY_ACID_METABOLISM	Fatty Acid Metabolism	primary_adjacent_state	1.07008946143063e-21	5.94494145239241e-21	1.20397524075264	-0.505756403647053	-3.12962611608169	138	negative	ACAT2;H2AZ1;ADSL;HSD17B10;CBR1;NSDHL;DHCR24;SDHA;SUCLG1;GRHPR;RAP1GDS1;MIX23;CPT1A;PDHA1;PRDX6;HSDL2;SDHD;ACOT8;PCBD1;SMS;NTHL1;HCCS;ECI1;APEX1;YWHAH;UROD;ECHS1;CBR3;S100A10;FH;PDHB;HSP90AA1;RDH11;ERP29;NCAPH2;ACAA1;IDH3G;ECI2;UROS;IDH1;ME1;MDH2;NBN;CRYZ;BCKDHB;DLD;FASN;ACAA2;HMGCS1;ACADS;ALDH9A1;ACOT2;METAP1;MDH1;IDI1;ALAD;PSME1;SUCLG2;RETSAT;UBE2L6;PTPRG;PTS	ETP_reference_balanced_threshold_2_24
H	Hallmark	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Unfolded Protein Response	primary_adjacent_state	4.1791070419793e-20	2.08955352098965e-19	1.16017957183021	-0.532170155807237	-3.22115812815125	110	negative	EIF4EBP1;NOP56;BANF1;NHP2;PSAT1;EXOSC4;H2AX;EXOSC9;NPM1;EXOSC5;DKC1;EIF4A1;PREB;LSM4;EIF4E;SPCS1;NOLC1;EXOC2;EEF2;CEBPG;RRP9;EIF4G1;EIF2S1;GOSR2;POP4;SSR1;YIF1A;SEC11A;KHSRP;SRPRB;HSPA9;SDAD1;EIF4A3;DDX10;EXOSC1;TARS1;EXOSC2;PDIA5;NFYA;GEMIN4;SPCS3;LSM1;WFS1;RPS14;EDC4;ATP6V0D1;CXXC1;EXOSC10;SRPRA;NFYB;NOP14;SLC30A5	ETP_reference_balanced_threshold_2_24
