rank	gene_id	gene_symbol	moderated_t	p_value	fdr	fitted_log_expr_difference	average_expression	B	contrast_id	model_id	symbol_resolution_rank	retained_for_gsea
1	GRCh38-ENSG00000253181	ENSG00000253181	6.03993796271953	6.39199041884541e-09	0.000104792789103214	1.10514537029878	0.0050483930300668	9.95334938711247	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
2	GRCh38-NUP93-DT	NUP93-DT	5.93209773265546	1.13115497389917e-08	0.000104792789103214	0.985227847234914	0.260405178884981	9.44148874097691	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
3	GRCh38-ENSG00000248100	ENSG00000248100	5.8848550266006	1.44931594085075e-08	0.000104792789103214	0.925221171734572	0.0673729316944388	9.20034113717823	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
4	GRCh38-XK	XK	5.79821296770096	2.2753434367542e-08	0.00013161496575561	0.938738039402948	0.07701617444411	8.7916806481893	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
5	GRCh38-LINC00222	LINC00222	5.75839241456435	2.79515714516469e-08	0.000134735891587422	0.922430158131955	-0.0436398307075964	8.59598435092095	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
6	GRCh38-ENSG00000286379	ENSG00000286379	5.72661447500643	3.29164544857244e-08	0.000136001385233732	0.908586174779909	-0.0308610458276492	8.44270406246604	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
7	GRCh38-ANXA9	ANXA9	5.69919506754267	3.78845951844527e-08	0.000136962282740593	0.914819116181947	-0.0216310335996593	8.30959751100953	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
8	GRCm39-Polr2m	Polr2m	5.64827857964346	4.91235458568451e-08	0.000142075119327167	0.919849208293753	0.427958405732278	8.10567056198168	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
9	GRCh38-DARS1-AS1	DARS1-AS1	5.59775873142187	6.34659883740889e-08	0.0001668693923414	0.861094517351633	1.72786474814695	7.90407466375175	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
10	GRCh38-PTGER3	PTGER3	5.53663707662381	8.6338409419744e-08	0.000178626869901551	0.963569649933349	0.223701998419766	7.56688782642788	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
11	GRCh38-ENSG00000287402	ENSG00000287402	5.52953071260456	8.94700531927254e-08	0.000178626869901551	0.915243882230258	-0.0222969457068025	7.52328767037174	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
12	GRCh38-TILRLS	TILRLS	5.52700680426395	9.06087177824111e-08	0.000178626869901551	0.85584999184976	-0.0564186155875436	7.51049321173606	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
13	GRCm39-Etv1	Etv1	5.4800539875669	1.14557181436017e-07	0.000178626869901551	0.882363701259257	0.0516570457900703	7.30713502032196	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
14	GRCh38-INHBC	INHBC	5.47298062795092	1.18662393325674e-07	0.000178626869901551	0.916466956087307	0.031672617561725	7.26930587945186	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
15	GRCh38-ENSG00000290117	ENSG00000290117	5.46555241122727	1.23127763027984e-07	0.000178626869901551	0.972842333173585	0.580885479595432	7.25687084623757	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
16	GRCm39-Pmpcb	Pmpcb	5.4649073289041	1.23523179518395e-07	0.000178626869901551	0.905595599910716	0.0820776085222942	7.23603091945026	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
17	GRCh38-ENSG00000289990	ENSG00000289990	5.42491521067263	1.50608074335533e-07	0.000200939153940569	0.842867426814336	-0.152295947315475	7.04113014927927	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
18	GRCm39-Cdc25b	Cdc25b	5.42192920040129	1.52847707167296e-07	0.000200939153940569	0.833502783740268	0.0355518628903339	7.03509858421567	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
19	GRCm39-Rfx3	Rfx3	5.40651847355039	1.64931823975747e-07	0.000207398183175068	0.925860541149686	0.182881918518769	6.980552912852	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
20	GRCh38-GRTP1-AS1	GRTP1-AS1	5.3764017979936	1.91289612826622e-07	0.0002176488535606	0.938692535052125	-0.0163127608062162	6.82669552991432	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
21	GRCm39-Ap4b1	Ap4b1	5.36715625849308	2.00173351043637e-07	0.0002176488535606	0.848802369057609	0.0192803500759497	6.7869615218997	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
22	GRCm39-2210408F21Rik	2210408F21Rik	5.3526573109015	2.14918923899819e-07	0.0002176488535606	0.93073820176083	0.186318601735685	6.729276767103	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
23	GRCh38-ARHGEF2-AS2	ARHGEF2-AS2	5.33634843488123	2.32769067340652e-07	0.0002176488535606	0.888085023852857	0.0466399140832678	6.64715895387424	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
24	GRCh38-LINC02054	LINC02054	5.32514384375196	2.45859695218348e-07	0.000222211065784533	0.879471976551535	-0.0759310695448385	6.59468599801178	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
25	GRCm39-4933433G15Rik	4933433G15Rik	5.30061211715544	2.77069173994081e-07	0.000242830140916873	0.85294070757402	-0.00602543289241835	6.48872847131695	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
26	GRCh38-LINC02050	LINC02050	5.27403010038287	3.15234029727755e-07	0.000265140654562981	0.925398459341928	0.076317341436803	6.37196425184582	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
27	GRCh38-ANKK1	ANKK1	5.27037860263883	3.20860345401575e-07	0.000265140654562981	0.841818737303682	-0.0211048188490018	6.3530940140768	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
28	GRCh38-LINC02986	LINC02986	5.25684212985461	3.42581747124496e-07	0.000267787818657694	0.840315490687067	-0.0309170905451695	6.29276363140892	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
29	GRCh38-LNP1	LNP1	5.23784285279547	3.75495160694273e-07	0.00027355290728905	0.805245419329873	2.46535601594286	6.22983129440943	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
30	GRCh38-ENSG00000286577	ENSG00000286577	5.23177442694152	3.86640681568637e-07	0.00027355290728905	0.918274890839839	0.171317560951917	6.18986807895172	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
31	GRCm39-5830416I19Rik	5830416I19Rik	5.21937082659529	4.10430268955096e-07	0.00027355290728905	0.802220738574721	0.0883012357264656	6.13303009266758	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
32	GRCh38-LILRA6	LILRA6	5.21729017293264	4.14557715657556e-07	0.00027355290728905	0.824177950519376	-0.0551704440122225	6.11717999900564	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
33	GRCm39-Tsnax	Tsnax	5.21648531115584	4.16165131066945e-07	0.00027355290728905	0.836029522703884	0.00267836458491397	6.11550872481701	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
34	GRCh38-ENSG00000287170	ENSG00000287170	5.20709395037687	4.35374137271375e-07	0.000273736756481798	0.822600664884757	0.0262658059448237	6.07566530786132	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
35	GRCh38-ENSG00000287238	ENSG00000287238	5.18008516866167	4.95541287000483e-07	0.000301003100927465	0.817158296360412	-0.0881836396741281	5.95362563883717	primary_adjacent_state	ETP_reference_balanced_threshold_2_24	1	TRUE
