sample_id	pseudotime_bin	sample_bin_id	cell_count	bin_start	bin_end	bin_midpoint	dose	dose_mg	initial_ploidy	n_cells	mean_pseudotime	n_endpoint_ploidy_cells	sample_mean_endpoint_ploidy	sample_median_endpoint_ploidy	sample_max_endpoint_ploidy	sample_mean_endpoint_ploidy_scaled	ETP_fixed_threshold_2_25_group	ETP_boundary_stress_threshold_2_375_group	ETP_reference_balanced_threshold_2_24_group	retained_for_model	exclusion_reason	library_size
2N-A1-0	1	2N-A1-0__bin01	6	0	0.05	0.025	0mg/kg	0	2N	99	0.494258724595185	413	2.12476348201006	2.11872271835871	2.22068065306211	-0.649228752557773	ETP-lower	ETP-lower	ETP-lower	TRUE	NA	545813
2N-A1-0	2	2N-A1-0__bin02	11	0.05	0.1	0.075	0mg/kg	0	2N	99	0.494258724595185	413	2.12476348201006	2.11872271835871	2.22068065306211	-0.649228752557773	ETP-lower	ETP-lower	ETP-lower	TRUE	NA	900573
2N-A1-0	3	2N-A1-0__bin03	5	0.1	0.15	0.125	0mg/kg	0	2N	99	0.494258724595185	413	2.12476348201006	2.11872271835871	2.22068065306211	-0.649228752557773	ETP-lower	ETP-lower	ETP-lower	TRUE	NA	336244
2N-A1-0	4	2N-A1-0__bin04	2	0.15	0.2	0.175	0mg/kg	0	2N	99	0.494258724595185	413	2.12476348201006	2.11872271835871	2.22068065306211	-0.649228752557773	ETP-lower	ETP-lower	ETP-lower	FALSE	cell_count<5	137553
2N-A1-0	5	2N-A1-0__bin05	5	0.2	0.25	0.225	0mg/kg	0	2N	99	0.494258724595185	413	2.12476348201006	2.11872271835871	2.22068065306211	-0.649228752557773	ETP-lower	ETP-lower	ETP-lower	TRUE	NA	258930
2N-A1-0	6	2N-A1-0__bin06	2	0.25	0.3	0.275	0mg/kg	0	2N	99	0.494258724595185	413	2.12476348201006	2.11872271835871	2.22068065306211	-0.649228752557773	ETP-lower	ETP-lower	ETP-lower	FALSE	cell_count<5	11496
2N-A1-0	7	2N-A1-0__bin07	1	0.3	0.35	0.325	0mg/kg	0	2N	99	0.494258724595185	413	2.12476348201006	2.11872271835871	2.22068065306211	-0.649228752557773	ETP-lower	ETP-lower	ETP-lower	FALSE	cell_count<5	20102
2N-A1-0	8	2N-A1-0__bin08	3	0.35	0.4	0.375	0mg/kg	0	2N	99	0.494258724595185	413	2.12476348201006	2.11872271835871	2.22068065306211	-0.649228752557773	ETP-lower	ETP-lower	ETP-lower	FALSE	cell_count<5	196987
2N-A1-0	9	2N-A1-0__bin09	7	0.4	0.45	0.425	0mg/kg	0	2N	99	0.494258724595185	413	2.12476348201006	2.11872271835871	2.22068065306211	-0.649228752557773	ETP-lower	ETP-lower	ETP-lower	TRUE	NA	343864
2N-A1-0	10	2N-A1-0__bin10	3	0.45	0.5	0.475	0mg/kg	0	2N	99	0.494258724595185	413	2.12476348201006	2.11872271835871	2.22068065306211	-0.649228752557773	ETP-lower	ETP-lower	ETP-lower	FALSE	cell_count<5	73513
2N-A1-0	11	2N-A1-0__bin11	4	0.5	0.55	0.525	0mg/kg	0	2N	99	0.494258724595185	413	2.12476348201006	2.11872271835871	2.22068065306211	-0.649228752557773	ETP-lower	ETP-lower	ETP-lower	FALSE	cell_count<5	257171
2N-A1-0	12	2N-A1-0__bin12	9	0.55	0.6	0.575	0mg/kg	0	2N	99	0.494258724595185	413	2.12476348201006	2.11872271835871	2.22068065306211	-0.649228752557773	ETP-lower	ETP-lower	ETP-lower	TRUE	NA	504151
2N-A1-0	13	2N-A1-0__bin13	2	0.6	0.65	0.625	0mg/kg	0	2N	99	0.494258724595185	413	2.12476348201006	2.11872271835871	2.22068065306211	-0.649228752557773	ETP-lower	ETP-lower	ETP-lower	FALSE	cell_count<5	110917
2N-A1-0	14	2N-A1-0__bin14	7	0.65	0.7	0.675	0mg/kg	0	2N	99	0.494258724595185	413	2.12476348201006	2.11872271835871	2.22068065306211	-0.649228752557773	ETP-lower	ETP-lower	ETP-lower	TRUE	NA	368833
2N-A1-0	15	2N-A1-0__bin15	5	0.7	0.75	0.725	0mg/kg	0	2N	99	0.494258724595185	413	2.12476348201006	2.11872271835871	2.22068065306211	-0.649228752557773	ETP-lower	ETP-lower	ETP-lower	TRUE	NA	484672
2N-A1-0	16	2N-A1-0__bin16	9	0.75	0.8	0.775	0mg/kg	0	2N	99	0.494258724595185	413	2.12476348201006	2.11872271835871	2.22068065306211	-0.649228752557773	ETP-lower	ETP-lower	ETP-lower	TRUE	NA	657879
2N-A1-0	17	2N-A1-0__bin17	6	0.8	0.85	0.825	0mg/kg	0	2N	99	0.494258724595185	413	2.12476348201006	2.11872271835871	2.22068065306211	-0.649228752557773	ETP-lower	ETP-lower	ETP-lower	TRUE	NA	770861
2N-A1-0	18	2N-A1-0__bin18	9	0.85	0.9	0.875	0mg/kg	0	2N	99	0.494258724595185	413	2.12476348201006	2.11872271835871	2.22068065306211	-0.649228752557773	ETP-lower	ETP-lower	ETP-lower	TRUE	NA	747570
2N-A1-0	19	2N-A1-0__bin19	3	0.9	0.95	0.925	0mg/kg	0	2N	99	0.494258724595185	413	2.12476348201006	2.11872271835871	2.22068065306211	-0.649228752557773	ETP-lower	ETP-lower	ETP-lower	FALSE	cell_count<5	364266
2N-A1-0	20	2N-A1-0__bin20	0	0.95	1	0.975	0mg/kg	0	2N	99	0.494258724595185	413	2.12476348201006	2.11872271835871	2.22068065306211	-0.649228752557773	ETP-lower	ETP-lower	ETP-lower	FALSE	cell_count<5	0
2N-A1-LR	1	2N-A1-LR__bin01	3	0	0.05	0.025	0mg/kg	0	2N	125	0.523321824155748	369	2.24448306836754	2.25011031475795	2.28022920138155	0.110775846895509	ETP-lower	ETP-lower	ETP-higher	FALSE	cell_count<5	270659
2N-A1-LR	2	2N-A1-LR__bin02	15	0.05	0.1	0.075	0mg/kg	0	2N	125	0.523321824155748	369	2.24448306836754	2.25011031475795	2.28022920138155	0.110775846895509	ETP-lower	ETP-lower	ETP-higher	TRUE	NA	1585128
2N-A1-LR	3	2N-A1-LR__bin03	3	0.1	0.15	0.125	0mg/kg	0	2N	125	0.523321824155748	369	2.24448306836754	2.25011031475795	2.28022920138155	0.110775846895509	ETP-lower	ETP-lower	ETP-higher	FALSE	cell_count<5	237202
2N-A1-LR	4	2N-A1-LR__bin04	4	0.15	0.2	0.175	0mg/kg	0	2N	125	0.523321824155748	369	2.24448306836754	2.25011031475795	2.28022920138155	0.110775846895509	ETP-lower	ETP-lower	ETP-higher	FALSE	cell_count<5	331455
2N-A1-LR	5	2N-A1-LR__bin05	5	0.2	0.25	0.225	0mg/kg	0	2N	125	0.523321824155748	369	2.24448306836754	2.25011031475795	2.28022920138155	0.110775846895509	ETP-lower	ETP-lower	ETP-higher	TRUE	NA	276357
2N-A1-LR	6	2N-A1-LR__bin06	6	0.25	0.3	0.275	0mg/kg	0	2N	125	0.523321824155748	369	2.24448306836754	2.25011031475795	2.28022920138155	0.110775846895509	ETP-lower	ETP-lower	ETP-higher	TRUE	NA	24595
2N-A1-LR	7	2N-A1-LR__bin07	7	0.3	0.35	0.325	0mg/kg	0	2N	125	0.523321824155748	369	2.24448306836754	2.25011031475795	2.28022920138155	0.110775846895509	ETP-lower	ETP-lower	ETP-higher	TRUE	NA	227373
2N-A1-LR	8	2N-A1-LR__bin08	5	0.35	0.4	0.375	0mg/kg	0	2N	125	0.523321824155748	369	2.24448306836754	2.25011031475795	2.28022920138155	0.110775846895509	ETP-lower	ETP-lower	ETP-higher	TRUE	NA	433770
2N-A1-LR	9	2N-A1-LR__bin09	1	0.4	0.45	0.425	0mg/kg	0	2N	125	0.523321824155748	369	2.24448306836754	2.25011031475795	2.28022920138155	0.110775846895509	ETP-lower	ETP-lower	ETP-higher	FALSE	cell_count<5	219758
2N-A1-LR	10	2N-A1-LR__bin10	6	0.45	0.5	0.475	0mg/kg	0	2N	125	0.523321824155748	369	2.24448306836754	2.25011031475795	2.28022920138155	0.110775846895509	ETP-lower	ETP-lower	ETP-higher	TRUE	NA	211972
2N-A1-LR	11	2N-A1-LR__bin11	7	0.5	0.55	0.525	0mg/kg	0	2N	125	0.523321824155748	369	2.24448306836754	2.25011031475795	2.28022920138155	0.110775846895509	ETP-lower	ETP-lower	ETP-higher	TRUE	NA	301528
2N-A1-LR	12	2N-A1-LR__bin12	6	0.55	0.6	0.575	0mg/kg	0	2N	125	0.523321824155748	369	2.24448306836754	2.25011031475795	2.28022920138155	0.110775846895509	ETP-lower	ETP-lower	ETP-higher	TRUE	NA	43302
2N-A1-LR	13	2N-A1-LR__bin13	3	0.6	0.65	0.625	0mg/kg	0	2N	125	0.523321824155748	369	2.24448306836754	2.25011031475795	2.28022920138155	0.110775846895509	ETP-lower	ETP-lower	ETP-higher	FALSE	cell_count<5	86143
2N-A1-LR	14	2N-A1-LR__bin14	5	0.65	0.7	0.675	0mg/kg	0	2N	125	0.523321824155748	369	2.24448306836754	2.25011031475795	2.28022920138155	0.110775846895509	ETP-lower	ETP-lower	ETP-higher	TRUE	NA	522371
2N-A1-LR	15	2N-A1-LR__bin15	12	0.7	0.75	0.725	0mg/kg	0	2N	125	0.523321824155748	369	2.24448306836754	2.25011031475795	2.28022920138155	0.110775846895509	ETP-lower	ETP-lower	ETP-higher	TRUE	NA	1024818
2N-A1-LR	16	2N-A1-LR__bin16	4	0.75	0.8	0.775	0mg/kg	0	2N	125	0.523321824155748	369	2.24448306836754	2.25011031475795	2.28022920138155	0.110775846895509	ETP-lower	ETP-lower	ETP-higher	FALSE	cell_count<5	422510
2N-A1-LR	17	2N-A1-LR__bin17	6	0.8	0.85	0.825	0mg/kg	0	2N	125	0.523321824155748	369	2.24448306836754	2.25011031475795	2.28022920138155	0.110775846895509	ETP-lower	ETP-lower	ETP-higher	TRUE	NA	526482
2N-A1-LR	18	2N-A1-LR__bin18	22	0.85	0.9	0.875	0mg/kg	0	2N	125	0.523321824155748	369	2.24448306836754	2.25011031475795	2.28022920138155	0.110775846895509	ETP-lower	ETP-lower	ETP-higher	TRUE	NA	1852074
2N-A1-LR	19	2N-A1-LR__bin19	5	0.9	0.95	0.925	0mg/kg	0	2N	125	0.523321824155748	369	2.24448306836754	2.25011031475795	2.28022920138155	0.110775846895509	ETP-lower	ETP-lower	ETP-higher	TRUE	NA	221021
