mouse_id	injected_origin	dose_mg_kg	fcs_file	wsp_sample_name	wsp_sample_id	fcs_total_count	wsp_total_count	human_cell_enrichment_count	human_cell_enrichment_pct_total	human_cells_count	human_cells_pct_enrichment	human_cells_pct_total	human_cells_qc_pass	human_cells_qc_note	peak_gate_name	reviewed_peak_annotation_n	peak_count	peak_pct_human_cells	two_n_count	two_n_pct_human_cells	four_n_count	four_n_pct_human_cells	mch_pos_two_n_count	mch_pos_two_n_pct_human_cells	mch_pos_four_n_count	mch_pos_four_n_pct_human_cells	summed_mch_pos_two_n_four_n_gate_count	mch_pos_two_n_pct_of_summed_two_n_four_n_gate_counts	mch_pos_four_n_pct_of_summed_two_n_four_n_gate_counts	fcs_version	fcs_cytometer	dna_content_parameter_index	dna_content_parameter_name	crosswalk_acquisition_date	fcs_date	fcs_begin_time	fcs_end_time
2N-A1-0	2N	0	Sample_A1-0-GENOMICS_035.fcs	Sample_A1-0-GENOMICS_035.fcs	21	10511	10511	248	2.359433	174	70.161290	1.655409	FALSE	human_cells_count<1000	2N	2.000000	115	66.091954	115	66.091954	0	0.000000	166	95.402299	2	1.149425	168	98.809524	1.190476	FCS3.0	FACSCantoII	7	450/50 Violet B-A	2025-01-28	28-JAN-2025	16:30:21	16:31:05
2N-A1-LR	2N	0	Sample_A1-RL-GENOMICS_038.fcs	Sample_A1-RL-GENOMICS_038.fcs	32	15364	15364	2058	13.394949	1968	95.626822	12.809164	TRUE	pass	2N	2.000000	1823	92.632114	1823	92.632114	37	1.880081	1385	70.376016	54	2.743902	1439	96.247394	3.752606	FCS3.0	FACSCantoII	7	450/50 Violet B-A	2025-01-28	28-JAN-2025	16:36:43	16:37:59
2N-A1-R	2N	0	Sample_A1-R_GENOMICS_036.fcs	Sample_A1-R_GENOMICS_036.fcs	37	62969	62969	18675	29.657450	17426	93.311914	27.673935	TRUE	pass	2N	2.000000	16702	95.845289	16702	95.845289	227	1.302651	10435	59.881786	304	1.744520	10739	97.169196	2.830804	FCS3.0	FACSCantoII	7	450/50 Violet B-A	2025-01-28	28-JAN-2025	16:31:45	16:33:24
2N-A1-RR	2N	0	Sample_A1-RR-GENOMICS_037.fcs	Sample_A1-RR-GENOMICS_037.fcs	6	32614	32614	6607	20.258171	5690	86.120781	17.446495	TRUE	pass	2N	2.000000	4847	85.184534	4847	85.184534	47	0.826011	3306	58.101933	98	1.722320	3404	97.121034	2.878966	FCS3.0	FACSCantoII	7	450/50 Violet B-A	2025-01-28	28-JAN-2025	16:34:01	16:35:44
2N-A2-0	2N	30	Sample_A2-0_001.fcs	Sample_A2-0_001.fcs	5	352613	352613	25149	7.132182	15741	62.590958	4.464101	TRUE	pass	2N 50	2.000000	15428	98.011562	15568	98.900959	84	0.533638	10609	67.397243	88	0.559050	10697	99.177339	0.822661	FCS3.0	FACSCantoII	7	450/50 Violet B-A	2025-01-28	28-JAN-2025	15:21:07	15:21:40
2N-A2-L	2N	30	Sample_A2-L_002.fcs	Sample_A2-L_002.fcs	41	166413	166413	20356	12.232217	16979	83.410297	10.202929	TRUE	pass	2N 50	2.000000	16735	98.562931	16800	98.945757	89	0.524177	9784	57.624124	77	0.453501	9861	99.219146	0.780854	FCS3.0	FACSCantoII	7	450/50 Violet B-A	2025-01-28	28-JAN-2025	15:22:32	15:23:53
2N-A4-R	2N	120	Sample_A4-R_005.fcs	Sample_A4-R_005.fcs	27	112355	112355	22185	19.745450	20573	92.733829	18.310712	TRUE	pass	2N 50	2.000000	20272	98.536917	20392	99.120206	53	0.257619	13494	65.590823	86	0.418024	13580	99.366716	0.633284	FCS3.0	FACSCantoII	7	450/50 Violet B-A	2025-01-28	28-JAN-2025	15:32:09	15:32:38
2N-A4-RL	2N	120	Sample_A4-RL_006.fcs	Sample_A4-RL_006.fcs	28	254479	254479	22417	8.808978	18127	80.862738	7.123181	TRUE	pass	2N 50	2.000000	17450	96.265240	17817	98.289844	52	0.286865	10464	57.726044	57	0.314448	10521	99.458226	0.541774	FCS3.0	FACSCantoII	7	450/50 Violet B-A	2025-01-28	28-JAN-2025	15:33:39	15:35:01
4N-A5-0	4N	0	Sample_A5-0_007.fcs	Sample_A5-0_007.fcs	17	140295	140295	21597	15.393991	17969	83.201371	12.808012	TRUE	pass	1.88N	1.880000	17519	97.495687	17684	98.413935	80	0.445211	10593	58.951528	142	0.790250	10735	98.677224	1.322776	FCS3.0	FACSCantoII	7	450/50 Violet B-A	2025-01-28	28-JAN-2025	15:35:37	15:37:04
4N-A5-RR	4N	0	Sample_A5-RR_013.fcs	Sample_A5-RR_013.fcs	16	134017	134017	20973	15.649507	18658	88.961999	13.922114	TRUE	pass	1.88N	1.880000	18402	98.627934	18534	99.335406	22	0.117912	10843	58.114482	62	0.332297	10905	99.431453	0.568547	FCS3.0	FACSCantoII	7	450/50 Violet B-A	2025-01-28	28-JAN-2025	15:49:32	15:50:55
