input_role	logical_path	size_bytes	sha256
crosswalk	crosswalk.tsv	5292	01ef3868b7498b0ecfbf5f6196c2e282c5e4af31e8a17b7c37997ea54631f341
selection_sensitivity	paired_acquisition_sensitivity.tsv	514	df6a272add4f02b18d69fa1d004eb7b13764a99f2e2fd7f3accb283c257f5a9b
workspace	workspace/20250129_TumorSamples.wsp	1950290	e061f62a788c0527f546b5041c79d3e5a4212a8bc0d9b2f0f92a61e64d966318
fcs	fcs/Sample_A1-0-GENOMICS_035.fcs	970972	9abdff7fa33c7140b6ba9222d67822b40cdd4d50cdb4fa9dd0ac347a350e3510
fcs	fcs/Sample_A1-RL-GENOMICS_038.fcs	1417453	41e289a7b77bebd0d894fef2d65bf362163662b1535df77847b47512d09834be
fcs	fcs/Sample_A1-RR-GENOMICS_037.fcs	3004452	ccde440f86b1643abbe9163f042876456fbcd2a4d377bc5649e0e28eee49db9c
fcs	fcs/Sample_A1-R_GENOMICS_036.fcs	5797110	cca2f6c8693f30e48fef6e2a0f1d8b65bb41ddfb2485b6881a17c349fd09971b
fcs	fcs/Sample_A2-0_001.fcs	32444336	79c87ea9888ccb71410715a53c5421bbebd8def97ef3743fb03724417f5e75ef
fcs	fcs/Sample_A2-L_002.fcs	15313936	9b1e8791a35c8765546f379dea761f9792377b83ca72d5a22c37494761461d3e
fcs	fcs/Sample_A4-RL_006.fcs	23416009	84c620afce6371c42a3027310b624ca40438651ea1a55ea73d4d1ed1fbc49cec
fcs	fcs/Sample_A4-R_005.fcs	10340601	37fdefea30181861e74b0204957d161a2e587ff458eb9d09b10c1d85de8dd220
fcs	fcs/Sample_A5-0_007.fcs	12911078	a5549e51e55f1f8e8e04537a8946d9e5aa76a9c2701309b46be18f7da235f578
fcs	fcs/Sample_A5-L_010.fcs	16292910	8b133b4c86b77bb96793a3061e9268145ae95207b11e441f339250962bfcd4a0
fcs	fcs/Sample_A5-RR_013.fcs	12333506	5deec53347ea7a527d19564b4e1f4cbc793adb7870e43afaa375f1c88e84c4a5
fcs	fcs/Sample_A5-R_009.fcs	8921036	f9b42afaacad48b006bc7fc80c7a9a87babd60b2e808e34cde0fddebd1518da3
fcs	fcs/Sample_A6-0_015.fcs	20139337	f3dd1b455a76e47a620f60540b365c4bd2d11d16549efb300e118c763f6dfd1e
fcs	fcs/Sample_A6-RR_020.fcs	16208272	8711e64c8f86b43ddb81a89753a2a5a2a18a6a083bdbf12e8460689c0cf284a6
fcs	fcs/Sample_A8-RL_027.fcs	14171665	f1016ea840ba91a30942f8410a40bfe64cfef251601e0abea44a0df65a02af5f
fcs	fcs/Sample_A8-RR_029.fcs	17684960	d92a9d157c054685e34b037177674c80ac455dd5ece8a0c8ca91bf4d8dda17b2
