"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","gene_symbol","cluster"
0,1.24370568473563,0.971,0.89,0,"GRCh38-KRT7","KRT7","2"
0,1.1991374793621,0.969,0.763,0,"GRCh38-TNFRSF12A","TNFRSF12A","2"
0,1.06816511676809,0.892,0.676,0,"GRCh38-MICAL2","MICAL2","2"
0,1.03960701972879,0.973,0.901,0,"GRCh38-TIMP3","TIMP3","2"
0,1.0370754999227,0.705,0.425,0,"GRCh38-PSAT1","PSAT1","2"
0,1.00859815862403,0.961,0.829,0,"GRCh38-FLNB","FLNB","2"
0,0.975387235789131,0.695,0.395,0,"GRCh38-CPA4","CPA4","2"
0,0.933013140518341,0.974,0.87,0,"GRCh38-PALLD","PALLD","2"
0,0.9049666752647,0.965,0.85,0,"GRCh38-CSRP1","CSRP1","2"
0,0.85347712352525,0.976,0.904,0,"GRCh38-RAB32","RAB32","2"
0,0.843989792146846,0.993,0.975,0,"GRCh38-TPM1","TPM1","2"
0,0.832625849978843,0.965,0.882,0,"GRCh38-GARS1","GARS1","2"
0,0.811303153501698,0.917,0.776,0,"GRCh38-MTHFD1L","MTHFD1L","2"
0,0.797197647725077,0.989,0.941,0,"GRCh38-ACTN4","ACTN4","2"
0,0.776905940481203,0.977,0.896,0,"GRCh38-STK17A","STK17A","2"
0,0.772321229085224,0.276,0.068,0,"GRCh38-EDN1","EDN1","2"
0,0.757868655692741,0.971,0.901,0,"GRCh38-EIF4EBP1","EIF4EBP1","2"
0,0.74423728494964,0.921,0.734,0,"GRCh38-COTL1","COTL1","2"
0,0.742001844831059,0.999,0.996,0,"GRCh38-ACTB","ACTB","2"
0,0.728183580646463,0.996,0.975,0,"GRCh38-MYH9","MYH9","2"
0,0.703307407124598,0.983,0.914,0,"GRCh38-PALM2AKAP2","PALM2AKAP2","2"
0,0.683120252078438,0.99,0.957,0,"GRCh38-ACTN1","ACTN1","2"
0,0.682107526674471,0.973,0.89,0,"GRCh38-SLC3A2","SLC3A2","2"
0,0.655496170091312,0.995,0.968,0,"GRCh38-FLNA","FLNA","2"
0,0.652987650109237,0.697,0.385,0,"GRCh38-AJUBA","AJUBA","2"
0,0.646218934638203,0.995,0.964,0,"GRCh38-TARS1","TARS1","2"
0,0.631021747490631,0.941,0.824,0,"GRCh38-SLC1A5","SLC1A5","2"
0,0.626890567538299,0.985,0.917,0,"GRCh38-SLC38A1","SLC38A1","2"
0,0.614230028437875,0.994,0.975,0,"GRCh38-CALD1","CALD1","2"
0,0.608037067897211,0.353,0.114,0,"GRCh38-CHAC1","CHAC1","2"
0,0.590563716445798,0.414,0.148,0,"GRCh38-KRT80","KRT80","2"
0,0.585005814833174,0.987,0.947,0,"GRCh38-GTF2F2","GTF2F2","2"
0,0.584383513612022,0.995,0.973,0,"GRCh38-EIF2S2","EIF2S2","2"
0,0.584075609053927,0.318,0.087,0,"GRCh38-ANXA3","ANXA3","2"
9.49594171306876e-321,0.663094099525083,0.967,0.888,6.86575577738297e-316,"GRCh38-IARS1","IARS1","2"
7.1508097185187e-319,0.685236874989471,0.889,0.725,5.17017844268339e-314,"GRCh38-PICSAR","PICSAR","2"
4.81091603552236e-312,0.934881134285276,0.785,0.574,3.47838851200338e-307,"GRCh38-TRIB3","TRIB3","2"
7.50625112898056e-309,0.91026797053052,0.912,0.747,5.42716969127553e-304,"GRCh38-GADD45A","GADD45A","2"
