"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","gene_symbol","cluster","gene_key","lfc_value","p_val_adj_num","delta_pct","abs_logfc","abs_delta_pct"
7.44791245056366e-40,3.67956162464651,0.951,0.864,5.38498966000654e-35,"GRCh38-ENSG00000289474","ENSG00000289474","4c","ENSG00000289474",3.67956162464651,5.38498966000654e-35,0.087,3.67956162464651,0.087
4.9004014785632e-104,3.25193242867791,0.951,0.199,3.54308827703076e-99,"GRCh38-ASPM","ASPM","4c","ASPM",3.25193242867791,3.54308827703076e-99,0.752,3.25193242867791,0.752
2.43532310333787e-104,3.17949904665661,0.971,0.208,1.76078731017535e-99,"GRCh38-MKI67","MKI67","4c","MKI67",3.17949904665661,1.76078731017535e-99,0.763,3.17949904665661,0.763
9.92192049688967e-80,3.17053375952399,0.971,0.298,7.17374695766117e-75,"GRCh38-CENPE","CENPE","4c","CENPE",3.17053375952399,7.17374695766117e-75,0.673,3.17053375952399,0.673
7.2233187421808e-63,3.07687324625299,0.971,0.437,5.22260391697156e-58,"GRCh38-CENPF","CENPF","4c","CENPF",3.07687324625299,5.22260391697156e-58,0.534,3.07687324625299,0.534
2.18745273227313e-65,3.01655904968986,0.942,0.358,1.58157207448812e-60,"GRCh38-TOP2A","TOP2A","4c","TOP2A",3.01655904968986,1.58157207448812e-60,0.584,3.01655904968986,0.584
3.49132194666288e-143,2.98073840997477,0.913,0.126,2.52429559387619e-138,"GRCh38-KIF14","KIF14","4c","KIF14",2.98073840997477,2.52429559387619e-138,0.787,2.98073840997477,0.787
1.10684557320103e-125,2.96974725333256,0.932,0.152,8.00271486335809e-121,"GRCh38-CIT","CIT","4c","CIT",2.96974725333256,8.00271486335809e-121,0.78,2.96974725333256,0.78
5.42495961890343e-34,2.8930138471997,0.592,0.174,3.92235430365956e-29,"GRCh38-ENSG00000271860","ENSG00000271860","4c","ENSG00000271860",2.8930138471997,3.92235430365956e-29,0.418,2.8930138471997,0.418
1.86793301735259e-116,2.80734577214184,0.922,0.16,1.35055293020627e-111,"GRCh38-KNL1","KNL1","4c","KNL1",2.80734577214184,1.35055293020627e-111,0.762,2.80734577214184,0.762
7.81214969142608e-94,2.80344971210842,0.903,0.184,5.64834046989489e-89,"GRCh38-KIF4A","KIF4A","4c","KIF4A",2.80344971210842,5.64834046989489e-89,0.719,2.80344971210842,0.719
1.92525405886806e-61,2.75374965278591,0.786,0.215,1.39199718964279e-56,"GRCh38-ENSG00000290886","ENSG00000290886","4c","ENSG00000290886",2.75374965278591,1.39199718964279e-56,0.571,2.75374965278591,0.571
3.09777411067075e-45,2.71545837848485,0.67,0.194,2.23975263749716e-40,"GRCh38-HCCS-DT","HCCS-DT","4c","HCCS-DT",2.71545837848485,2.23975263749716e-40,0.476,2.71545837848485,0.476
2.00355047290752e-88,2.71464429543282,0.922,0.215,1.44860706292159e-83,"GRCh38-ANLN","ANLN","4c","ANLN",2.71464429543282,1.44860706292159e-83,0.707,2.71464429543282,0.707
1.35190163977909e-125,2.5528347055997,0.893,0.132,9.7745192359308e-121,"GRCh38-GTSE1","GTSE1","4c","GTSE1",2.5528347055997,9.7745192359308e-121,0.761,2.5528347055997,0.761
3.42554772698858e-62,2.53251376739817,0.806,0.23,2.47673951756729e-57,"GRCh38-DEPDC1B","DEPDC1B","4c","DEPDC1B",2.53251376739817,2.47673951756729e-57,0.576,2.53251376739817,0.576
1.36357847098688e-136,2.51735779790299,0.592,0.053,9.85894506092931e-132,"GRCh38-PIF1","PIF1","4c","PIF1",2.51735779790299,9.85894506092931e-132,0.539,2.51735779790299,0.539
2.11001458030199e-58,2.50632359966266,0.971,0.442,1.52558274184994e-53,"GRCh38-TPX2","TPX2","4c","TPX2",2.50632359966266,1.52558274184994e-53,0.529,2.50632359966266,0.529
6.4216406386614e-81,2.50422797487901,0.893,0.207,4.64297461456497e-76,"GRCh38-DIAPH3","DIAPH3","4c","DIAPH3",2.50422797487901,4.64297461456497e-76,0.686,2.50422797487901,0.686
2.78006973521551e-64,2.48155153148818,0.777,0.195,2.01004601995552e-59,"GRCh38-CCNF","CCNF","4c","CCNF",2.48155153148818,2.01004601995552e-59,0.582,2.48155153148818,0.582
9.94695795699343e-86,2.4633937573641,0.864,0.188,7.19184954206539e-81,"GRCh38-KIF2C","KIF2C","4c","KIF2C",2.4633937573641,7.19184954206539e-81,0.676,2.4633937573641,0.676
1.04085246395781e-66,2.44063817099669,0.767,0.197,7.52557148490772e-62,"GRCh38-ARHGAP11B","ARHGAP11B","4c","ARHGAP11B",2.44063817099669,7.52557148490772e-62,0.57,2.44063817099669,0.57
3.40174243047191e-117,2.43187406529364,0.689,0.082,2.4595278120798e-112,"GRCh38-KIF18B","KIF18B","4c","KIF18B",2.43187406529364,2.4595278120798e-112,0.607,2.43187406529364,0.607
