cancer_type	direction	metric	analysis_mode	permute_n	pvalue_cutoff	input_drugs	input_groups	category_source	category_mode
allcancers	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	285	10	curated_mapping	curated
allcancers	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	285	10	curated_mapping	curated
STAD	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	269	10	curated_mapping	curated
STAD	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	269	10	curated_mapping	curated
GBM	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	269	10	curated_mapping	curated
GBM	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	269	10	curated_mapping	curated
BLCA	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	269	10	curated_mapping	curated
BLCA	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	269	10	curated_mapping	curated
UNCLASSIFIED	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	285	10	curated_mapping	curated
UNCLASSIFIED	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	285	10	curated_mapping	curated
KIRC	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	268	10	curated_mapping	curated
KIRC	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	268	10	curated_mapping	curated
THCA	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	133	10	curated_mapping	curated
THCA	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	133	10	curated_mapping	curated
SKCM	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	285	10	curated_mapping	curated
SKCM	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	285	10	curated_mapping	curated
DLBC	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	267	10	curated_mapping	curated
DLBC	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	267	10	curated_mapping	curated
LUAD	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	271	10	curated_mapping	curated
LUAD	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	271	10	curated_mapping	curated
ALL	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	268	10	curated_mapping	curated
ALL	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	268	10	curated_mapping	curated
MM	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	268	10	curated_mapping	curated
MM	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	268	10	curated_mapping	curated
PAAD	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	271	10	curated_mapping	curated
PAAD	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	271	10	curated_mapping	curated
BRCA	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	275	10	curated_mapping	curated
BRCA	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	275	10	curated_mapping	curated
HNSC	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	268	10	curated_mapping	curated
HNSC	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	268	10	curated_mapping	curated
NB	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	131	10	curated_mapping	curated
NB	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	131	10	curated_mapping	curated
COREAD	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	272	10	curated_mapping	curated
COREAD	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	272	10	curated_mapping	curated
LIHC	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	268	10	curated_mapping	curated
LIHC	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	268	10	curated_mapping	curated
LAML	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	269	10	curated_mapping	curated
LAML	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	269	10	curated_mapping	curated
SCLC	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	285	10	curated_mapping	curated
SCLC	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	285	10	curated_mapping	curated
ESCA	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	271	10	curated_mapping	curated
ESCA	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	271	10	curated_mapping	curated
OV	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	270	10	curated_mapping	curated
OV	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	270	10	curated_mapping	curated
LUSC	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	268	10	curated_mapping	curated
LUSC	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	268	10	curated_mapping	curated
LGG	low_ploidy_sensitive	Z_SCORE	manuscript	300	0.05	123	10	curated_mapping	curated
LGG	high_ploidy_sensitive	Z_SCORE	manuscript	300	0.1	123	10	curated_mapping	curated
