cancer_type	direction	metric	drug	correlation_value	group	category_id
allcancers	low_ploidy_sensitive	Z_SCORE	LAPATINIB	-0.0201096288345645	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	SEPANTRONIUM BROMIDE	-0.0176715316994968	Apoptosis regulation	APOPTOSIS
allcancers	low_ploidy_sensitive	Z_SCORE	TRETINOIN	-0.0102919575525447	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	DACTOLISIB	-0.00923716873105835	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	WIKI4	-0.00736065174986215	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	IOX2	-0.00554316249329503	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	SAPITINIB	-0.00306662350384763	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	GNE-317	-0.00276495356414069	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	SB505124	-0.00152499051533885	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	AZD8186	-0.000404852215047642	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	ELESCLOMOL	0.000122478491348849	Protein stability and degradation	PROTEIN_DEGRADATION
allcancers	low_ploidy_sensitive	Z_SCORE	GSK1904529A	0.00175714000353686	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	WEHI-539	0.00741659865191768	Apoptosis regulation	APOPTOSIS
allcancers	low_ploidy_sensitive	Z_SCORE	PICTILISIB	0.00760618011421802	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	AZD8055	0.00878299794697324	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	METHOTREXATE	0.0100752021688581	Genome integrity and DNA damage	GENOME_INTEGRITY_DNA_DAMAGE
allcancers	low_ploidy_sensitive	Z_SCORE	ENTINOSTAT	0.0101077869898958	Epigenetics and transcription	EPIGENETICS_TRANSCRIPTION
allcancers	low_ploidy_sensitive	Z_SCORE	ENTOSPLETINIB	0.0101455860876924	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	IBRUTINIB	0.0103746255247148	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	BDOCA000347A	0.0114218713338104	Epigenetics and transcription	EPIGENETICS_TRANSCRIPTION
allcancers	low_ploidy_sensitive	Z_SCORE	OSIMERTINIB	0.0118214848238488	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	DORAMAPIMOD	0.0133859616387631	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	GEFITINIB	0.0139259471244673	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	BMS-536924	0.0154705010092037	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	PLX-4720	0.0155194441386164	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	PD173074	0.0174028300876628	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	ROMIDEPSIN	0.0176791231315786	Epigenetics and transcription	EPIGENETICS_TRANSCRIPTION
allcancers	low_ploidy_sensitive	Z_SCORE	741909	0.0184504993218744	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	ASCORBATE (VITAMIN C)	0.0193029629454248	Metabolism	METABOLISM
allcancers	low_ploidy_sensitive	Z_SCORE	RAPAMYCIN	0.0195380285276077	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	JAK_8517	0.019543169277037	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	BORTEZOMIB	0.022089189538994	Protein stability and degradation	PROTEIN_DEGRADATION
allcancers	low_ploidy_sensitive	Z_SCORE	MN-64	0.022379336931658	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	GSK591	0.0245071478165497	Epigenetics and transcription	EPIGENETICS_TRANSCRIPTION
allcancers	low_ploidy_sensitive	Z_SCORE	SB590885	0.0249700362392523	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	AZD2014	0.025110669118796	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	RVX-208	0.0255794670409585	Epigenetics and transcription	EPIGENETICS_TRANSCRIPTION
allcancers	low_ploidy_sensitive	Z_SCORE	GDC0810	0.0258003882053516	Hormone related	HORMONE_RELATED
allcancers	low_ploidy_sensitive	Z_SCORE	TANESPIMYCIN	0.0298345932735687	Protein stability and degradation	PROTEIN_DEGRADATION
allcancers	low_ploidy_sensitive	Z_SCORE	AZD4547	0.0299032066710859	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	LCL161	0.0324097475955863	Apoptosis regulation	APOPTOSIS
