drug	drug_key	pubchem_category	legacy_group_used_for_enrichment	custom_set_candidate_category	would_manual_override_change_legacy_group	would_manual_override_change_pubchem_group	all_pubchem_categories	parsed_pubchem_category_tokens	annotation_source	annotation_status	multi_category_flag	notes
123138	123138				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
123829	123829				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
150412	150412				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
5-azacytidine	5-AZACYTIDINE	MetabolicInhibitor	METABOLICINHIBITOR		FALSE	FALSE	MetabolicInhibitor	MetabolicInhibitor	baseline_coxIn_RData	cached	FALSE	
5-Fluorouracil	5-FLUOROURACIL	Breast Feeding; Lactation; Milk, Human; Antimetabolites; Antineoplastic Agents; Antimetabolites, Antineoplastic; Immunosuppressive Agents; Cytotoxic medicines; Dermatological medicines > Medicines affecting skin differentiation and proliferation	DERMATOLOGICAL MEDICINES > MEDICINES AFFECTING SKIN DIFFERENTIATION AND PROLIFERATION		FALSE	FALSE	Breast Feeding; Lactation; Milk, Human; Antimetabolites; Antineoplastic Agents; Antimetabolites, Antineoplastic; Immunosuppressive Agents; Cytotoxic medicines; Dermatological medicines > Medicines affecting skin differentiation and proliferation	Breast Feeding;Lactation;Milk, Human;Antimetabolites;Antineoplastic Agents;Antimetabolites, Antineoplastic;Immunosuppressive Agents;Cytotoxic medicines;Dermatological medicines > Medicines affecting skin differentiation and proliferation	baseline_coxIn_RData	cached	TRUE	
50869	50869				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
615590	615590				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
630600	630600				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
667880	667880				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
720427	720427				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
729189	729189				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
741909	741909				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
743380	743380				FALSE	FALSE			baseline_coxIn_RData	unclassified	FALSE	
