drug	drug_key	legacy_group_used_for_enrichment	approved_final_category_id	approved_final_display_label	include_in_enrichment	included_in_enrichment	exclusion_reason_code	low_count_filter_status	category_changed	evidence_summary
123138	123138		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Unclassified; target: 
123829	123829		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Unclassified; target: 
150412	150412		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Unclassified; target: 
5-azacytidine	5-AZACYTIDINE	METABOLICINHIBITOR	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained	TRUE	GDSC pathway: Other; target: DNA methyltransferases
5-Fluorouracil	5-FLUOROURACIL	DERMATOLOGICAL MEDICINES > MEDICINES AFFECTING SKIN DIFFERENTIATION AND PROLIFERATION	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained	TRUE	GDSC pathway: Other; target: Antimetabolite (DNA & RNA)
50869	50869		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Unclassified; target: 
615590	615590		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Unclassified; target: 
630600	630600		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Unclassified; target: 
667880	667880		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Unclassified; target: 
720427	720427		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Unclassified; target: 
729189	729189		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Unclassified; target: 
741909	741909		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Unclassified; target: 
743380	743380		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Unclassified; target: 
765771	765771		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Unclassified; target: 
776928	776928		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Unclassified; target: 
A-366	A-366	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained	TRUE	GDSC pathway: Chromatin histone methylation; target: "EHMT1, EHMT2"
ABT737	ABT737	CYTOTOXIC	APOPTOSIS	Apoptosis regulation	TRUE	TRUE		retained	TRUE	GDSC pathway: Apoptosis regulation; target: "BCL2, BCL-XL,  BCL-W, BCL-B, BFL1"
Acetalax	ACETALAX		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Unclassified; target: 
Afatinib	AFATINIB	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: EGFR signaling; target: "EGFR, ERBB2"
Afuresertib	AFURESERTIB	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: PI3K/MTOR signaling; target: "AKT1, AKT2, AKT3"
AGI-5198	AGI-5198		METABOLISM	Metabolism	TRUE	TRUE		retained		GDSC pathway: Metabolism; target: IDH1 (R132H)
AGI-6780	AGI-6780		METABOLISM	Metabolism	TRUE	TRUE		retained		GDSC pathway: Metabolism; target: IDH2 R140Q mutant
AGK2	AGK2	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained	TRUE	GDSC pathway: Chromatin histone acetylation; target: "BAZ2A, BAZ2B"
Alisertib	ALISERTIB	SIGNALING	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE	TRUE		retained	TRUE	GDSC pathway: Mitosis; target: AURKA
Alpelisib	ALPELISIB	ANTINEOPLASTIC AGENTS	SIGNALING	Signaling	TRUE	TRUE		retained	TRUE	GDSC pathway: PI3K/MTOR signaling; target: PI3Kalpha
alpha-lipoic acid	ALPHA-LIPOIC ACID		METABOLISM	Metabolism	TRUE	TRUE		retained		GDSC pathway: Metabolism; target: Metabolism
