count_stage	approved_final_category_id	count
before_low_count_filter	APOPTOSIS	13
before_low_count_filter	CELL_CYCLE_MITOSIS	25
before_low_count_filter	EPIGENETICS_TRANSCRIPTION	33
before_low_count_filter	GENOME_INTEGRITY_DNA_DAMAGE	32
before_low_count_filter	HORMONE_RELATED	4
before_low_count_filter	METABOLISM	10
before_low_count_filter	OTHER_REVIEWED	58
before_low_count_filter	P53_PATHWAY	4
before_low_count_filter	PROTEIN_DEGRADATION	9
before_low_count_filter	SIGNALING	98
after_low_count_filter	APOPTOSIS	13
after_low_count_filter	CELL_CYCLE_MITOSIS	25
after_low_count_filter	EPIGENETICS_TRANSCRIPTION	33
after_low_count_filter	GENOME_INTEGRITY_DNA_DAMAGE	32
after_low_count_filter	HORMONE_RELATED	4
after_low_count_filter	METABOLISM	10
after_low_count_filter	OTHER_REVIEWED	58
after_low_count_filter	P53_PATHWAY	4
after_low_count_filter	PROTEIN_DEGRADATION	9
after_low_count_filter	SIGNALING	98
