drug	drug_key	drug_id_list
123138	123138	1824
123829	123829	1820
150412	150412	1836
5-azacytidine	5-AZACYTIDINE	2156
5-Fluorouracil	5-FLUOROURACIL	1073
50869	50869	1826
615590	615590	1839
630600	630600	1840
667880	667880	1829
720427	720427	1828
729189	729189	1832
741909	741909	1833
743380	743380	1834
765771	765771	1821
776928	776928	1844
A-366	A-366	2157
ABT737	ABT737	1910
Acetalax	ACETALAX	1803;1804
Afatinib	AFATINIB	1032
Afuresertib	AFURESERTIB	1912
AGI-5198	AGI-5198	1913
AGI-6780	AGI-6780	1634
AGK2	AGK2	2039
Alisertib	ALISERTIB	1051
Alpelisib	ALPELISIB	1560
alpha-lipoic acid	ALPHA-LIPOIC ACID	2498
AMG-319	AMG-319	2045
ascorbate (vitamin C)	ASCORBATE (VITAMIN C)	2438
AT13148	AT13148	2170
Avagacestat	AVAGACESTAT	1072
Axitinib	AXITINIB	1021
AZ6102	AZ6102	2109
AZ960	AZ960	1250
AZD1208	AZD1208	1449
AZD1332	AZD1332	1463
AZD2014	AZD2014	1441
AZD3759	AZD3759	1915
AZD4547	AZD4547	1786
AZD5153	AZD5153	1706
AZD5363	AZD5363	1916
AZD5438	AZD5438	1401
AZD5582	AZD5582	1617
AZD5991	AZD5991	1720
AZD6482	AZD6482	2169
AZD6738	AZD6738	1917
AZD7762	AZD7762	1022
AZD8055	AZD8055	1059
AZD8186	AZD8186	1918
BDF00022089a	BDF00022089A	1585
BDILV000379a	BDILV000379A	1586
BDOCA000347a	BDOCA000347A	1584
BDP-00009066	BDP-00009066	1866
BEN	BEN	1847
BI-2536	BI-2536	1086
BIBR-1532	BIBR-1532	2043
Bicalutamide	BICALUTAMIDE	1502
Bleomycin	BLEOMYCIN	1812
Bleomycin (50 uM)	BLEOMYCIN (50 UM)	1378
BMS-345541	BMS-345541	1249
BMS-536924	BMS-536924	1091
BMS-754807	BMS-754807	2171
Bortezomib	BORTEZOMIB	1191
Bosutinib	BOSUTINIB	1019
BPD-00008900	BPD-00008900	1998
Bromosporine	BROMOSPORINE	1581
Buparlisib	BUPARLISIB	1873
BX795	BX795	1037
Camptothecin	CAMPTOTHECIN	1003
CCT-018159	CCT-018159	1170
CCT007093	CCT007093	1067
CDK9_5038	CDK9_5038	1709
CDK9_5576	CDK9_5576	1708
Cediranib	CEDIRANIB	1922
CHIR-99021	CHIR-99021	2175
Cisplatin	CISPLATIN	1005
CPI-637	CPI-637	2158
Crizotinib	CRIZOTINIB	1083
CT7033-2	CT7033-2	2149
Cyclophosphamide	CYCLOPHOSPHAMIDE	1512
Cytarabine	CYTARABINE	1006
CZC24832	CZC24832	1615
Dabrafenib	DABRAFENIB	1373
Dacarbazine	DACARBAZINE	1815
Dactinomycin	DACTINOMYCIN	1811;1911
Dactolisib	DACTOLISIB	1057
Daporinad	DAPORINAD	1248
Dasatinib	DASATINIB	1079
Dihydrorotenone	DIHYDROROTENONE	1827
Dinaciclib	DINACICLIB	1180
Docetaxel	DOCETAXEL	1007;1819
Doramapimod	DORAMAPIMOD	1042
Eg5_9814	EG5_9814	1712
EHT-1864	EHT-1864	1069
Elephantin	ELEPHANTIN	1835
Elesclomol	ELESCLOMOL	1031
Entinostat	ENTINOSTAT	1593
Entospletinib	ENTOSPLETINIB	1630
Epirubicin	EPIRUBICIN	1511
EPZ004777	EPZ004777	1237
EPZ5676	EPZ5676	1563
ERK_2440	ERK_2440	1713
ERK_6604	ERK_6604	1714
Erlotinib	ERLOTINIB	1168
Fludarabine	FLUDARABINE	1813
Foretinib	FORETINIB	2040
Fulvestrant	FULVESTRANT	1200;1816
Gallibiscoquinazole	GALLIBISCOQUINAZOLE	1830
GDC0810	GDC0810	1925
Gefitinib	GEFITINIB	1010
Gemcitabine	GEMCITABINE	1190
glutathione	GLUTATHIONE	2439
GNE-317	GNE-317	1926
GSK-LSD1	GSK-LSD1	1583
GSK-LSD1-2HCl 	GSK-LSD1-2HCL	2154
GSK1904529A	GSK1904529A	1093
GSK2110183B	GSK2110183B	1778
GSK2256098C	GSK2256098C	1776
GSK2276186C	GSK2276186C	1777
GSK2578215A	GSK2578215A	1927
GSK2606414	GSK2606414	1618
GSK269962A	GSK269962A	1192
GSK2801	GSK2801	1580
GSK2830371	GSK2830371	2359
GSK2830371A	GSK2830371A	1782
GSK3337463A	GSK3337463A	1780
GSK343	GSK343	1627;2037
GSK591	GSK591	2110
GSK626616AC	GSK626616AC	1779
GW441756	GW441756	1023
HKMTI-1-005	HKMTI-1-005	2010
I-BET-762	I-BET-762	1624
I-BRD9	I-BRD9	1928
IAP_5620	IAP_5620	1428
Ibrutinib	IBRUTINIB	1799
ICL-SIRT078	ICL-SIRT078	2011
IGF1R_3801	IGF1R_3801	1738
IOX2	IOX2	2174
Ipatasertib	IPATASERTIB	1924
IRAK4_4710	IRAK4_4710	1716
Irinotecan	IRINOTECAN	1088
IWP-2	IWP-2	1576
JAK_8517	JAK_8517	1739
JAK1_8709	JAK1_8709	1718
JNK Inhibitor VIII	JNK INHIBITOR VIII	1043
JQ1	JQ1	2172
KRAS (G12C) Inhibitor-12	KRAS (G12C) INHIBITOR-12	1855
KU-55933	KU-55933	1030
L-Oxonoreleagnine	L-OXONORELEAGNINE	1831
Lapatinib	LAPATINIB	1558
LCL161	LCL161	1557
Leflunomide	LEFLUNOMIDE	1578
Lenalidomide	LENALIDOMIDE	1020
Lestaurtinib	LESTAURTINIB	1024
LGK974	LGK974	1598
Linsitinib	LINSITINIB	1510
LJI308	LJI308	2107
LMB_AB1	LMB_AB1	1783
LMB_AB2	LMB_AB2	1784
LMB_AB3	LMB_AB3	1785
LMP744	LMP744	1843
Luminespib	LUMINESPIB	1559
LY2109761	LY2109761	1852
Methotrexate	METHOTREXATE	1008
MG-132	MG-132	1862
MIM1	MIM1	1996
MIRA-1	MIRA-1	1931
Mirin	MIRIN	1048
Mitoxantrone	MITOXANTRONE	1810
MK-1775	MK-1775	1179
MK-2206	MK-2206	1053
MK-8776	MK-8776	2046
ML323	ML323	1629
MN-64	MN-64	1854
Motesanib	MOTESANIB	1029
Mycophenolic acid	MYCOPHENOLIC ACID	2055
N-acetyl cysteine	N-ACETYL CYSTEINE	2499
N25720-51-A1	N25720-51-A1	1999
N27922-53-1	N27922-53-1	2000
N29087-69-1	N29087-69-1	2003
N30652-18-1	N30652-18-1	2002
Navitoclax	NAVITOCLAX	1011
Nelarabine	NELARABINE	1814
Nilotinib	NILOTINIB	1013
Niraparib	NIRAPARIB	1177
NU7441	NU7441	1038
Nutlin-3a (-)	NUTLIN-3A (-)	1047
NVP-ADW742	NVP-ADW742	1932
Obatoclax Mesylate	OBATOCLAX MESYLATE	1068
OF-1	OF-1	1853
Olaparib	OLAPARIB	1017
OSI-027	OSI-027	1594
Osimertinib	OSIMERTINIB	1919
OTX015	OTX015	1626
Oxaliplatin	OXALIPLATIN	1089;1806
P22077	P22077	1933
Paclitaxel	PACLITAXEL	1080
PAK_5339	PAK_5339	1730
Palbociclib	PALBOCICLIB	1054
PBD-288	PBD-288	2145
PCI-34051	PCI-34051	1621
PD0325901	PD0325901	1060
PD173074	PD173074	1049
Pevonedistat	PEVONEDISTAT	1529
PF-4708671	PF-4708671	1129
PFI-1	PFI-1	2173
PFI3	PFI3	1620
Picolinici-acid	PICOLINICI-ACID	1635
Pictilisib	PICTILISIB	1058
Piperlongumine	PIPERLONGUMINE	1243
PLX-4720	PLX-4720	1036
Podophyllotoxin bromide	PODOPHYLLOTOXIN BROMIDE	1825
POMHEX	POMHEX	2148
PRIMA-1MET	PRIMA-1MET	1131
PRT062607	PRT062607	1631
Pyridostatin	PYRIDOSTATIN	2044
Rapamycin	RAPAMYCIN	1084
Refametinib	REFAMETINIB	1014
Remodelin	REMODELIN	2057
Ribociclib	RIBOCICLIB	1632
RO-3306	RO-3306	1052
Romidepsin	ROMIDEPSIN	1817
Rucaparib	RUCAPARIB	1175
Ruxolitinib	RUXOLITINIB	1507
RVX-208	RVX-208	1625
Sabutoclax	SABUTOCLAX	1849
Sapitinib	SAPITINIB	1549
Savolitinib	SAVOLITINIB	1936
SB216763	SB216763	1025
SB505124	SB505124	1194
SB590885	SB590885	1061
SCH772984	SCH772984	1564
Schweinfurthin A	SCHWEINFURTHIN A	1845
Selumetinib	SELUMETINIB	1062;1736
Sepantronium bromide	SEPANTRONIUM BROMIDE	1941
Serdemetan	SERDEMETAN	1133
SGC-CBP30	SGC-CBP30	1582
SGC0946	SGC0946	2177
Sinularin	SINULARIN	1838
SL0101	SL0101	1039
SN-38	SN-38	1494
Sorafenib	SORAFENIB	1085
Staurosporine	STAUROSPORINE	1034
TAF1_5496	TAF1_5496	1732
Talazoparib	TALAZOPARIB	1259
