drug_key	DRUG_ID	DRUG_NAME	PUTATIVE_TARGET	PATHWAY_NAME
123138	1824	123138		Unclassified
123829	1820	123829		Unclassified
150412	1836	150412		Unclassified
5-AZACYTIDINE	2156	5-azacytidine	DNA methyltransferases	Other
5-FLUOROURACIL	1073	5-Fluorouracil	Antimetabolite (DNA & RNA)	Other
50869	1826	50869		Unclassified
615590	1839	615590		Unclassified
630600	1840	630600		Unclassified
667880	1829	667880		Unclassified
720427	1828	720427		Unclassified
729189	1832	729189		Unclassified
741909	1833	741909		Unclassified
743380	1834	743380		Unclassified
765771	1821	765771		Unclassified
776928	1844	776928		Unclassified
A-366	2157	A-366	EHMT1, EHMT2	Chromatin histone methylation
ABT737	1910	ABT737	BCL2, BCL-XL,  BCL-W, BCL-B, BFL1	Apoptosis regulation
ACETALAX	1803	Acetalax		Unclassified
ACETALAX	1804	Acetalax		Unclassified
AFATINIB	1032	Afatinib	EGFR, ERBB2	EGFR signaling
AFURESERTIB	1912	Afuresertib	AKT1, AKT2, AKT3	PI3K/MTOR signaling
AGI-5198	1913	AGI-5198	IDH1 (R132H)	Metabolism
AGI-6780	1634	AGI-6780	IDH2 R140Q mutant	Metabolism
AGK2	2039	AGK2	BAZ2A, BAZ2B	Chromatin histone acetylation
ALISERTIB	1051	Alisertib	AURKA	Mitosis
ALPELISIB	1560	Alpelisib	PI3Kalpha	PI3K/MTOR signaling
ALPHA-LIPOIC ACID	2498	alpha-lipoic acid	Metabolism	Metabolism
AMG-319	2045	AMG-319	PI3K (beta sparing)	PI3K/MTOR signaling
ASCORBATE (VITAMIN C)	2438	ascorbate (vitamin C)	anti-oxidant proteins	Other
AT13148	2170	AT13148	AKT1	PI3K/MTOR signaling
AVAGACESTAT	1072	Avagacestat	Amyloid beta20, Amyloid beta40	Other
AXITINIB	1021	Axitinib	PDGFR, KIT, VEGFR	RTK signaling
AZ6102	2109	AZ6102	TNKS1, TNKS2	WNT signaling
AZ960	1250	AZ960	JAK2, JAK3	Other, kinases
AZD1208	1449	AZD1208	PIM1, PIM2, PIM3	Other, kinases
AZD1332	1463	AZD1332	NTRK1, NTRK2, NTRK3	RTK signaling
AZD2014	1441	AZD2014	mTORC1, mTORC2	PI3K/MTOR signaling
AZD3759	1915	AZD3759	EGFR	EGFR signaling
AZD4547	1786	AZD4547	FGFR1, FGFR2, FGFR3	RTK signaling
AZD5153	1706	AZD5153	BRD4	Chromatin other
AZD5363	1916	AZD5363	AKT1, AKT2, AKT3, ROCK2	Other, kinases
AZD5438	1401	AZD5438	CDK2	Cell cycle
AZD5582	1617	AZD5582	XIAP, cIAP	Apoptosis regulation
AZD5991	1720	AZD5991	MCL1	Apoptosis regulation
AZD6482	2169	AZD6482	PI3Kbeta	PI3K/MTOR signaling
AZD6738	1917	AZD6738	ATR	Genome integrity
AZD7762	1022	AZD7762	CHEK1, CHEK2	Cell cycle
AZD8055	1059	AZD8055	MTORC1, MTORC2	PI3K/MTOR signaling
AZD8186	1918	AZD8186	PI3Kalpha, PI3Kbeta	PI3K/MTOR signaling
BDF00022089A	1585	BDF00022089a	BRPF1, BRPF2, BRPF3	Chromatin histone acetylation
BDILV000379A	1586	BDILV000379a	BAZ2A, BAZ2B	Chromatin histone acetylation
BDOCA000347A	1584	BDOCA000347a	BRPF1, BRPF2, BRPF3	Chromatin histone acetylation
BDP-00009066	1866	BDP-00009066	MRCKB_HUMAN	Cytoskeleton
BEN	1847	BEN		Unclassified
BI-2536	1086	BI-2536	PLK1, PLK2, PLK3	Cell cycle
BIBR-1532	2043	BIBR-1532	TERT	Genome integrity
BICALUTAMIDE	1502	Bicalutamide	AR	Hormone-related
BLEOMYCIN	1812	Bleomycin	dsDNA break induction	DNA replication
BLEOMYCIN (50 UM)	1378	Bleomycin (50 uM)	dsDNA break induction	DNA replication
BMS-345541	1249	BMS-345541	IKK-1, IKK-2	Other
BMS-536924	1091	BMS-536924	IGF1R, IR	IGF1R signaling
BMS-754807	2171	BMS-754807	IGF1R, IR	IGF1R signaling
BORTEZOMIB	1191	Bortezomib	Proteasome	Protein stability and degradation
BOSUTINIB	1019	Bosutinib	SRC, ABL, TEC	Other, kinases
BPD-00008900	1998	BPD-00008900		Other
BROMOSPORINE	1581	Bromosporine	CECR2, BRD2, BRD4, BRD9	Chromatin other
BUPARLISIB	1873	Buparlisib	PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma	PI3K/MTOR signaling
BX795	1037	BX795	TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC	Other, kinases
CAMPTOTHECIN	1003	Camptothecin	TOP1	DNA replication
CCT-018159	1170	CCT-018159	HSP90	Protein stability and degradation
CCT007093	1067	CCT007093	PPM1D	Cell cycle
CDK9_5038	1709	CDK9_5038	CDK9	Cell cycle
CDK9_5576	1708	CDK9_5576	CDK9	Cell cycle
CEDIRANIB	1922	Cediranib	VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB	RTK signaling
CHIR-99021	2175	CHIR-99021	GSK3A, GSK3B	WNT signaling
CISPLATIN	1005	Cisplatin	DNA crosslinker	DNA replication
CPI-637	2158	CPI-637	EP300	Chromatin histone methylation
CRIZOTINIB	1083	Crizotinib	MET, ALK, ROS1	RTK signaling
CT7033-2	2149	CT7033-2	KDM4A, KDM4C, KDM4E, KDM3A, KDM6B	Chromatin histone methylation
CYCLOPHOSPHAMIDE	1512	Cyclophosphamide	Alkylating agent	DNA replication
CYTARABINE	1006	Cytarabine	Antimetabolite	Other
CZC24832	1615	CZC24832	PI3Kgamma	PI3K/MTOR signaling
DABRAFENIB	1373	Dabrafenib	BRAF	ERK MAPK signaling
DACARBAZINE	1815	Dacarbazine	CP11A	Other
DACTINOMYCIN	1811	Dactinomycin	RNA polymerase	Other
DACTINOMYCIN	1911	Dactinomycin	RNA polymerase	Other
DACTOLISIB	1057	Dactolisib	PI3K (class 1), MTORC1, MTORC2	PI3K/MTOR signaling
DAPORINAD	1248	Daporinad	NAMPT	Metabolism
DASATINIB	1079	Dasatinib	ABL, SRC, Ephrins, PDGFR, KIT	Other, kinases
DIHYDROROTENONE	1827	Dihydrorotenone		Unclassified
DINACICLIB	1180	Dinaciclib	CDK1, CDK2, CDK5, CDK9	Cell cycle
DOCETAXEL	1007	Docetaxel	Microtubule stabiliser	Mitosis
DOCETAXEL	1819	Docetaxel	Microtubule stabiliser	Mitosis
DORAMAPIMOD	1042	Doramapimod	p38, JNK2	JNK and p38 signaling
EG5_9814	1712	Eg5_9814	KSP11	Other
EHT-1864	1069	EHT-1864	RAC1, RAC2, RAC3	Cytoskeleton
ELEPHANTIN	1835	Elephantin		Unclassified
ELESCLOMOL	1031	Elesclomol	HSP90	Protein stability and degradation
ENTINOSTAT	1593	Entinostat	HDAC1, HDAC3	Chromatin histone acetylation
ENTOSPLETINIB	1630	Entospletinib	SYK	Other, kinases
EPIRUBICIN	1511	Epirubicin	Anthracycline	DNA replication
EPZ004777	1237	EPZ004777	DOT1L	Chromatin histone methylation
EPZ5676	1563	EPZ5676	DOT1L	Chromatin histone methylation
ERK_2440	1713	ERK_2440	ERK1,ERK2	ERK MAPK signaling
ERK_6604	1714	ERK_6604	ERK1,ERK2	ERK MAPK signaling
ERLOTINIB	1168	Erlotinib	EGFR	EGFR signaling
FLUDARABINE	1813	Fludarabine	Antimetabolite	DNA replication
FORETINIB	2040	Foretinib	MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR	RTK signaling
FULVESTRANT	1200	Fulvestrant	ESR	Hormone-related
FULVESTRANT	1816	Fulvestrant	ESR	Hormone-related
GALLIBISCOQUINAZOLE	1830	Gallibiscoquinazole		Unclassified
GDC0810	1925	GDC0810	ESR1, ESR2	Hormone-related
GEFITINIB	1010	Gefitinib	EGFR	EGFR signaling
GEMCITABINE	1190	Gemcitabine	Pyrimidine antimetabolite	DNA replication
GLUTATHIONE	2439	glutathione	anti-oxidant proteins	Other
GNE-317	1926	GNE-317	PI3Kalpha	PI3K/MTOR signaling
GSK-LSD1	1583	GSK-LSD1	KDM1	Chromatin histone methylation
GSK-LSD1-2HCL	2154	GSK-LSD1-2HCl 	LSD1	Chromatin histone methylation
GSK1904529A	1093	GSK1904529A	IGF1R, IR	IGF1R signaling
GSK2110183B	1778	GSK2110183B	AKT1, AKT2, AKT3	PI3K/MTOR signaling
GSK2256098C	1776	GSK2256098C	FAK1	Cytoskeleton
GSK2276186C	1777	GSK2276186C	JAK1, JAK2, JAK3	Other, kinases
GSK2578215A	1927	GSK2578215A	LRRK2	Other, kinases
