drug	drug_key	drug_id_list	approved_final_category_id	approved_final_display_label	include_in_enrichment	exclusion_reason_code	exclusion_reason	rollup_resolution_status	rollup_resolution_reason	curation_status	primary_evidence_source	evidence_summary	curator	curation_date	curation_notes
123138	123138									unreviewed					
123829	123829									unreviewed					
150412	150412									unreviewed					
5-azacytidine	5-AZACYTIDINE									unreviewed					
5-Fluorouracil	5-FLUOROURACIL									unreviewed					
50869	50869									unreviewed					
615590	615590									unreviewed					
630600	630600									unreviewed					
667880	667880									unreviewed					
720427	720427									unreviewed					
729189	729189									unreviewed					
741909	741909									unreviewed					
743380	743380									unreviewed					
765771	765771									unreviewed					
776928	776928									unreviewed					
A-366	A-366									unreviewed					
ABT737	ABT737									unreviewed					
Acetalax	ACETALAX									unreviewed					
Afatinib	AFATINIB									unreviewed					
Afuresertib	AFURESERTIB									unreviewed					
AGI-5198	AGI-5198									unreviewed					
AGI-6780	AGI-6780									unreviewed					
AGK2	AGK2									unreviewed					
Alisertib	ALISERTIB									unreviewed					
Alpelisib	ALPELISIB									unreviewed					
alpha-lipoic acid	ALPHA-LIPOIC ACID									unreviewed					
AMG-319	AMG-319									unreviewed					
ascorbate (vitamin C)	ASCORBATE (VITAMIN C)									unreviewed					
AT13148	AT13148									unreviewed					
Avagacestat	AVAGACESTAT									unreviewed					
Axitinib	AXITINIB									unreviewed					
AZ6102	AZ6102									unreviewed					
AZ960	AZ960									unreviewed					
AZD1208	AZD1208									unreviewed					
AZD1332	AZD1332									unreviewed					
AZD2014	AZD2014									unreviewed					
AZD3759	AZD3759									unreviewed					
AZD4547	AZD4547									unreviewed					
AZD5153	AZD5153									unreviewed					
AZD5363	AZD5363									unreviewed					
AZD5438	AZD5438									unreviewed					
AZD5582	AZD5582									unreviewed					
AZD5991	AZD5991									unreviewed					
AZD6482	AZD6482									unreviewed					
AZD6738	AZD6738									unreviewed					
AZD7762	AZD7762									unreviewed					
AZD8055	AZD8055									unreviewed					
AZD8186	AZD8186									unreviewed					
BDF00022089a	BDF00022089A									unreviewed					
BDILV000379a	BDILV000379A									unreviewed					
BDOCA000347a	BDOCA000347A									unreviewed					
BDP-00009066	BDP-00009066									unreviewed					
BEN	BEN									unreviewed					
BI-2536	BI-2536									unreviewed					
BIBR-1532	BIBR-1532									unreviewed					
Bicalutamide	BICALUTAMIDE									unreviewed					
Bleomycin	BLEOMYCIN									unreviewed					
Bleomycin (50 uM)	BLEOMYCIN (50 UM)									unreviewed					
BMS-345541	BMS-345541									unreviewed					
BMS-536924	BMS-536924									unreviewed					
BMS-754807	BMS-754807									unreviewed					
Bortezomib	BORTEZOMIB									unreviewed					
Bosutinib	BOSUTINIB									unreviewed					
BPD-00008900	BPD-00008900									unreviewed					
Bromosporine	BROMOSPORINE									unreviewed					
Buparlisib	BUPARLISIB									unreviewed					
BX795	BX795									unreviewed					
Camptothecin	CAMPTOTHECIN									unreviewed					
CCT-018159	CCT-018159									unreviewed					
CCT007093	CCT007093									unreviewed					
CDK9_5038	CDK9_5038									unreviewed					
CDK9_5576	CDK9_5576									unreviewed					
Cediranib	CEDIRANIB									unreviewed					
CHIR-99021	CHIR-99021									unreviewed					
Cisplatin	CISPLATIN									unreviewed					
CPI-637	CPI-637									unreviewed					
Crizotinib	CRIZOTINIB									unreviewed					
CT7033-2	CT7033-2									unreviewed					
Cyclophosphamide	CYCLOPHOSPHAMIDE									unreviewed					
Cytarabine	CYTARABINE									unreviewed					
CZC24832	CZC24832									unreviewed					
Dabrafenib	DABRAFENIB									unreviewed					
Dacarbazine	DACARBAZINE									unreviewed					
Dactinomycin	DACTINOMYCIN									unreviewed					
Dactolisib	DACTOLISIB									unreviewed					
Daporinad	DAPORINAD									unreviewed					
Dasatinib	DASATINIB									unreviewed					
Dihydrorotenone	DIHYDROROTENONE									unreviewed					
Dinaciclib	DINACICLIB									unreviewed					
Docetaxel	DOCETAXEL									unreviewed					
Doramapimod	DORAMAPIMOD									unreviewed					
Eg5_9814	EG5_9814									unreviewed					
EHT-1864	EHT-1864									unreviewed					
Elephantin	ELEPHANTIN									unreviewed					
Elesclomol	ELESCLOMOL									unreviewed					
Entinostat	ENTINOSTAT									unreviewed					
Entospletinib	ENTOSPLETINIB									unreviewed					
Epirubicin	EPIRUBICIN									unreviewed					
EPZ004777	EPZ004777									unreviewed					
EPZ5676	EPZ5676									unreviewed					
ERK_2440	ERK_2440									unreviewed					
ERK_6604	ERK_6604									unreviewed					
Erlotinib	ERLOTINIB									unreviewed					
Fludarabine	FLUDARABINE									unreviewed					
Foretinib	FORETINIB									unreviewed					
Fulvestrant	FULVESTRANT									unreviewed					
Gallibiscoquinazole	GALLIBISCOQUINAZOLE									unreviewed					
GDC0810	GDC0810									unreviewed					
Gefitinib	GEFITINIB									unreviewed					
Gemcitabine	GEMCITABINE									unreviewed					
glutathione	GLUTATHIONE									unreviewed					
GNE-317	GNE-317									unreviewed					
GSK-LSD1	GSK-LSD1									unreviewed					
GSK-LSD1-2HCl 	GSK-LSD1-2HCL 									unreviewed					
GSK1904529A	GSK1904529A									unreviewed					
GSK2110183B	GSK2110183B									unreviewed					
GSK2256098C	GSK2256098C									unreviewed					
GSK2276186C	GSK2276186C									unreviewed					
GSK2578215A	GSK2578215A									unreviewed					
GSK2606414	GSK2606414									unreviewed					
GSK269962A	GSK269962A									unreviewed					
GSK2801	GSK2801									unreviewed					
GSK2830371	GSK2830371									unreviewed					
GSK2830371A	GSK2830371A									unreviewed					
GSK3337463A	GSK3337463A									unreviewed					
GSK343	GSK343									unreviewed					
GSK591	GSK591									unreviewed					
GSK626616AC	GSK626616AC									unreviewed					
GW441756	GW441756									unreviewed					
HKMTI-1-005	HKMTI-1-005									unreviewed					
I-BET-762	I-BET-762									unreviewed					
I-BRD9	I-BRD9									unreviewed					
IAP_5620	IAP_5620									unreviewed					
Ibrutinib	IBRUTINIB									unreviewed					
ICL-SIRT078	ICL-SIRT078									unreviewed					
IGF1R_3801	IGF1R_3801									unreviewed					
IOX2	IOX2									unreviewed					
Ipatasertib	IPATASERTIB									unreviewed					
IRAK4_4710	IRAK4_4710									unreviewed					
Irinotecan	IRINOTECAN									unreviewed					
IWP-2	IWP-2									unreviewed					
JAK_8517	JAK_8517									unreviewed					
JAK1_8709	JAK1_8709									unreviewed					
JNK Inhibitor VIII	JNK INHIBITOR VIII									unreviewed					
JQ1	JQ1									unreviewed					
KRAS (G12C) Inhibitor-12	KRAS (G12C) INHIBITOR-12									unreviewed					
KU-55933	KU-55933									unreviewed					
L-Oxonoreleagnine	L-OXONORELEAGNINE									unreviewed					
Lapatinib	LAPATINIB									unreviewed					
LCL161	LCL161									unreviewed					
Leflunomide	LEFLUNOMIDE									unreviewed					
Lenalidomide	LENALIDOMIDE									unreviewed					
Lestaurtinib	LESTAURTINIB									unreviewed					
LGK974	LGK974									unreviewed					
Linsitinib	LINSITINIB									unreviewed					
LJI308	LJI308									unreviewed					
LMB_AB1	LMB_AB1									unreviewed					
LMB_AB2	LMB_AB2									unreviewed					
LMB_AB3	LMB_AB3									unreviewed					
LMP744	LMP744									unreviewed					
Luminespib	LUMINESPIB									unreviewed					
LY2109761	LY2109761									unreviewed					
Methotrexate	METHOTREXATE									unreviewed					
MG-132	MG-132									unreviewed					
MIM1	MIM1									unreviewed					
MIRA-1	MIRA-1									unreviewed					
Mirin	MIRIN									unreviewed					
Mitoxantrone	MITOXANTRONE									unreviewed					
MK-1775	MK-1775									unreviewed					
MK-2206	MK-2206									unreviewed					
MK-8776	MK-8776									unreviewed					
ML323	ML323									unreviewed					
MN-64	MN-64									unreviewed					
Motesanib	MOTESANIB									unreviewed					
Mycophenolic acid	MYCOPHENOLIC ACID									unreviewed					
N-acetyl cysteine	N-ACETYL CYSTEINE									unreviewed					
N25720-51-A1	N25720-51-A1									unreviewed					
N27922-53-1	N27922-53-1									unreviewed					
N29087-69-1	N29087-69-1									unreviewed					
N30652-18-1	N30652-18-1									unreviewed					
Navitoclax	NAVITOCLAX									unreviewed					
Nelarabine	NELARABINE									unreviewed					
Nilotinib	NILOTINIB									unreviewed					
Niraparib	NIRAPARIB									unreviewed					
NU7441	NU7441									unreviewed					
Nutlin-3a (-)	NUTLIN-3A (-)									unreviewed					
NVP-ADW742	NVP-ADW742									unreviewed					
Obatoclax Mesylate	OBATOCLAX MESYLATE									unreviewed					
OF-1	OF-1									unreviewed					
Olaparib	OLAPARIB									unreviewed					
OSI-027	OSI-027									unreviewed					
Osimertinib	OSIMERTINIB									unreviewed					
OTX015	OTX015									unreviewed					
Oxaliplatin	OXALIPLATIN									unreviewed					
P22077	P22077									unreviewed					
Paclitaxel	PACLITAXEL									unreviewed					
PAK_5339	PAK_5339									unreviewed					
Palbociclib	PALBOCICLIB									unreviewed					
PBD-288	PBD-288									unreviewed					
PCI-34051	PCI-34051									unreviewed					
PD0325901	PD0325901									unreviewed					
PD173074	PD173074									unreviewed					
Pevonedistat	PEVONEDISTAT									unreviewed					
PF-4708671	PF-4708671									unreviewed					
PFI-1	PFI-1									unreviewed					
PFI3	PFI3									unreviewed					
Picolinici-acid	PICOLINICI-ACID									unreviewed					
Pictilisib	PICTILISIB									unreviewed					
Piperlongumine	PIPERLONGUMINE									unreviewed					
PLX-4720	PLX-4720									unreviewed					
Podophyllotoxin bromide	PODOPHYLLOTOXIN BROMIDE									unreviewed					
POMHEX	POMHEX									unreviewed					
PRIMA-1MET	PRIMA-1MET									unreviewed					
PRT062607	PRT062607									unreviewed					
Pyridostatin	PYRIDOSTATIN									unreviewed					
Rapamycin	RAPAMYCIN									unreviewed					
Refametinib	REFAMETINIB									unreviewed					
Remodelin	REMODELIN									unreviewed					
Ribociclib	RIBOCICLIB									unreviewed					
RO-3306	RO-3306									unreviewed					
Romidepsin	ROMIDEPSIN									unreviewed					
Rucaparib	RUCAPARIB									unreviewed					
Ruxolitinib	RUXOLITINIB									unreviewed					
RVX-208	RVX-208									unreviewed					
Sabutoclax	SABUTOCLAX									unreviewed					
Sapitinib	SAPITINIB									unreviewed					
Savolitinib	SAVOLITINIB									unreviewed					
SB216763	SB216763									unreviewed					
SB505124	SB505124									unreviewed					
SB590885	SB590885									unreviewed					
SCH772984	SCH772984									unreviewed					
Schweinfurthin A	SCHWEINFURTHIN A									unreviewed					
Selumetinib	SELUMETINIB									unreviewed					
Sepantronium bromide	SEPANTRONIUM BROMIDE									unreviewed					
Serdemetan	SERDEMETAN									unreviewed					
SGC-CBP30	SGC-CBP30									unreviewed					
SGC0946	SGC0946									unreviewed					
Sinularin	SINULARIN									unreviewed					
SL0101	SL0101									unreviewed					
SN-38	SN-38									unreviewed					
Sorafenib	SORAFENIB									unreviewed					
Staurosporine	STAUROSPORINE									unreviewed					
TAF1_5496	TAF1_5496									unreviewed					
Talazoparib	TALAZOPARIB									unreviewed					
Tamoxifen	TAMOXIFEN									unreviewed					
Tanespimycin	TANESPIMYCIN									unreviewed					
Taselisib	TASELISIB									unreviewed					
Telomerase Inhibitor IX	TELOMERASE INHIBITOR IX									unreviewed					
Temozolomide	TEMOZOLOMIDE									unreviewed					
Temsirolimus	TEMSIROLIMUS									unreviewed					
Teniposide	TENIPOSIDE									unreviewed					
THR-101	THR-101									unreviewed					
THR-102	THR-102									unreviewed					
THR-103	THR-103									unreviewed					
Topotecan	TOPOTECAN									unreviewed					
Tozasertib	TOZASERTIB									unreviewed					
Trametinib	TRAMETINIB									unreviewed					
Tretinoin	TRETINOIN									unreviewed					
TW 37	TW 37									unreviewed					
Ulixertinib	ULIXERTINIB									unreviewed					
ULK1_4989	ULK1_4989									unreviewed					
UMI-77	UMI-77									unreviewed					
UNC0379	UNC0379									unreviewed					
UNC0638	UNC0638									unreviewed					
Uprosertib	UPROSERTIB									unreviewed					
VE-822	VE-822									unreviewed					
VE821	VE821									unreviewed					
Veliparib	VELIPARIB									unreviewed					
Venetoclax	VENETOCLAX									unreviewed					
Vinblastine	VINBLASTINE									unreviewed					
Vinorelbine	VINORELBINE									unreviewed					
Vismodegib	VISMODEGIB									unreviewed					
Vorinostat	VORINOSTAT									unreviewed					
VSP34_8731	VSP34_8731									unreviewed					
VTP-A	VTP-A									unreviewed					
VTP-B	VTP-B									unreviewed					
VX-11e	VX-11E									unreviewed					
Wee1 Inhibitor	WEE1 INHIBITOR									unreviewed					
WEHI-539	WEHI-539									unreviewed					
WIKI4	WIKI4									unreviewed					
Wnt-C59	WNT-C59									unreviewed					
WZ4003	WZ4003									unreviewed					
XAV939	XAV939									unreviewed					
YK-4-279	YK-4-279									unreviewed					
ZM447439	ZM447439									unreviewed					
Zoledronate	ZOLEDRONATE									unreviewed					
