drug	drug_key	drug_id_list	approved_final_category_id	approved_final_display_label	legacy_group_used_for_enrichment	pubchem_category	gdsc_putative_target	gdsc_pathway_name	assignment_source	include_in_enrichment	included_in_enrichment	exclusion_reason	exclusion_reason_code	low_count_filter_status	low_count_filter_reason	category_source	category_mode	analysis_metric	schema_version	schema_checksum	curated_mapping_version	curated_mapping_checksum	curation_status	evidence_summary	analysis_mode
123138	123138	1824	OTHER_REVIEWED	Other reviewed				Unclassified	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Unclassified; target: 	manuscript
123829	123829	1820	OTHER_REVIEWED	Other reviewed				Unclassified	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Unclassified; target: 	manuscript
150412	150412	1836	OTHER_REVIEWED	Other reviewed				Unclassified	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Unclassified; target: 	manuscript
5-azacytidine	5-AZACYTIDINE	2156	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	METABOLICINHIBITOR	MetabolicInhibitor	DNA methyltransferases	Other	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Other; target: DNA methyltransferases	manuscript
5-Fluorouracil	5-FLUOROURACIL	1073	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	DERMATOLOGICAL MEDICINES > MEDICINES AFFECTING SKIN DIFFERENTIATION AND PROLIFERATION	Breast Feeding; Lactation; Milk, Human; Antimetabolites; Antineoplastic Agents; Antimetabolites, Antineoplastic; Immunosuppressive Agents; Cytotoxic medicines; Dermatological medicines > Medicines affecting skin differentiation and proliferation	Antimetabolite (DNA & RNA)	Other	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Other; target: Antimetabolite (DNA & RNA)	manuscript
50869	50869	1826	OTHER_REVIEWED	Other reviewed				Unclassified	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Unclassified; target: 	manuscript
615590	615590	1839	OTHER_REVIEWED	Other reviewed				Unclassified	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Unclassified; target: 	manuscript
630600	630600	1840	OTHER_REVIEWED	Other reviewed				Unclassified	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Unclassified; target: 	manuscript
667880	667880	1829	OTHER_REVIEWED	Other reviewed				Unclassified	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Unclassified; target: 	manuscript
720427	720427	1828	OTHER_REVIEWED	Other reviewed				Unclassified	curated_mapping	TRUE	TRUE			retained		curated_mapping	curated	Z_SCORE	gdsc_drug_class_schema_v1	dce3fa39f10c48182bcd96eb17fab124	5a783d67d9f73cfaa9b3ded8c98ab02d	5a783d67d9f73cfaa9b3ded8c98ab02d	approved	GDSC pathway: Unclassified; target: 	manuscript
