category_id	display_label	included_count_before	min_count_threshold	min_count_policy	action	affected_drugs
APOPTOSIS	Apoptosis regulation	13	2	retain	retained	ABT737;AZD5582;AZD5991;LCL161;MIM1;NAVITOCLAX;OBATOCLAX MESYLATE;SABUTOCLAX;SEPANTRONIUM BROMIDE;TW 37;UMI-77;VENETOCLAX;WEHI-539
CELL_CYCLE_MITOSIS	Cell cycle and mitosis	25	2	retain	retained	ALISERTIB;AZD5438;AZD7762;BDP-00009066;BI-2536;CCT007093;CDK9_5038;CDK9_5576;DINACICLIB;DOCETAXEL;EHT-1864;GSK2256098C;GSK269962A;MK-1775;MK-8776;PACLITAXEL;PAK_5339;PALBOCICLIB;RIBOCICLIB;RO-3306;TOZASERTIB;VINBLASTINE;VINORELBINE;WEE1 INHIBITOR;ZM447439
EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	33	2	retain	retained	5-AZACYTIDINE;A-366;AGK2;AZD5153;BDF00022089A;BDILV000379A;BDOCA000347A;BROMOSPORINE;CPI-637;CT7033-2;ENTINOSTAT;EPZ004777;EPZ5676;GSK-LSD1;GSK-LSD1-2HCL;GSK2801;GSK343;GSK591;I-BET-762;I-BRD9;JQ1;OF-1;OTX015;PCI-34051;PFI-1;PFI3;ROMIDEPSIN;RVX-208;SGC-CBP30;SGC0946;UNC0379;UNC0638;VORINOSTAT
GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	32	2	retain	retained	5-FLUOROURACIL;AZD6738;BIBR-1532;BLEOMYCIN;BLEOMYCIN (50 UM);CAMPTOTHECIN;CISPLATIN;CYCLOPHOSPHAMIDE;EPIRUBICIN;FLUDARABINE;IRINOTECAN;KU-55933;LMP744;METHOTREXATE;MIRIN;MITOXANTRONE;NELARABINE;NIRAPARIB;NU7441;OLAPARIB;OXALIPLATIN;PYRIDOSTATIN;RUCAPARIB;SN-38;TALAZOPARIB;TELOMERASE INHIBITOR IX;TEMOZOLOMIDE;TENIPOSIDE;TOPOTECAN;VE-822;VE821;VELIPARIB
HORMONE_RELATED	Hormone related	4	2	retain	retained	BICALUTAMIDE;FULVESTRANT;GDC0810;TAMOXIFEN
METABOLISM	Metabolism	10	2	retain	retained	AGI-5198;AGI-6780;ALPHA-LIPOIC ACID;ASCORBATE (VITAMIN C);DAPORINAD;GEMCITABINE;GLUTATHIONE;GSK2606414;LEFLUNOMIDE;N-ACETYL CYSTEINE
OTHER_REVIEWED	Other reviewed	58	2	retain	retained	123138;123829;150412;50869;615590;630600;667880;720427;729189;741909;743380;765771;776928;ACETALAX;AVAGACESTAT;BEN;BMS-345541;BPD-00008900;CYTARABINE;DACARBAZINE;DACTINOMYCIN;DIHYDROROTENONE;EG5_9814;ELEPHANTIN;GALLIBISCOQUINAZOLE;GSK2830371;GSK2830371A;HKMTI-1-005;IAP_5620;ICL-SIRT078;IOX2;L-OXONORELEAGNINE;LMB_AB1;LMB_AB2;LMB_AB3;LY2109761;MYCOPHENOLIC ACID;N25720-51-A1;N27922-53-1;N29087-69-1;N30652-18-1;PBD-288;PEVONEDISTAT;PICOLINICI-ACID;PIPERLONGUMINE;PODOPHYLLOTOXIN BROMIDE;POMHEX;REMODELIN;SCHWEINFURTHIN A;SINULARIN;TAF1_5496;TRETINOIN;VISMODEGIB;VSP34_8731;VTP-A;VTP-B;YK-4-279;ZOLEDRONATE
P53_PATHWAY	p53 pathway	4	2	retain	retained	MIRA-1;NUTLIN-3A (-);PRIMA-1MET;SERDEMETAN
PROTEIN_DEGRADATION	Protein stability and degradation	9	2	retain	retained	BORTEZOMIB;CCT-018159;ELESCLOMOL;LENALIDOMIDE;LUMINESPIB;MG-132;ML323;P22077;TANESPIMYCIN
SIGNALING	Signaling	98	2	retain	retained	AFATINIB;AFURESERTIB;ALPELISIB;AMG-319;AT13148;AXITINIB;AZ6102;AZ960;AZD1208;AZD1332;AZD2014;AZD3759;AZD4547;AZD5363;AZD6482;AZD8055;AZD8186;BMS-536924;BMS-754807;BOSUTINIB;BUPARLISIB;BX795;CEDIRANIB;CHIR-99021;CRIZOTINIB;CZC24832;DABRAFENIB;DACTOLISIB;DASATINIB;DORAMAPIMOD;ENTOSPLETINIB;ERK_2440;ERK_6604;ERLOTINIB;FORETINIB;GEFITINIB;GNE-317;GSK1904529A;GSK2110183B;GSK2276186C;GSK2578215A;GSK3337463A;GSK626616AC;GW441756;IBRUTINIB;IGF1R_3801;IPATASERTIB;IRAK4_4710;IWP-2;JAK_8517;JAK1_8709;JNK INHIBITOR VIII;KRAS (G12C) INHIBITOR-12;LAPATINIB;LESTAURTINIB;LGK974;LINSITINIB;LJI308;MK-2206;MN-64;MOTESANIB;NILOTINIB;NVP-ADW742;OSI-027;OSIMERTINIB;PD0325901;PD173074;PF-4708671;PICTILISIB;PLX-4720;PRT062607;RAPAMYCIN;REFAMETINIB;RUXOLITINIB;SAPITINIB;SAVOLITINIB;SB216763;SB505124;SB590885;SCH772984;SELUMETINIB;SL0101;SORAFENIB;STAUROSPORINE;TASELISIB;TEMSIROLIMUS;THR-101;THR-102;THR-103;TRAMETINIB;ULIXERTINIB;ULK1_4989;UPROSERTIB;VX-11E;WIKI4;WNT-C59;WZ4003;XAV939
