page_index	cancer_type	metric	metric_label	abs_pearson_r_threshold	barplot_order	drug	pearson_r	abs_pearson_r	group	plot_color	page_tsv_file	response_direction_note
3	GBM	Z_SCORE	GDSC Z-score	0.185	1	ERK_2440	-0.31508624909924	0.31508624909924	Signaling	#2700FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_03_GBM.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
3	GBM	Z_SCORE	GDSC Z-score	0.185	2	IGF1R_3801	-0.305417787064127	0.305417787064127	Signaling	#2700FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_03_GBM.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
3	GBM	Z_SCORE	GDSC Z-score	0.185	3	AZD4547	-0.279872826430051	0.279872826430051	Signaling	#2700FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_03_GBM.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
3	GBM	Z_SCORE	GDSC Z-score	0.185	4	ERK_6604	-0.276453725636354	0.276453725636354	Signaling	#2700FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_03_GBM.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
3	GBM	Z_SCORE	GDSC Z-score	0.185	5	OSI-027	-0.26431441423319	0.26431441423319	Signaling	#2700FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_03_GBM.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
3	GBM	Z_SCORE	GDSC Z-score	0.185	6	NAVITOCLAX	-0.257725323071143	0.257725323071143	Apoptosis regulation	#FF0000	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_03_GBM.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
3	GBM	Z_SCORE	GDSC Z-score	0.185	7	SINULARIN	-0.228932351794081	0.228932351794081	Other reviewed	#00FFC4	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_03_GBM.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
3	GBM	Z_SCORE	GDSC Z-score	0.185	8	BMS-536924	-0.209621331045813	0.209621331045813	Signaling	#2700FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_03_GBM.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
3	GBM	Z_SCORE	GDSC Z-score	0.185	9	MK-8776	-0.197517043205028	0.197517043205028	Cell cycle and mitosis	#FF7600	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_03_GBM.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
3	GBM	Z_SCORE	GDSC Z-score	0.185	10	DABRAFENIB	-0.191783439941144	0.191783439941144	Signaling	#2700FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_03_GBM.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
