page_index	cancer_type	metric	metric_label	abs_pearson_r_threshold	barplot_order	drug	pearson_r	abs_pearson_r	group	plot_color	page_tsv_file	response_direction_note
5	UNCLASSIFIED	Z_SCORE	GDSC Z-score	0.185	1	NELARABINE	0.185004457302443	0.185004457302443	Genome integrity and DNA damage	#9DFF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_05_UNCLASSIFIED.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
5	UNCLASSIFIED	Z_SCORE	GDSC Z-score	0.185	2	GSK2606414	0.18650309760636	0.18650309760636	Metabolism	#00FF4E	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_05_UNCLASSIFIED.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
5	UNCLASSIFIED	Z_SCORE	GDSC Z-score	0.185	3	CDK9_5038	0.192266854909874	0.192266854909874	Cell cycle and mitosis	#FF7600	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_05_UNCLASSIFIED.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
5	UNCLASSIFIED	Z_SCORE	GDSC Z-score	0.185	4	LMB_AB1	0.195299383884127	0.195299383884127	Other reviewed	#00FFC4	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_05_UNCLASSIFIED.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
5	UNCLASSIFIED	Z_SCORE	GDSC Z-score	0.185	5	CEDIRANIB	0.198293883597457	0.198293883597457	Signaling	#2700FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_05_UNCLASSIFIED.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
5	UNCLASSIFIED	Z_SCORE	GDSC Z-score	0.185	6	AZD5438	0.199261117495793	0.199261117495793	Cell cycle and mitosis	#FF7600	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_05_UNCLASSIFIED.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
5	UNCLASSIFIED	Z_SCORE	GDSC Z-score	0.185	7	123138	0.199582727235329	0.199582727235329	Other reviewed	#00FFC4	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_05_UNCLASSIFIED.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
5	UNCLASSIFIED	Z_SCORE	GDSC Z-score	0.185	8	AZD6738	0.199629142645594	0.199629142645594	Genome integrity and DNA damage	#9DFF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_05_UNCLASSIFIED.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
5	UNCLASSIFIED	Z_SCORE	GDSC Z-score	0.185	9	EG5_9814	0.200436367953155	0.200436367953155	Other reviewed	#00FFC4	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_05_UNCLASSIFIED.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
5	UNCLASSIFIED	Z_SCORE	GDSC Z-score	0.185	10	AZD7762	0.201922082350489	0.201922082350489	Cell cycle and mitosis	#FF7600	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_05_UNCLASSIFIED.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
