page_index	cancer_type	metric	metric_label	abs_pearson_r_threshold	barplot_order	drug	pearson_r	abs_pearson_r	group	plot_color	page_tsv_file	response_direction_note
12	MM	Z_SCORE	GDSC Z-score	0.185	1	PBD-288	-0.691789745276608	0.691789745276608	Other reviewed	#00FFC4	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_12_MM.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
12	MM	Z_SCORE	GDSC Z-score	0.185	2	LAPATINIB	-0.652839179623946	0.652839179623946	Signaling	#2700FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_12_MM.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
12	MM	Z_SCORE	GDSC Z-score	0.185	3	POMHEX	-0.645992623832137	0.645992623832137	Other reviewed	#00FFC4	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_12_MM.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
12	MM	Z_SCORE	GDSC Z-score	0.185	4	GLUTATHIONE	-0.643095576959852	0.643095576959852	Metabolism	#00FF4E	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_12_MM.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
12	MM	Z_SCORE	GDSC Z-score	0.185	5	5-AZACYTIDINE	-0.621624991783549	0.621624991783549	Epigenetics and transcription	#FFEB00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_12_MM.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
12	MM	Z_SCORE	GDSC Z-score	0.185	6	THR-102	-0.615038852200017	0.615038852200017	Signaling	#2700FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_12_MM.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
12	MM	Z_SCORE	GDSC Z-score	0.185	7	GSK2830371	-0.59182791518787	0.59182791518787	Other reviewed	#00FFC4	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_12_MM.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
12	MM	Z_SCORE	GDSC Z-score	0.185	8	YK-4-279	-0.585691437995438	0.585691437995438	Other reviewed	#00FFC4	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_12_MM.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
12	MM	Z_SCORE	GDSC Z-score	0.185	9	VISMODEGIB	-0.551392953520876	0.551392953520876	Other reviewed	#00FFC4	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_12_MM.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
12	MM	Z_SCORE	GDSC Z-score	0.185	10	ALPHA-LIPOIC ACID	-0.547383907056934	0.547383907056934	Metabolism	#00FF4E	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_12_MM.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
