page_index	cancer_type	metric	metric_label	abs_pearson_r_threshold	barplot_order	drug	pearson_r	abs_pearson_r	group	plot_color	page_tsv_file	response_direction_note
16	NB	Z_SCORE	GDSC Z-score	0.185	1	BIBR-1532	-0.736351034434557	0.736351034434557	Genome integrity and DNA damage	#9DFF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_16_NB.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
16	NB	Z_SCORE	GDSC Z-score	0.185	2	GW441756	-0.702659484279603	0.702659484279603	Signaling	#2700FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_16_NB.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
16	NB	Z_SCORE	GDSC Z-score	0.185	3	P22077	-0.647731582903272	0.647731582903272	Protein stability and degradation	#004EFF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_16_NB.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
16	NB	Z_SCORE	GDSC Z-score	0.185	4	KU-55933	-0.644841170801917	0.644841170801917	Genome integrity and DNA damage	#9DFF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_16_NB.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
16	NB	Z_SCORE	GDSC Z-score	0.185	5	AZD4547	-0.628998809806215	0.628998809806215	Signaling	#2700FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_16_NB.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
16	NB	Z_SCORE	GDSC Z-score	0.185	6	LINSITINIB	-0.556913682876687	0.556913682876687	Signaling	#2700FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_16_NB.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
16	NB	Z_SCORE	GDSC Z-score	0.185	7	FULVESTRANT	-0.55572122319923	0.55572122319923	Hormone related	#27FF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_16_NB.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
16	NB	Z_SCORE	GDSC Z-score	0.185	8	JNK INHIBITOR VIII	-0.551351140327544	0.551351140327544	Signaling	#2700FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_16_NB.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
16	NB	Z_SCORE	GDSC Z-score	0.185	9	TAMOXIFEN	-0.52919407115564	0.52919407115564	Hormone related	#27FF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_16_NB.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
16	NB	Z_SCORE	GDSC Z-score	0.185	10	RO-3306	-0.523184110263805	0.523184110263805	Cell cycle and mitosis	#FF7600	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_16_NB.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
16	NB	Z_SCORE	GDSC Z-score	0.185	11	WEHI-539	-0.501077346146059	0.501077346146059	Apoptosis regulation	#FF0000	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_16_NB.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
16	NB	Z_SCORE	GDSC Z-score	0.185	12	AGI-5198	-0.500502154531063	0.500502154531063	Metabolism	#00FF4E	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_16_NB.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
