cancer_type	direction	drug	correlation_value	category_label	primary_anticancer_class
allcancers	low_ploidy_sensitive	LAPATINIB	-0.0201096288345645	Kinase inhibitors	Receptor tyrosine kinase inhibitors
allcancers	low_ploidy_sensitive	SEPANTRONIUM BROMIDE	-0.0176715316994968	Proapoptotic agents	Proapoptotic agents
allcancers	low_ploidy_sensitive	TRETINOIN	-0.0102919575525447	Other	Other
allcancers	low_ploidy_sensitive	DACTOLISIB	-0.00923716873105835	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	WIKI4	-0.00736065174986215	WNT/HH pathway inhibitors	WNT-pathway modulators
allcancers	low_ploidy_sensitive	IOX2	-0.00554316249329503	Metabolic/redox agents	Metabolic/redox agents
allcancers	low_ploidy_sensitive	SAPITINIB	-0.00306662350384763	Kinase inhibitors	Receptor tyrosine kinase inhibitors
allcancers	low_ploidy_sensitive	GNE-317	-0.00276495356414069	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	SB505124	-0.00152499051533885	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	AZD8186	-0.000404852215047642	Epigenetic inhibitors	Epigenetic inhibitors
allcancers	low_ploidy_sensitive	ELESCLOMOL	0.000122478491348849	Metabolic/redox agents	Metabolic/redox agents
allcancers	low_ploidy_sensitive	GSK1904529A	0.00175714000353686	Kinase inhibitors	Receptor tyrosine kinase inhibitors
allcancers	low_ploidy_sensitive	WEHI-539	0.00741659865191768	Proapoptotic agents	Proapoptotic agents
allcancers	low_ploidy_sensitive	PICTILISIB	0.00760618011421802	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	AZD8055	0.00878299794697324	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	METHOTREXATE	0.0100752021688581	Chemotherapy agents	Antimetabolites
allcancers	low_ploidy_sensitive	ENTINOSTAT	0.0101077869898958	Epigenetic inhibitors	Epigenetic inhibitors
allcancers	low_ploidy_sensitive	ENTOSPLETINIB	0.0101455860876924	Kinase inhibitors	Non-receptor tyrosine kinase inhibitors
allcancers	low_ploidy_sensitive	IBRUTINIB	0.0103746255247148	Kinase inhibitors	Non-receptor tyrosine kinase inhibitors
allcancers	low_ploidy_sensitive	BDOCA000347A	0.0114218713338104	Epigenetic inhibitors	Epigenetic inhibitors
allcancers	low_ploidy_sensitive	OSIMERTINIB	0.0118214848238488	Kinase inhibitors	Receptor tyrosine kinase inhibitors
allcancers	low_ploidy_sensitive	DORAMAPIMOD	0.0133859616387631	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	GEFITINIB	0.0139259471244673	Kinase inhibitors	Receptor tyrosine kinase inhibitors
allcancers	low_ploidy_sensitive	BMS-536924	0.0154705010092037	Kinase inhibitors	Receptor tyrosine kinase inhibitors
allcancers	low_ploidy_sensitive	PLX-4720	0.0155194441386164	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	PD173074	0.0174028300876628	Kinase inhibitors	Receptor tyrosine kinase inhibitors
allcancers	low_ploidy_sensitive	ROMIDEPSIN	0.0176791231315786	Epigenetic inhibitors	Epigenetic inhibitors
allcancers	low_ploidy_sensitive	741909	0.0184504993218744	Other	Other
allcancers	low_ploidy_sensitive	ASCORBATE (VITAMIN C)	0.0193029629454248	Metabolic/redox agents	Metabolic/redox agents
allcancers	low_ploidy_sensitive	RAPAMYCIN	0.0195380285276077	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	JAK_8517	0.019543169277037	Kinase inhibitors	Non-receptor tyrosine kinase inhibitors
allcancers	low_ploidy_sensitive	BORTEZOMIB	0.022089189538994	Chaperone/protein-homeostasis inhibitors	Proteasome inhibitors
allcancers	low_ploidy_sensitive	MN-64	0.022379336931658	WNT/HH pathway inhibitors	WNT-pathway modulators
allcancers	low_ploidy_sensitive	GSK591	0.0245071478165497	Epigenetic inhibitors	Epigenetic inhibitors
allcancers	low_ploidy_sensitive	SB590885	0.0249700362392523	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	AZD2014	0.025110669118796	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	RVX-208	0.0255794670409585	Epigenetic inhibitors	Epigenetic inhibitors
allcancers	low_ploidy_sensitive	GDC0810	0.0258003882053516	Hormone therapy	Hormone therapy
allcancers	low_ploidy_sensitive	TANESPIMYCIN	0.0298345932735687	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	AZD4547	0.0299032066710859	Kinase inhibitors	Receptor tyrosine kinase inhibitors
allcancers	low_ploidy_sensitive	LCL161	0.0324097475955863	Proapoptotic agents	Proapoptotic agents
allcancers	low_ploidy_sensitive	OF-1	0.0324445916709734	Epigenetic inhibitors	Epigenetic inhibitors
allcancers	low_ploidy_sensitive	OSI-027	0.0325228241905193	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	AFATINIB	0.0333325866577044	Kinase inhibitors	Receptor tyrosine kinase inhibitors
allcancers	low_ploidy_sensitive	MG-132	0.0335005496440446	Chaperone/protein-homeostasis inhibitors	Proteasome inhibitors
allcancers	low_ploidy_sensitive	AZ6102	0.0354645537820627	WNT/HH pathway inhibitors	WNT-pathway modulators
allcancers	low_ploidy_sensitive	ERLOTINIB	0.0356046625712329	Kinase inhibitors	Receptor tyrosine kinase inhibitors
allcancers	low_ploidy_sensitive	UMI-77	0.0356962847378548	Proapoptotic agents	Proapoptotic agents
allcancers	low_ploidy_sensitive	AZD1332	0.0360659976539327	Kinase inhibitors	Receptor tyrosine kinase inhibitors
allcancers	low_ploidy_sensitive	GSK343	0.0364158320025224	Epigenetic inhibitors	Epigenetic inhibitors
allcancers	low_ploidy_sensitive	TAF1_5496	0.0366672987717747	Epigenetic inhibitors	Epigenetic inhibitors
allcancers	low_ploidy_sensitive	743380	0.0368919595678869	Other	Other
allcancers	low_ploidy_sensitive	765771	0.0374523682132389	Other	Other
allcancers	low_ploidy_sensitive	REMODELIN	0.0386800827935873	Epigenetic inhibitors	Epigenetic inhibitors
allcancers	low_ploidy_sensitive	OTX015	0.0396651085962471	Epigenetic inhibitors	Epigenetic inhibitors
allcancers	low_ploidy_sensitive	123829	0.0404357622969936	Other	Other
allcancers	low_ploidy_sensitive	NVP-ADW742	0.0410162939205256	Kinase inhibitors	Receptor tyrosine kinase inhibitors
allcancers	low_ploidy_sensitive	EHT-1864	0.0411073339750494	Other	Other
allcancers	low_ploidy_sensitive	ML323	0.0411183866439854	Chaperone/protein-homeostasis inhibitors	Chaperone/protein-homeostasis inhibitors
allcancers	low_ploidy_sensitive	TASELISIB	0.0413655352618415	Epigenetic inhibitors	Epigenetic inhibitors
allcancers	low_ploidy_sensitive	776928	0.0424993911281838	Other	Other
allcancers	low_ploidy_sensitive	ALPELISIB	0.0428988760574281	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	I-BET-762	0.0442433074540893	Epigenetic inhibitors	Epigenetic inhibitors
allcancers	low_ploidy_sensitive	CHIR-99021	0.0445350346430541	WNT/HH pathway inhibitors	WNT-pathway modulators
allcancers	low_ploidy_sensitive	P22077	0.0445351534997905	p53/MDM2 pathway	p53/MDM2 pathway
allcancers	low_ploidy_sensitive	JNK INHIBITOR VIII	0.0446064937537816	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	MK-2206	0.0451666107072407	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	SELUMETINIB	0.0467125166608292	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	TEMSIROLIMUS	0.047404956264291	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	SCH772984	0.0475125162778754	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	SGC0946	0.0484934198468019	Epigenetic inhibitors	Epigenetic inhibitors
allcancers	low_ploidy_sensitive	UPROSERTIB	0.0486194478576015	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	DIHYDROROTENONE	0.0487358866605418	Metabolic/redox agents	Metabolic/redox agents
allcancers	low_ploidy_sensitive	SERDEMETAN	0.0490599042984873	p53/MDM2 pathway	p53/MDM2 pathway
allcancers	low_ploidy_sensitive	REFAMETINIB	0.0491413361165454	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	ULK1_4989	0.049474543859728	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	CYCLOPHOSPHAMIDE	0.0502582414758369	Chemotherapy agents	Alkylating agents
allcancers	low_ploidy_sensitive	VORINOSTAT	0.0505611972421756	Epigenetic inhibitors	Epigenetic inhibitors
allcancers	low_ploidy_sensitive	LINSITINIB	0.0506144229467227	Kinase inhibitors	Receptor tyrosine kinase inhibitors
allcancers	low_ploidy_sensitive	TAMOXIFEN	0.0518957113574237	Hormone therapy	Hormone therapy
allcancers	low_ploidy_sensitive	PRT062607	0.0521751914230024	Kinase inhibitors	Non-receptor tyrosine kinase inhibitors
allcancers	low_ploidy_sensitive	CCT007093	0.0530128384273044	DNA damage repair inhibitors	DNA damage repair inhibitors
allcancers	low_ploidy_sensitive	BMS-754807	0.0534936416761577	Kinase inhibitors	Receptor tyrosine kinase inhibitors
allcancers	low_ploidy_sensitive	NU7441	0.0549024826273355	DNA damage repair inhibitors	DNA damage repair inhibitors
allcancers	low_ploidy_sensitive	STAUROSPORINE	0.0553529518735308	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	AFURESERTIB	0.0558330619796586	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	DINACICLIB	0.0560001375545526	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	VE-822	0.0562856971154082	DNA damage repair inhibitors	DNA damage repair inhibitors
allcancers	low_ploidy_sensitive	ICL-SIRT078	0.0564297336767395	Epigenetic inhibitors	Epigenetic inhibitors
allcancers	low_ploidy_sensitive	IPATASERTIB	0.0567791278401234	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	BUPARLISIB	0.057265804731125	Epigenetic inhibitors	Epigenetic inhibitors
allcancers	low_ploidy_sensitive	ACETALAX	0.0574160233003532	Other	Other
allcancers	low_ploidy_sensitive	AZD5363	0.0577751230028243	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	AZD5582	0.0588082886628166	Proapoptotic agents	Proapoptotic agents
allcancers	low_ploidy_sensitive	WNT-C59	0.0588937666340026	WNT/HH pathway inhibitors	WNT-pathway modulators
allcancers	low_ploidy_sensitive	AT13148	0.0592140571694503	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	PYRIDOSTATIN	0.059672985919504	DNA damage repair inhibitors	DNA damage repair inhibitors
allcancers	low_ploidy_sensitive	N-ACETYL CYSTEINE	0.0608908425650011	Metabolic/redox agents	Metabolic/redox agents
allcancers	low_ploidy_sensitive	PAK_5339	0.0610077062487751	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	ULIXERTINIB	0.0615550140791846	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	MIRA-1	0.0618848321296294	p53/MDM2 pathway	p53/MDM2 pathway
allcancers	low_ploidy_sensitive	AZD6482	0.0620073173853521	Epigenetic inhibitors	Epigenetic inhibitors
allcancers	low_ploidy_sensitive	AZD3759	0.0621538917065034	Kinase inhibitors	Receptor tyrosine kinase inhibitors
allcancers	low_ploidy_sensitive	CEDIRANIB	0.062558864225351	Kinase inhibitors	Receptor tyrosine kinase inhibitors
allcancers	low_ploidy_sensitive	IGF1R_3801	0.0627230819699273	Kinase inhibitors	Receptor tyrosine kinase inhibitors
allcancers	low_ploidy_sensitive	WEE1 INHIBITOR	0.062745714795411	DNA damage repair inhibitors	DNA damage repair inhibitors
allcancers	low_ploidy_sensitive	GW441756	0.0631051699812639	Kinase inhibitors	Receptor tyrosine kinase inhibitors
allcancers	low_ploidy_sensitive	GSK2578215A	0.063415936772843	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	AGI-6780	0.0634375525859206	Metabolic/redox agents	Metabolic/redox agents
allcancers	low_ploidy_sensitive	AGK2	0.0637771280267484	Epigenetic inhibitors	Epigenetic inhibitors
allcancers	low_ploidy_sensitive	TRAMETINIB	0.0644748510085832	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	DASATINIB	0.064664452704969	Kinase inhibitors	Non-receptor tyrosine kinase inhibitors
allcancers	low_ploidy_sensitive	BX795	0.0648206693635994	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	AVAGACESTAT	0.065024026554013	Epigenetic inhibitors	Epigenetic inhibitors
allcancers	low_ploidy_sensitive	LUMINESPIB	0.0662872155314354	Chaperone/protein-homeostasis inhibitors	Chaperone/protein-homeostasis inhibitors
allcancers	low_ploidy_sensitive	720427	0.0669060380919347	Other	Other
allcancers	low_ploidy_sensitive	CCT-018159	0.0675849219839932	Chaperone/protein-homeostasis inhibitors	Chaperone/protein-homeostasis inhibitors
allcancers	low_ploidy_sensitive	LY2109761	0.0678069862829155	Other	Other
allcancers	low_ploidy_sensitive	PD0325901	0.0680810746196738	Kinase inhibitors	Serine/threonine kinase inhibitors
allcancers	low_ploidy_sensitive	ALPHA-LIPOIC ACID	0.068102806630744	Metabolic/redox agents	Metabolic/redox agents
allcancers	low_ploidy_sensitive	AMG-319	0.0681329804720324	Epigenetic inhibitors	Epigenetic inhibitors
allcancers	low_ploidy_sensitive	CZC24832	0.0692154944745424	Kinase inhibitors	Serine/threonine kinase inhibitors
