page_index	cancer_type	metric	metric_label	abs_pearson_r_threshold	barplot_order	drug	pearson_r	abs_pearson_r	group	plot_color	page_tsv_file	response_direction_note
14	BRCA	Z_SCORE	GDSC Z-score	0.185	1	LAPATINIB	-0.3277113340528	0.3277113340528	Receptor tyrosine kinase inhibitors	#0080FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
14	BRCA	Z_SCORE	GDSC Z-score	0.185	2	BDOCA000347A	-0.304993391581155	0.304993391581155	Epigenetic inhibitors	#BFFF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
14	BRCA	Z_SCORE	GDSC Z-score	0.185	3	IBRUTINIB	-0.28629486015886	0.28629486015886	Non-receptor tyrosine kinase inhibitors	#00FF40	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
14	BRCA	Z_SCORE	GDSC Z-score	0.185	4	OSIMERTINIB	-0.277316330631044	0.277316330631044	Receptor tyrosine kinase inhibitors	#0080FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
14	BRCA	Z_SCORE	GDSC Z-score	0.185	5	ML323	-0.261708026603082	0.261708026603082	Chaperone/protein-homeostasis inhibitors	#FFBF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
14	BRCA	Z_SCORE	GDSC Z-score	0.185	6	SAPITINIB	-0.25566037927967	0.25566037927967	Receptor tyrosine kinase inhibitors	#0080FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
14	BRCA	Z_SCORE	GDSC Z-score	0.185	7	AFATINIB	-0.226806154884705	0.226806154884705	Receptor tyrosine kinase inhibitors	#0080FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
14	BRCA	Z_SCORE	GDSC Z-score	0.185	8	GEFITINIB	-0.220796612689332	0.220796612689332	Receptor tyrosine kinase inhibitors	#0080FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
14	BRCA	Z_SCORE	GDSC Z-score	0.185	9	EHT-1864	-0.211121386155554	0.211121386155554	Other	#00FF80	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
14	BRCA	Z_SCORE	GDSC Z-score	0.185	10	MN-64	-0.2093823451142	0.2093823451142	WNT-pathway modulators	#8000FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
14	BRCA	Z_SCORE	GDSC Z-score	0.185	11	LMB_AB3	-0.202856495484982	0.202856495484982	Chaperone/protein-homeostasis inhibitors	#FFBF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
14	BRCA	Z_SCORE	GDSC Z-score	0.185	12	GSK2830371A	-0.196675520808079	0.196675520808079	DNA damage repair inhibitors	#FFFF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
14	BRCA	Z_SCORE	GDSC Z-score	0.185	13	BDILV000379A	-0.19649245479358	0.19649245479358	Epigenetic inhibitors	#BFFF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
14	BRCA	Z_SCORE	GDSC Z-score	0.185	14	OF-1	-0.195577272178483	0.195577272178483	Epigenetic inhibitors	#BFFF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
14	BRCA	Z_SCORE	GDSC Z-score	0.185	15	743380	-0.194864217284632	0.194864217284632	Other	#00FF80	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
14	BRCA	Z_SCORE	GDSC Z-score	0.185	16	ERLOTINIB	-0.190414189351841	0.190414189351841	Receptor tyrosine kinase inhibitors	#0080FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
14	BRCA	Z_SCORE	GDSC Z-score	0.185	17	BMS-754807	0.187445403248167	0.187445403248167	Receptor tyrosine kinase inhibitors	#0080FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
14	BRCA	Z_SCORE	GDSC Z-score	0.185	18	VISMODEGIB	0.188646772889838	0.188646772889838	Hedgehog pathway inhibitors	#80FF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
14	BRCA	Z_SCORE	GDSC Z-score	0.185	19	OBATOCLAX MESYLATE	0.191440766800804	0.191440766800804	Proapoptotic agents	#00FFFF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
14	BRCA	Z_SCORE	GDSC Z-score	0.185	20	630600	0.191741243291211	0.191741243291211	Other	#00FF80	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
14	BRCA	Z_SCORE	GDSC Z-score	0.185	21	DACTINOMYCIN	0.19175321282955	0.19175321282955	Tumor antibiotics	#4000FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
14	BRCA	Z_SCORE	GDSC Z-score	0.185	22	SABUTOCLAX	0.194130239845225	0.194130239845225	Proapoptotic agents	#00FFFF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
14	BRCA	Z_SCORE	GDSC Z-score	0.185	23	CYCLOPHOSPHAMIDE	0.194452161988039	0.194452161988039	Alkylating agents	#FF0000	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
14	BRCA	Z_SCORE	GDSC Z-score	0.185	24	VE821	0.196252966811485	0.196252966811485	DNA damage repair inhibitors	#FFFF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
14	BRCA	Z_SCORE	GDSC Z-score	0.185	25	TALAZOPARIB	0.197414997444309	0.197414997444309	DNA damage repair inhibitors	#FFFF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
14	BRCA	Z_SCORE	GDSC Z-score	0.185	26	AZ960	0.197492488709025	0.197492488709025	Non-receptor tyrosine kinase inhibitors	#00FF40	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
14	BRCA	Z_SCORE	GDSC Z-score	0.185	27	GSK2256098C	0.198307039126488	0.198307039126488	Non-receptor tyrosine kinase inhibitors	#00FF40	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
14	BRCA	Z_SCORE	GDSC Z-score	0.185	28	RO-3306	0.19971843410518	0.19971843410518	Serine/threonine kinase inhibitors	#0040FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
14	BRCA	Z_SCORE	GDSC Z-score	0.185	29	FULVESTRANT	0.200728746268932	0.200728746268932	Hormone therapy	#40FF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
14	BRCA	Z_SCORE	GDSC Z-score	0.185	30	EPZ004777	0.202389403045218	0.202389403045218	Epigenetic inhibitors	#BFFF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
14	BRCA	Z_SCORE	GDSC Z-score	0.185	31	DACTOLISIB	0.20274182571168	0.20274182571168	Serine/threonine kinase inhibitors	#0040FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_14_BRCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
