cancer_type	n_cell_lines	count_method	source_file
allcancers	627	maximum matched cell lines across retained drug correlations	/Users/4470246/Repositories/Gemcitabine-model/Results/public_data/gdsc_ploidy_analysis/runs/20260706T000000_gdsc_marginal_counts_gdsc/tables/drug_ploidy_correlations_by_cancer_Z_SCORE.tsv
STAD	19	maximum matched cell lines across retained drug correlations	/Users/4470246/Repositories/Gemcitabine-model/Results/public_data/gdsc_ploidy_analysis/runs/20260706T000000_gdsc_marginal_counts_gdsc/tables/drug_ploidy_correlations_by_cancer_Z_SCORE.tsv
GBM	22	maximum matched cell lines across retained drug correlations	/Users/4470246/Repositories/Gemcitabine-model/Results/public_data/gdsc_ploidy_analysis/runs/20260706T000000_gdsc_marginal_counts_gdsc/tables/drug_ploidy_correlations_by_cancer_Z_SCORE.tsv
BLCA	16	maximum matched cell lines across retained drug correlations	/Users/4470246/Repositories/Gemcitabine-model/Results/public_data/gdsc_ploidy_analysis/runs/20260706T000000_gdsc_marginal_counts_gdsc/tables/drug_ploidy_correlations_by_cancer_Z_SCORE.tsv
UNCLASSIFIED	96	maximum matched cell lines across retained drug correlations	/Users/4470246/Repositories/Gemcitabine-model/Results/public_data/gdsc_ploidy_analysis/runs/20260706T000000_gdsc_marginal_counts_gdsc/tables/drug_ploidy_correlations_by_cancer_Z_SCORE.tsv
KIRC	13	maximum matched cell lines across retained drug correlations	/Users/4470246/Repositories/Gemcitabine-model/Results/public_data/gdsc_ploidy_analysis/runs/20260706T000000_gdsc_marginal_counts_gdsc/tables/drug_ploidy_correlations_by_cancer_Z_SCORE.tsv
THCA	11	maximum matched cell lines across retained drug correlations	/Users/4470246/Repositories/Gemcitabine-model/Results/public_data/gdsc_ploidy_analysis/runs/20260706T000000_gdsc_marginal_counts_gdsc/tables/drug_ploidy_correlations_by_cancer_Z_SCORE.tsv
SKCM	34	maximum matched cell lines across retained drug correlations	/Users/4470246/Repositories/Gemcitabine-model/Results/public_data/gdsc_ploidy_analysis/runs/20260706T000000_gdsc_marginal_counts_gdsc/tables/drug_ploidy_correlations_by_cancer_Z_SCORE.tsv
DLBC	19	maximum matched cell lines across retained drug correlations	/Users/4470246/Repositories/Gemcitabine-model/Results/public_data/gdsc_ploidy_analysis/runs/20260706T000000_gdsc_marginal_counts_gdsc/tables/drug_ploidy_correlations_by_cancer_Z_SCORE.tsv
LUAD	54	maximum matched cell lines across retained drug correlations	/Users/4470246/Repositories/Gemcitabine-model/Results/public_data/gdsc_ploidy_analysis/runs/20260706T000000_gdsc_marginal_counts_gdsc/tables/drug_ploidy_correlations_by_cancer_Z_SCORE.tsv
ALL	15	maximum matched cell lines across retained drug correlations	/Users/4470246/Repositories/Gemcitabine-model/Results/public_data/gdsc_ploidy_analysis/runs/20260706T000000_gdsc_marginal_counts_gdsc/tables/drug_ploidy_correlations_by_cancer_Z_SCORE.tsv
MM	14	maximum matched cell lines across retained drug correlations	/Users/4470246/Repositories/Gemcitabine-model/Results/public_data/gdsc_ploidy_analysis/runs/20260706T000000_gdsc_marginal_counts_gdsc/tables/drug_ploidy_correlations_by_cancer_Z_SCORE.tsv
PAAD	27	maximum matched cell lines across retained drug correlations	/Users/4470246/Repositories/Gemcitabine-model/Results/public_data/gdsc_ploidy_analysis/runs/20260706T000000_gdsc_marginal_counts_gdsc/tables/drug_ploidy_correlations_by_cancer_Z_SCORE.tsv
BRCA	44	maximum matched cell lines across retained drug correlations	/Users/4470246/Repositories/Gemcitabine-model/Results/public_data/gdsc_ploidy_analysis/runs/20260706T000000_gdsc_marginal_counts_gdsc/tables/drug_ploidy_correlations_by_cancer_Z_SCORE.tsv
HNSC	14	maximum matched cell lines across retained drug correlations	/Users/4470246/Repositories/Gemcitabine-model/Results/public_data/gdsc_ploidy_analysis/runs/20260706T000000_gdsc_marginal_counts_gdsc/tables/drug_ploidy_correlations_by_cancer_Z_SCORE.tsv
NB	12	maximum matched cell lines across retained drug correlations	/Users/4470246/Repositories/Gemcitabine-model/Results/public_data/gdsc_ploidy_analysis/runs/20260706T000000_gdsc_marginal_counts_gdsc/tables/drug_ploidy_correlations_by_cancer_Z_SCORE.tsv
COREAD	40	maximum matched cell lines across retained drug correlations	/Users/4470246/Repositories/Gemcitabine-model/Results/public_data/gdsc_ploidy_analysis/runs/20260706T000000_gdsc_marginal_counts_gdsc/tables/drug_ploidy_correlations_by_cancer_Z_SCORE.tsv
LIHC	12	maximum matched cell lines across retained drug correlations	/Users/4470246/Repositories/Gemcitabine-model/Results/public_data/gdsc_ploidy_analysis/runs/20260706T000000_gdsc_marginal_counts_gdsc/tables/drug_ploidy_correlations_by_cancer_Z_SCORE.tsv
LAML	19	maximum matched cell lines across retained drug correlations	/Users/4470246/Repositories/Gemcitabine-model/Results/public_data/gdsc_ploidy_analysis/runs/20260706T000000_gdsc_marginal_counts_gdsc/tables/drug_ploidy_correlations_by_cancer_Z_SCORE.tsv
SCLC	41	maximum matched cell lines across retained drug correlations	/Users/4470246/Repositories/Gemcitabine-model/Results/public_data/gdsc_ploidy_analysis/runs/20260706T000000_gdsc_marginal_counts_gdsc/tables/drug_ploidy_correlations_by_cancer_Z_SCORE.tsv
ESCA	24	maximum matched cell lines across retained drug correlations	/Users/4470246/Repositories/Gemcitabine-model/Results/public_data/gdsc_ploidy_analysis/runs/20260706T000000_gdsc_marginal_counts_gdsc/tables/drug_ploidy_correlations_by_cancer_Z_SCORE.tsv
OV	24	maximum matched cell lines across retained drug correlations	/Users/4470246/Repositories/Gemcitabine-model/Results/public_data/gdsc_ploidy_analysis/runs/20260706T000000_gdsc_marginal_counts_gdsc/tables/drug_ploidy_correlations_by_cancer_Z_SCORE.tsv
LUSC	13	maximum matched cell lines across retained drug correlations	/Users/4470246/Repositories/Gemcitabine-model/Results/public_data/gdsc_ploidy_analysis/runs/20260706T000000_gdsc_marginal_counts_gdsc/tables/drug_ploidy_correlations_by_cancer_Z_SCORE.tsv
LGG	10	maximum matched cell lines across retained drug correlations	/Users/4470246/Repositories/Gemcitabine-model/Results/public_data/gdsc_ploidy_analysis/runs/20260706T000000_gdsc_marginal_counts_gdsc/tables/drug_ploidy_correlations_by_cancer_Z_SCORE.tsv
