category_label	category_group	category_group_definition	source_primary_classes	n_drugs	n_low_contexts	n_high_contexts	total_significant_contexts	n_low_only_contexts	n_high_only_contexts	n_both_contexts	min_low_pvalue	min_high_pvalue
Chaperone/protein-homeostasis inhibitors	bidirectional_context_dependent	>= 2 total significant contexts, at least one context in each direction, and absolute high-minus-low context difference <= 2	Chaperone/protein-homeostasis inhibitors; Proteasome inhibitors	10	2	1	3	2	1	0	0.00333333333333333	0.0133333333333333
DNA damage repair inhibitors	bidirectional_context_dependent	>= 2 total significant contexts, at least one context in each direction, and absolute high-minus-low context difference <= 2	DNA damage repair inhibitors	19	4	3	7	4	3	0	0.03	0.00333333333333333
Hormone therapy	bidirectional_context_dependent	>= 2 total significant contexts, at least one context in each direction, and absolute high-minus-low context difference <= 2	Hormone therapy	4	1	2	3	1	2	0	0.01	0.0166666666666667
Metabolic/redox agents	bidirectional_context_dependent	>= 2 total significant contexts, at least one context in each direction, and absolute high-minus-low context difference <= 2	Metabolic/redox agents	14	1	2	3	1	2	0	0.0466666666666667	0
Other	bidirectional_context_dependent	>= 2 total significant contexts, at least one context in each direction, and absolute high-minus-low context difference <= 2	Other	34	4	3	7	4	3	0	0	0
Proapoptotic agents	bidirectional_context_dependent	>= 2 total significant contexts, at least one context in each direction, and absolute high-minus-low context difference <= 2	Proapoptotic agents	14	3	2	5	3	2	0	0	0.01
WNT/HH pathway inhibitors	bidirectional_context_dependent	>= 2 total significant contexts, at least one context in each direction, and absolute high-minus-low context difference <= 2	Hedgehog pathway inhibitors; WNT-pathway modulators	10	1	1	2	1	1	0	0.0366666666666667	0.00666666666666667
Epigenetic inhibitors	high_ploidy_biased	>= 2 total significant contexts and more high- than low-ploidy contexts after the bidirectional rule	Epigenetic inhibitors	45	2	6	8	2	6	0	0.00666666666666667	0
Kinase inhibitors	high_ploidy_biased	>= 2 total significant contexts and more high- than low-ploidy contexts after the bidirectional rule	Non-receptor tyrosine kinase inhibitors; Receptor tyrosine kinase inhibitors; Serine/threonine kinase inhibitors	100	5	9	14	5	9	0	0	0
Chemotherapy agents	low_ploidy_biased	>= 2 total significant contexts and more low- than high-ploidy contexts after the bidirectional rule	Alkylating agents; Antimetabolites; Antimitotic agents; Topoisomerase inhibitors; Tumor antibiotics	31	10	4	14	10	4	0	0	0
p53/MDM2 pathway	weak_or_not_recurrent	< 2 total significant low/high enrichment contexts	p53/MDM2 pathway	5	1	0	1	1	0	0	0.0133333333333333	0.11
