category_label	n_drugs	source_primary_classes	n_low_contexts	n_high_contexts	n_low_only_contexts	n_high_only_contexts	n_both_contexts	min_low_pvalue	min_high_pvalue	direction_bias_contexts	total_significant_contexts	category_group	category_group_definition
Chaperone/protein-homeostasis inhibitors	10	Chaperone/protein-homeostasis inhibitors; Proteasome inhibitors	2	1	2	1	0	0.00333333333333333	0.0133333333333333	-1	3	bidirectional_context_dependent	>= 2 total significant contexts, at least one context in each direction, and absolute high-minus-low context difference <= 2
DNA damage repair inhibitors	19	DNA damage repair inhibitors	4	3	4	3	0	0.03	0.00333333333333333	-1	7	bidirectional_context_dependent	>= 2 total significant contexts, at least one context in each direction, and absolute high-minus-low context difference <= 2
Hormone therapy	4	Hormone therapy	1	2	1	2	0	0.01	0.0166666666666667	1	3	bidirectional_context_dependent	>= 2 total significant contexts, at least one context in each direction, and absolute high-minus-low context difference <= 2
Metabolic/redox agents	14	Metabolic/redox agents	1	2	1	2	0	0.0466666666666667	0	1	3	bidirectional_context_dependent	>= 2 total significant contexts, at least one context in each direction, and absolute high-minus-low context difference <= 2
Other	34	Other	4	3	4	3	0	0	0	-1	7	bidirectional_context_dependent	>= 2 total significant contexts, at least one context in each direction, and absolute high-minus-low context difference <= 2
Proapoptotic agents	14	Proapoptotic agents	3	2	3	2	0	0	0.01	-1	5	bidirectional_context_dependent	>= 2 total significant contexts, at least one context in each direction, and absolute high-minus-low context difference <= 2
WNT/HH pathway inhibitors	10	Hedgehog pathway inhibitors; WNT-pathway modulators	1	1	1	1	0	0.0366666666666667	0.00666666666666667	0	2	bidirectional_context_dependent	>= 2 total significant contexts, at least one context in each direction, and absolute high-minus-low context difference <= 2
Epigenetic inhibitors	45	Epigenetic inhibitors	2	6	2	6	0	0.00666666666666667	0	4	8	high_ploidy_biased	>= 2 total significant contexts and more high- than low-ploidy contexts after the bidirectional rule
Kinase inhibitors	100	Non-receptor tyrosine kinase inhibitors; Receptor tyrosine kinase inhibitors; Serine/threonine kinase inhibitors	5	9	5	9	0	0	0	4	14	high_ploidy_biased	>= 2 total significant contexts and more high- than low-ploidy contexts after the bidirectional rule
Chemotherapy agents	31	Alkylating agents; Antimetabolites; Antimitotic agents; Topoisomerase inhibitors; Tumor antibiotics	10	4	10	4	0	0	0	-6	14	low_ploidy_biased	>= 2 total significant contexts and more low- than high-ploidy contexts after the bidirectional rule
p53/MDM2 pathway	5	p53/MDM2 pathway	1	0	1	0	0	0.0133333333333333	0.11	-1	1	weak_or_not_recurrent	< 2 total significant low/high enrichment contexts
