page_index	cancer_type	metric	metric_label	abs_pearson_r_threshold	barplot_order	drug	pearson_r	abs_pearson_r	group	plot_color	page_tsv_file	response_direction_note
21	ESCA	Z_SCORE	GDSC Z-score	0.185	1	SCHWEINFURTHIN A	-0.553942871641839	0.553942871641839	Other	#00FF80	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	2	MITOXANTRONE	-0.552452412535847	0.552452412535847	Topoisomerase inhibitors	#0000FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	3	ICL-SIRT078	-0.509076050171003	0.509076050171003	Epigenetic inhibitors	#BFFF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	4	AZD2014	-0.475803297956564	0.475803297956564	Serine/threonine kinase inhibitors	#0040FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	5	ERK_6604	-0.414650211322338	0.414650211322338	Serine/threonine kinase inhibitors	#0040FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	6	TOPOTECAN	-0.403558828544362	0.403558828544362	Topoisomerase inhibitors	#0000FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	7	PRT062607	-0.396743641004117	0.396743641004117	Non-receptor tyrosine kinase inhibitors	#00FF40	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	8	LMP744	-0.384422535002633	0.384422535002633	Topoisomerase inhibitors	#0000FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	9	776928	-0.376237323006696	0.376237323006696	Other	#00FF80	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	10	ERK_2440	-0.368554246289635	0.368554246289635	Serine/threonine kinase inhibitors	#0040FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	11	ENTINOSTAT	-0.338545514139737	0.338545514139737	Epigenetic inhibitors	#BFFF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	12	GALLIBISCOQUINAZOLE	-0.32274126573919	0.32274126573919	Other	#00FF80	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	13	630600	-0.318863087435306	0.318863087435306	Other	#00FF80	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	14	AZ6102	-0.298642061202393	0.298642061202393	WNT-pathway modulators	#8000FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	15	VX-11E	-0.293537243312088	0.293537243312088	Serine/threonine kinase inhibitors	#0040FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	16	GEMCITABINE	-0.267708851049772	0.267708851049772	Antimetabolites	#FF4000	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	17	AZD5582	-0.252535554433698	0.252535554433698	Proapoptotic agents	#00FFFF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	18	DACTOLISIB	-0.247480118930683	0.247480118930683	Serine/threonine kinase inhibitors	#0040FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	19	BLEOMYCIN	-0.246465038414234	0.246465038414234	Tumor antibiotics	#4000FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	20	VE-822	-0.245996385764168	0.245996385764168	DNA damage repair inhibitors	#FFFF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	21	WZ4003	-0.239053305023756	0.239053305023756	Serine/threonine kinase inhibitors	#0040FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	22	765771	-0.231956448169983	0.231956448169983	Other	#00FF80	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	23	TEMSIROLIMUS	-0.224417556723377	0.224417556723377	Serine/threonine kinase inhibitors	#0040FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
21	ESCA	Z_SCORE	GDSC Z-score	0.185	24	SAVOLITINIB	-0.217865452303619	0.217865452303619	Receptor tyrosine kinase inhibitors	#0080FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_21_ESCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
