category_label	category_group	category_group_definition	source_primary_classes	n_drugs	n_low_contexts	n_high_contexts	total_significant_contexts	n_low_only_contexts	n_high_only_contexts	n_both_contexts	min_low_pvalue	min_high_pvalue	min_low_qvalue_bh	min_high_qvalue_bh
Kinase inhibitors	bidirectional_context_dependent	>= 2 total BH-FDR significant contexts, at least one context in each direction, and absolute high-minus-low context difference <= 2	Non-receptor tyrosine kinase inhibitors; Receptor tyrosine kinase inhibitors; Serine/threonine kinase inhibitors	100	2	4	6	2	4	0	0	0	0.0310588235294118	0.0310588235294118
Chemotherapy agents	low_ploidy_biased	>= 2 total BH-FDR significant contexts and more low- than high-ploidy contexts after the bidirectional rule	Alkylating agents; Antimetabolites; Antimitotic agents; Topoisomerase inhibitors; Tumor antibiotics	31	7	1	8	7	1	0	0	0	0.0310588235294118	0.0310588235294118
Other	low_ploidy_biased	>= 2 total BH-FDR significant contexts and more low- than high-ploidy contexts after the bidirectional rule	Other	34	2	0	2	2	0	0	0	0.007	0.0310588235294118	0.119225806451613
Epigenetic inhibitors	weak_or_not_recurrent	< 2 total BH-FDR significant low/high enrichment contexts	Epigenetic inhibitors	45	0	1	1	0	1	0	0.013	0.001	0.185513513513514	0.0310588235294118
Chaperone/protein-homeostasis inhibitors	weak_or_not_recurrent	< 2 total BH-FDR significant low/high enrichment contexts	Chaperone/protein-homeostasis inhibitors; Proteasome inhibitors	10	0	0	0	0	0	0	0.012	0.032	0.181028571428571	0.311142857142857
DNA damage repair inhibitors	weak_or_not_recurrent	< 2 total BH-FDR significant low/high enrichment contexts	DNA damage repair inhibitors	19	0	0	0	0	0	0	0.02	0.004	0.251428571428571	0.0918260869565217
Hormone therapy	weak_or_not_recurrent	< 2 total BH-FDR significant low/high enrichment contexts	Hormone therapy	4	0	0	0	0	0	0	0.008	0.024	0.132	0.275478260869565
Metabolic/redox agents	weak_or_not_recurrent	< 2 total BH-FDR significant low/high enrichment contexts	Metabolic/redox agents	14	0	0	0	0	0	0	0.04	0.003	0.352	0.0754285714285714
p53/MDM2 pathway	weak_or_not_recurrent	< 2 total BH-FDR significant low/high enrichment contexts	p53/MDM2 pathway	5	0	0	0	0	0	0	0.006	0.127	0.117333333333333	0.5808
Proapoptotic agents	weak_or_not_recurrent	< 2 total BH-FDR significant low/high enrichment contexts	Proapoptotic agents	14	0	0	0	0	0	0	0.005	0.013	0.101538461538462	0.185513513513514
WNT/HH pathway inhibitors	weak_or_not_recurrent	< 2 total BH-FDR significant low/high enrichment contexts	Hedgehog pathway inhibitors; WNT-pathway modulators	10	0	0	0	0	0	0	0.028	0.004	0.294461538461538	0.0918260869565217
