direction	metric	cancer_type	category_label	pvalue	pvalue_for_fdr	qvalue_bh
low_ploidy_sensitive	Z_SCORE	allcancers	Kinase inhibitors	0.987	0.987	1
low_ploidy_sensitive	Z_SCORE	allcancers	Epigenetic inhibitors	0.851	0.851	1
low_ploidy_sensitive	Z_SCORE	allcancers	Other	0.097	0.097	0.522823529411765
low_ploidy_sensitive	Z_SCORE	allcancers	DNA damage repair inhibitors	0.02	0.02	0.251428571428571
low_ploidy_sensitive	Z_SCORE	allcancers	Metabolic/redox agents	0.877	0.877	1
low_ploidy_sensitive	Z_SCORE	allcancers	Proapoptotic agents	0.306	0.306	0.81048
low_ploidy_sensitive	Z_SCORE	allcancers	WNT/HH pathway inhibitors	0.983	0.983	1
low_ploidy_sensitive	Z_SCORE	allcancers	Chemotherapy agents	0	0.000999000999000999	0.0310588235294118
low_ploidy_sensitive	Z_SCORE	allcancers	Chaperone/protein-homeostasis inhibitors	0.719	0.719	1
low_ploidy_sensitive	Z_SCORE	allcancers	p53/MDM2 pathway	0.299	0.299	0.8096
low_ploidy_sensitive	Z_SCORE	allcancers	Hormone therapy	0.743	0.743	1
low_ploidy_sensitive	Z_SCORE	STAD	Kinase inhibitors	0.817	0.817	1
low_ploidy_sensitive	Z_SCORE	STAD	Epigenetic inhibitors	0.927	0.927	1
low_ploidy_sensitive	Z_SCORE	STAD	Other	0.291	0.291	0.798839378238342
low_ploidy_sensitive	Z_SCORE	STAD	DNA damage repair inhibitors	0.172	0.172	0.661859154929577
low_ploidy_sensitive	Z_SCORE	STAD	Metabolic/redox agents	0.58	0.58	1
low_ploidy_sensitive	Z_SCORE	STAD	Proapoptotic agents	0.065	0.065	0.445714285714286
low_ploidy_sensitive	Z_SCORE	STAD	WNT/HH pathway inhibitors	0.536	0.536	0.991833333333333
low_ploidy_sensitive	Z_SCORE	STAD	Chemotherapy agents	0.012	0.012	0.181028571428571
low_ploidy_sensitive	Z_SCORE	STAD	Chaperone/protein-homeostasis inhibitors	0.461	0.461	0.943876447876448
low_ploidy_sensitive	Z_SCORE	STAD	p53/MDM2 pathway	0.49	0.49	0.951176470588235
low_ploidy_sensitive	Z_SCORE	STAD	Hormone therapy	0.835	0.835	1
low_ploidy_sensitive	Z_SCORE	GBM	Kinase inhibitors	0.993	0.993	1
low_ploidy_sensitive	Z_SCORE	GBM	Epigenetic inhibitors	0.723	0.723	1
low_ploidy_sensitive	Z_SCORE	GBM	Other	0.456	0.456	0.943876447876448
low_ploidy_sensitive	Z_SCORE	GBM	DNA damage repair inhibitors	0.03	0.03	0.298867924528302
low_ploidy_sensitive	Z_SCORE	GBM	Metabolic/redox agents	0.886	0.886	1
low_ploidy_sensitive	Z_SCORE	GBM	Proapoptotic agents	0.087	0.087	0.504791208791209
low_ploidy_sensitive	Z_SCORE	GBM	WNT/HH pathway inhibitors	0.887	0.887	1
low_ploidy_sensitive	Z_SCORE	GBM	Chemotherapy agents	0.019	0.019	0.244682926829268
low_ploidy_sensitive	Z_SCORE	GBM	Chaperone/protein-homeostasis inhibitors	0.162	0.162	0.657969230769231
low_ploidy_sensitive	Z_SCORE	GBM	p53/MDM2 pathway	0.006	0.006	0.117333333333333
low_ploidy_sensitive	Z_SCORE	GBM	Hormone therapy	0.898	0.898	1
low_ploidy_sensitive	Z_SCORE	BLCA	Kinase inhibitors	0.477	0.477	0.951176470588235
low_ploidy_sensitive	Z_SCORE	BLCA	Epigenetic inhibitors	0.924	0.924	1
low_ploidy_sensitive	Z_SCORE	BLCA	Other	0.405	0.405	0.914451063829787
low_ploidy_sensitive	Z_SCORE	BLCA	DNA damage repair inhibitors	0.178	0.178	0.661859154929577
low_ploidy_sensitive	Z_SCORE	BLCA	Metabolic/redox agents	0.898	0.898	1
low_ploidy_sensitive	Z_SCORE	BLCA	Proapoptotic agents	0.6	0.6	1
low_ploidy_sensitive	Z_SCORE	BLCA	WNT/HH pathway inhibitors	0.879	0.879	1
low_ploidy_sensitive	Z_SCORE	BLCA	Chemotherapy agents	0	0.000999000999000999	0.0310588235294118
low_ploidy_sensitive	Z_SCORE	BLCA	Chaperone/protein-homeostasis inhibitors	0.012	0.012	0.181028571428571
low_ploidy_sensitive	Z_SCORE	BLCA	p53/MDM2 pathway	0.257	0.257	0.76664406779661
low_ploidy_sensitive	Z_SCORE	BLCA	Hormone therapy	0.931	0.931	1
low_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Kinase inhibitors	0.939	0.939	1
low_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Epigenetic inhibitors	1	1	1
low_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Other	0.07	0.07	0.462
