normalized_key	n_rows	n_raw_names	ploidy_min	ploidy_max	ploidy_range	raw_names
ABC1	1	1	2.387710584	2.387710584	0	ABC1
ACHN	1	1	2.337792141	2.337792141	0	ACHN
AGS	1	1	2.094259233	2.094259233	0	AGS
ALLSIL	1	1	2.04827072	2.04827072	0	ALLSIL
AMO1	1	1	3.496529914	3.496529914	0	AMO1
AM38	1	1	3.235077179	3.235077179	0	AM38
AN3CA	1	1	2.170906977	2.170906977	0	AN3CA
ASPC1	1	1	2.461243113	2.461243113	0	ASPC1
AU565	1	1	3.614169561	3.614169561	0	AU565
A101D	1	1	2.522666899	2.522666899	0	A101D
A172	1	1	3.456949527	3.456949527	0	A172
A204	1	1	1.974949934	1.974949934	0	A204
A2058	1	1	2.12860247	2.12860247	0	A2058
A253	1	1	2.770921796	2.770921796	0	A253
A2780	1	1	2.000944743	2.000944743	0	A2780
A3KAW	1	1	2.043815934	2.043815934	0	A3KAW
A375	1	1	2.689861813	2.689861813	0	A375
A4FUK	1	1	2.065849326	2.065849326	0	A4FUK
A427	1	1	3.126441891	3.126441891	0	A427
A498	1	1	3.315826382	3.315826382	0	A498
A549	1	1	2.761944611	2.761944611	0	A549
A673	1	1	1.951436996	1.951436996	0	A673
A704	1	1	1.961576632	1.961576632	0	A704
BCPAP	1	1	2.966329712	2.966329712	0	BCPAP
BECKER	1	1	2.681486695	2.681486695	0	BECKER
BEN	1	1	3.606117968	3.606117968	0	BEN
BFTC905	1	1	2.660235	2.660235	0	BFTC905
BFTC909	1	1	3.262866593	3.262866593	0	BFTC909
BHT101	1	1	4.264976287	4.264976287	0	BHT101
BHY	1	1	2.926313201	2.926313201	0	BHY
BICR22	1	1	1.897911915	1.897911915	0	BICR22
BICR31	1	1	2.93595712	2.93595712	0	BICR31
BL41	1	1	3.107607582	3.107607582	0	BL41
BL70	1	1	2.01324565	2.01324565	0	BL70
BT20	1	1	2.445086326	2.445086326	0	BT20
BT474	1	1	2.693256722	2.693256722	0	BT474
BT483	1	1	3.840197164	3.840197164	0	BT483
BT549	1	1	2.966170305	2.966170305	0	BT549
BV173	1	1	2.0048113	2.0048113	0	BV173
BXPC3	1	1	2.457896684	2.457896684	0	BXPC3
CADOES1	1	1	2.061739639	2.061739639	0	CADOES1
CAKI1	1	1	3.231901659	3.231901659	0	CAKI1
CALU3	1	1	2.861778616	2.861778616	0	CALU3
CALU6	1	1	2.556255696	2.556255696	0	CALU6
CAL12T	1	1	2.4042772	2.4042772	0	CAL12T
CAL120	1	1	3.197696217	3.197696217	0	CAL120
CAL148	1	1	2.065513107	2.065513107	0	CAL148
CAL27	1	1	1.935470847	1.935470847	0	CAL27
CAL29	1	1	2.929286172	2.929286172	0	CAL29
CAL33	1	1	2.088865963	2.088865963	0	CAL33
CAL51	1	1	1.988446209	1.988446209	0	CAL51
CAL54	1	1	2.345081379	2.345081379	0	CAL54
CAL62	1	1	2.526469338	2.526469338	0	CAL62
CAL78	1	1	3.424897378	3.424897378	0	CAL78
CAL851	1	1	2.675383331	2.675383331	0	CAL851
CAMA1	1	1	1.932833303	1.932833303	0	CAMA1
CAOV3	1	1	3.159091631	3.159091631	0	CAOV3
CAOV4	1	1	4.639966845	4.639966845	0	CAOV4
CAPAN1	1	1	2.605256641	2.605256641	0	CAPAN1
CAPAN2	1	1	3.216258012	3.216258012	0	CAPAN2
CAS1	1	1	3.699463954	3.699463954	0	CAS1
CA46	1	1	4.013405939	4.013405939	0	CA46
CCFSTTG1	1	1	3.942855822	3.942855822	0	CCFSTTG1
CCK81	1	1	3.7264229	3.7264229	0	CCK81
CFPAC1	1	1	3.202607903	3.202607903	0	CFPAC1
CGTHW1	1	1	3.169191718	3.169191718	0	CGTHW1
CHAGOK1	1	1	2.13539469	2.13539469	0	CHAGOK1
CHL1	1	1	3.490650975	3.490650975	0	CHL1
CHP126	1	1	2.014258094	2.014258094	0	CHP126
CHP212	1	1	1.9837102	1.9837102	0	CHP212
CL11	1	1	1.936489416	1.936489416	0	CL11
CL34	1	1	1.952121177	1.952121177	0	CL34
CL40	1	1	2.053537756	2.053537756	0	CL40
CMK	1	1	3.704122434	3.704122434	0	CMK
CMLT1	1	1	1.9645276	1.9645276	0	CMLT1
COLO205	1	1	3.254393688	3.254393688	0	COLO205
COLO668	1	1	3.042884606	3.042884606	0	COLO668
COLO678	1	1	2.306685084	2.306685084	0	COLO678
COLO679	1	1	2.094719016	2.094719016	0	COLO679
COLO680N	1	1	2.884456635	2.884456635	0	COLO680N
COLO684	1	1	2.257732755	2.257732755	0	COLO684
COLO783	1	1	3.730669529	3.730669529	0	COLO783
COLO792	1	1	3.609237463	3.609237463	0	COLO792
COLO800	1	1	2.751764412	2.751764412	0	COLO800
COLO829	1	1	2.765166842	2.765166842	0	COLO829
CORL105	1	1	1.735611727	1.735611727	0	CORL105
CORL23	1	1	2.216467274	2.216467274	0	CORL23
CORL279	1	1	3.211900216	3.211900216	0	CORL279
CORL311	1	1	4.326234901	4.326234901	0	CORL311
CORL88	1	1	3.289218986	3.289218986	0	CORL88
CORL95	1	1	2.865076936	2.865076936	0	CORL95
CPCN	1	1	2.069793945	2.069793945	0	CPCN
CW2	1	1	1.974313655	1.974313655	0	CW2
C2BBE1	1	1	3.505671881	3.505671881	0	C2BBE1
C32	1	1	2.011721293	2.011721293	0	C32
DANG	1	1	2.929097734	2.929097734	0	DANG
DAOY	1	1	4.154167041	4.154167041	0	DAOY
DAUDI	1	1	3.901892616	3.901892616	0	DAUDI
DB	1	1	3.15790765	3.15790765	0	DB
DBTRG05MG	1	1	3.750016608	3.750016608	0	DBTRG05MG
DEL	1	1	3.232636805	3.232636805	0	DEL
DETROIT562	1	1	2.855835048	2.855835048	0	DETROIT562
DKMG	1	1	1.905895451	1.905895451	0	DKMG
DMS114	1	1	2.893369504	2.893369504	0	DMS114
DMS273	1	1	2.732277803	2.732277803	0	DMS273
DMS53	1	1	2.648998418	2.648998418	0	DMS53
DMS79	1	1	3.446808615	3.446808615	0	DMS79
DND41	1	1	3.841096436	3.841096436	0	DND41
DOHH2	1	1	1.997877943	1.997877943	0	DOHH2
DU145	1	1	2.6639664	2.6639664	0	DU145
DU4475	1	1	3.744351662	3.744351662	0	DU4475
D283MED	1	1	1.994180499	1.994180499	0	D283MED
EBC1	1	1	2.794422894	2.794422894	0	EBC1
EB2	1	1	3.577455563	3.577455563	0	EB2
ECC10	1	1	3.58226179	3.58226179	0	ECC10
ECC12	1	1	2.227832124	2.227832124	0	ECC12
ECGI10	1	1	3.461050926	3.461050926	0	ECGI10
EFM19	1	1	2.837644199	2.837644199	0	EFM19
EFM192A	1	1	3.148910011	3.148910011	0	EFM192A
EFO21	1	1	2.850490568	2.850490568	0	EFO21
EFO27	1	1	2.009498516	2.009498516	0	EFO27
EHEB	1	1	1.916460766	1.916460766	0	EHEB
EJM	1	1	2.939033512	2.939033512	0	EJM
EKVX	1	1	2.811285695	2.811285695	0	EKVX
EM2	1	1	3.416845222	3.416845222	0	EM2
EN	1	1	3.681571412	3.681571412	0	EN
EOL1	1	1	2.127154189	2.127154189	0	EOL1
EPLC272H	1	1	3.008359073	3.008359073	0	EPLC272H
ESS1	1	1	2.006024627	2.006024627	0	ESS1
ES2	1	1	2.96907123	2.96907123	0	ES2
EVSAT	1	1	2.839033652	2.839033652	0	EVSAT
FADU	1	1	2.919876411	2.919876411	0	FADU
FTC133	1	1	2.084582174	2.084582174	0	FTC133
FUOV1	1	1	2.820343805	2.820343805	0	FUOV1
FU97	1	1	2.789364399	2.789364399	0	FU97
GAMG	1	1	2.924619177	2.924619177	0	GAMG
GA10	1	1	3.989148709	3.989148709	0	GA10
GB1	1	1	2.943747223	2.943747223	0	GB1
GCIY	1	1	2.653525376	2.653525376	0	GCIY
GCT	1	1	2.892514952	2.892514952	0	GCT
GDM1	1	1	2.051963356	2.051963356	0	GDM1
GI1	1	1	4.348025477	4.348025477	0	GI1
GMS10	1	1	3.021421016	3.021421016	0	GMS10
GRANTA519	1	1	1.890870719	1.890870719	0	GRANTA519
G361	1	1	3.146489523	3.146489523	0	G361
G401	1	1	1.961008873	1.961008873	0	G401
G402	1	1	2.046391472	2.046391472	0	G402
HARA	1	1	2.776076334	2.776076334	0	HARA
HCC1143	1	1	3.362044201	3.362044201	0	HCC1143
HCC1187	1	1	2.644131348	2.644131348	0	HCC1187
HCC1395	1	1	2.691600409	2.691600409	0	HCC1395
HCC1419	1	1	3.555410413	3.555410413	0	HCC1419
HCC1428	1	1	3.515258168	3.515258168	0	HCC1428
HCC15	1	1	1.659190536	1.659190536	0	HCC15
HCC1500	1	1	1.660725635	1.660725635	0	HCC1500
HCC1569	1	1	2.948469725	2.948469725	0	HCC1569
HCC1599	1	1	2.995078528	2.995078528	0	HCC1599
HCC1806	1	1	2.215331984	2.215331984	0	HCC1806
HCC1937	1	1	4.238473033	4.238473033	0	HCC1937
HCC1954	1	1	4.203984771	4.203984771	0	HCC1954
HCC202	1	1	2.918566224	2.918566224	0	HCC202
HCC2157	1	1	2.689760153	2.689760153	0	HCC2157
HCC2218	1	1	3.925428789	3.925428789	0	HCC2218
HCC33	1	1	2.88843558	2.88843558	0	HCC33
HCC366	1	1	3.445900706	3.445900706	0	HCC366
HCC38	1	1	1.822823741	1.822823741	0	HCC38
HCC44	1	1	3.017297527	3.017297527	0	HCC44
HCC70	1	1	4.24338942	4.24338942	0	HCC70
HCC78	1	1	3.94242339	3.94242339	0	HCC78
HCC827	1	1	2.843758412	2.843758412	0	HCC827
HCT116	1	1	1.97598793	1.97598793	0	HCT116
HCT15	1	1	1.958197722	1.958197722	0	HCT15
HDLM2	1	1	1.89009284	1.89009284	0	HDLM2
HDMYZ	1	1	2.441296741	2.441296741	0	HDMYZ
HDQP1	1	1	4.1390573	4.1390573	0	HDQP1
HEL	1	1	2.749970851	2.749970851	0	HEL
HEP3B217	1	1	3.697136046	3.697136046	0	HEP3B217
HGC27	1	1	2.951285063	2.951285063	0	HGC27
HH	1	1	1.954230322	1.954230322	0	HH
HLE	1	1	2.646689645	2.646689645	0	HLE
HL60	1	1	1.907132987	1.907132987	0	HL60
HN	1	1	3.055941778	3.055941778	0	HN
HOP62	1	1	2.867374567	2.867374567	0	HOP62
HOP92	1	1	3.995937759	3.995937759	0	HOP92
HOS	1	1	2.148085135	2.148085135	0	HOS
HPAC	1	1	2.740920813	2.740920813	0	HPAC
HPAFII	1	1	2.551692367	2.551692367	0	HPAFII
HSC2	1	1	2.507636541	2.507636541	0	HSC2
HSC3	1	1	2.65789237	2.65789237	0	HSC3
HSC4	1	1	3.429424602	3.429424602	0	HSC4
HS578T	1	1	2.603257839	2.603257839	0	HS578T
HS746T	1	1	2.059789235	2.059789235	0	HS746T
HS766T	1	1	2.397418312	2.397418312	0	HS766T
HS939T	1	1	1.94164211	1.94164211	0	HS939T
HT	1	1	1.922459543	1.922459543	0	HT
HT1080	1	1	1.985572056	1.985572056	0	HT1080
HT115	1	1	2.044700045	2.044700045	0	HT115
HT1197	1	1	3.219990412	3.219990412	0	HT1197
HT1376	1	1	4.99278065	4.99278065	0	HT1376
HT144	1	1	2.661321364	2.661321364	0	HT144
HT29	1	1	3.044549639	3.044549639	0	HT29
HT55	1	1	3.452938148	3.452938148	0	HT55
HUCCT1	1	1	3.163722982	3.163722982	0	HUCCT1
HUH1	1	1	2.960436159	2.960436159	0	HUH1
HUH7	1	1	2.435327559	2.435327559	0	HUH7
HUPT3	1	1	1.809539958	1.809539958	0	HUPT3
HUPT4	1	1	3.340030759	3.340030759	0	HUPT4
HUTU80	1	1	1.960884419	1.960884419	0	HUTU80
H4	1	1	3.066261451	3.066261451	0	H4
IALM	1	1	2.31124122	2.31124122	0	IALM
IGROV1	1	1	3.986690149	3.986690149	0	IGROV1
IGR1	1	1	3.142408821	3.142408821	0	IGR1
IGR37	1	1	1.662747914	1.662747914	0	IGR37
IM95	1	1	2.014002341	2.014002341	0	IM95
IPC298	1	1	3.440121019	3.440121019	0	IPC298
ISTMES1	1	1	3.285277894	3.285277894	0	ISTMES1
JEKO1	1	1	4.599729197	4.599729197	0	JEKO1
JHH1	1	1	3.77649252	3.77649252	0	JHH1
JHH6	1	1	3.049643317	3.049643317	0	JHH6
JHH7	1	1	2.983507404	2.983507404	0	JHH7
JHOS2	1	1	2.758190473	2.758190473	0	JHOS2
JHOS4	1	1	3.934260258	3.934260258	0	JHOS4
JIMT1	1	1	2.510993088	2.510993088	0	JIMT1
JJN3	1	1	2.664536258	2.664536258	0	JJN3
JM1	1	1	2.272725065	2.272725065	0	JM1
JURKAT	1	1	1.939631396	1.939631396	0	JURKAT
JURLMK1	1	1	1.90413925	1.90413925	0	JURLMK1
JVM2	1	1	2.010371169	2.010371169	0	JVM2
JVM3	1	1	3.992141663	3.992141663	0	JVM3
J82	1	1	3.631170504	3.631170504	0	J82
KALS1	1	1	3.055100554	3.055100554	0	KALS1
KARPAS299	1	1	1.899098452	1.899098452	0	KARPAS299
KARPAS422	1	1	2.080480651	2.080480651	0	KARPAS422
KARPAS620	1	1	2.893898687	2.893898687	0	KARPAS620
KASUMI1	1	1	1.928838491	1.928838491	0	KASUMI1
KATOIII	1	1	3.584085102	3.584085102	0	KATOIII
KCL22	1	1	2.173638925	2.173638925	0	KCL22
KELLY	1	1	1.994437367	1.994437367	0	KELLY
KE37	1	1	1.979310724	1.979310724	0	KE37
KG1	1	1	1.985699079	1.985699079	0	KG1
KLE	1	1	2.653350809	2.653350809	0	KLE
KMH2	1	1	2.863161805	2.863161805	0	KMH2
KMRC1	1	1	3.2536742	3.2536742	0	KMRC1
KMRC20	1	1	3.073374206	3.073374206	0	KMRC20
KMS11	1	1	3.090489832	3.090489832	0	KMS11
KMS12BM	1	1	3.410585218	3.410585218	0	KMS12BM
KM12	1	1	1.934753061	1.934753061	0	KM12
KNS42	1	1	3.071950007	3.071950007	0	KNS42
KNS62	1	1	2.506712832	2.506712832	0	KNS62
KOPN8	1	1	1.976297755	1.976297755	0	KOPN8
KO52	1	1	2.072856827	2.072856827	0	KO52
KPNRTBM1	1	1	1.912747703	1.912747703	0	KPNRTBM1
KPNYN	1	1	1.925827566	1.925827566	0	KPNYN
KP1N	1	1	2.524829241	2.524829241	0	KP1N
KP2	1	1	3.499415952	3.499415952	0	KP2
KP3	1	1	2.656165357	2.656165357	0	KP3
KP4	1	1	2.98440116	2.98440116	0	KP4
KS1	1	1	3.476511439	3.476511439	0	KS1
KURAMOCHI	1	1	2.610143457	2.610143457	0	KURAMOCHI
KU1919	1	1	3.210255457	3.210255457	0	KU1919
