drug	drug_key	primary_anticancer_class	category_label	secondary_mechanism_note
5-Fluorouracil	5-FLUOROURACIL	Antimetabolites	Antimetabolites	Fluoropyrimidine antimetabolite
Cytarabine	CYTARABINE	Antimetabolites	Antimetabolites	Cytidine analog antimetabolite
Fludarabine	FLUDARABINE	Antimetabolites	Antimetabolites	Purine analog antimetabolite
Gemcitabine	GEMCITABINE	Antimetabolites	Antimetabolites	Deoxycytidine/pyrimidine analog antimetabolite
Leflunomide	LEFLUNOMIDE	Antimetabolites	Antimetabolites	DHODH inhibitor / pyrimidine synthesis inhibitor; primarily immunomodulatory
Methotrexate	METHOTREXATE	Antimetabolites	Antimetabolites	Folate antagonist / DHFR inhibitor
Mycophenolic acid	MYCOPHENOLIC ACID	Antimetabolites	Antimetabolites	IMPDH inhibitor / purine synthesis inhibitor; primarily immunosuppressive
Nelarabine	NELARABINE	Antimetabolites	Antimetabolites	Purine nucleoside analog
Docetaxel	DOCETAXEL	Antimitotic agents	Antimitotic agents	Microtubule stabilizer/taxane-like antimitotic
Eg5_9814	EG5_9814	Antimitotic agents	Antimitotic agents	Kinesin spindle protein/Eg5 antimitotic inhibitor
Paclitaxel	PACLITAXEL	Antimitotic agents	Antimitotic agents	Microtubule stabilizer/taxane-like antimitotic
Podophyllotoxin bromide	PODOPHYLLOTOXIN BROMIDE	Antimitotic agents	Antimitotic agents	Microtubule/tubulin-directed antimitotic compound; verify exact salt/derivative
Vinblastine	VINBLASTINE	Antimitotic agents	Antimitotic agents	Microtubule destabilizer/vinca-like antimitotic
Vinorelbine	VINORELBINE	Antimitotic agents	Antimitotic agents	Microtubule destabilizer/vinca-like antimitotic
CCT-018159	CCT-018159	Chaperone/protein-homeostasis inhibitors	Chaperone/protein-homeostasis inhibitors	HSP90 chaperone inhibitor
Lenalidomide	LENALIDOMIDE	Chaperone/protein-homeostasis inhibitors	Chaperone/protein-homeostasis inhibitors	CRBN molecular glue / immunomodulatory protein degradation modulator
LMB_AB2	LMB_AB2	Chaperone/protein-homeostasis inhibitors	Chaperone/protein-homeostasis inhibitors	GADD34/PPP1R15A stress-response/protein-phosphatase pathway modulator
LMB_AB3	LMB_AB3	Chaperone/protein-homeostasis inhibitors	Chaperone/protein-homeostasis inhibitors	PPP1R15B stress-response/protein-phosphatase pathway modulator
Luminespib	LUMINESPIB	Chaperone/protein-homeostasis inhibitors	Chaperone/protein-homeostasis inhibitors	HSP90 chaperone inhibitor
ML323	ML323	Chaperone/protein-homeostasis inhibitors	Chaperone/protein-homeostasis inhibitors	USP1-UAF1 deubiquitinase inhibitor; protein stability/DNA repair interface
Pevonedistat	PEVONEDISTAT	Chaperone/protein-homeostasis inhibitors	Chaperone/protein-homeostasis inhibitors	NAE/NEDD8-activating enzyme inhibitor; cullin-RING ligase/proteostasis
VSP34_8731	VSP34_8731	Chaperone/protein-homeostasis inhibitors	Chaperone/protein-homeostasis inhibitors	VPS34/class III PI3K autophagy/protein-homeostasis inhibitor
Bortezomib	BORTEZOMIB	Proteasome inhibitors	Chaperone/protein-homeostasis inhibitors	Proteasome inhibitor
MG-132	MG-132	Proteasome inhibitors	Chaperone/protein-homeostasis inhibitors	Proteasome inhibitor
AZD6738	AZD6738	DNA damage repair inhibitors	DNA damage repair inhibitors	ATR checkpoint/DDR inhibitor
AZD7762	AZD7762	DNA damage repair inhibitors	DNA damage repair inhibitors	Cell-cycle checkpoint / DDR inhibitor
CCT007093	CCT007093	DNA damage repair inhibitors	DNA damage repair inhibitors	Granular target/pathway: PPM1D; Cell cycle
GSK2830371	GSK2830371	DNA damage repair inhibitors	DNA damage repair inhibitors	Other/unclassified mechanism; GDSC target: WIP1; pathway: Other
GSK2830371A	GSK2830371A	DNA damage repair inhibitors	DNA damage repair inhibitors	Other/unclassified mechanism; GDSC target: PPM1D; pathway: Other
KU-55933	KU-55933	DNA damage repair inhibitors	DNA damage repair inhibitors	ATM checkpoint/DDR inhibitor
Mirin	MIRIN	DNA damage repair inhibitors	DNA damage repair inhibitors	Granular target/pathway: MRE11; Genome integrity
MK-1775	MK-1775	DNA damage repair inhibitors	DNA damage repair inhibitors	Cell-cycle checkpoint / DDR inhibitor
MK-8776	MK-8776	DNA damage repair inhibitors	DNA damage repair inhibitors	Cell-cycle checkpoint / DDR inhibitor
Niraparib	NIRAPARIB	DNA damage repair inhibitors	DNA damage repair inhibitors	PARP inhibitor
NU7441	NU7441	DNA damage repair inhibitors	DNA damage repair inhibitors	DNA-PK inhibitor
Olaparib	OLAPARIB	DNA damage repair inhibitors	DNA damage repair inhibitors	PARP inhibitor
Pyridostatin	PYRIDOSTATIN	DNA damage repair inhibitors	DNA damage repair inhibitors	G-quadruplex stabilizer; replication/telomere stress genome-integrity agent
Rucaparib	RUCAPARIB	DNA damage repair inhibitors	DNA damage repair inhibitors	PARP inhibitor
Talazoparib	TALAZOPARIB	DNA damage repair inhibitors	DNA damage repair inhibitors	PARP inhibitor
VE-822	VE-822	DNA damage repair inhibitors	DNA damage repair inhibitors	ATR checkpoint/DDR inhibitor
VE821	VE821	DNA damage repair inhibitors	DNA damage repair inhibitors	ATR checkpoint/DDR inhibitor
Veliparib	VELIPARIB	DNA damage repair inhibitors	DNA damage repair inhibitors	PARP inhibitor
Wee1 Inhibitor	WEE1 INHIBITOR	DNA damage repair inhibitors	DNA damage repair inhibitors	Cell-cycle checkpoint / DDR inhibitor
Cisplatin	CISPLATIN	Alkylating agents	DNA-damaging agents	Platinum DNA crosslinker
Cyclophosphamide	CYCLOPHOSPHAMIDE	Alkylating agents	DNA-damaging agents	Nitrogen mustard alkylating agent
Dacarbazine	DACARBAZINE	Alkylating agents	DNA-damaging agents	Triazene alkylating agent
Oxaliplatin	OXALIPLATIN	Alkylating agents	DNA-damaging agents	Platinum DNA crosslinker
PBD-288	PBD-288	Alkylating agents	DNA-damaging agents	Pyrrolobenzodiazepine-like DNA minor-groove/crosslinking cytotoxic; verify compound identity
Temozolomide	TEMOZOLOMIDE	Alkylating agents	DNA-damaging agents	Triazene/methylating DNA alkylating agent
Camptothecin	CAMPTOTHECIN	Topoisomerase inhibitors	DNA-damaging agents	Topoisomerase I inhibitor
Epirubicin	EPIRUBICIN	Topoisomerase inhibitors	DNA-damaging agents	Anthracycline antitumor antibiotic; also TOP2-associated cytotoxic
Irinotecan	IRINOTECAN	Topoisomerase inhibitors	DNA-damaging agents	Topoisomerase I inhibitor
LMP744	LMP744	Topoisomerase inhibitors	DNA-damaging agents	Topoisomerase I inhibitor
Mitoxantrone	MITOXANTRONE	Topoisomerase inhibitors	DNA-damaging agents	TOP2 inhibitor / anthracenedione cytotoxic
SN-38	SN-38	Topoisomerase inhibitors	DNA-damaging agents	Topoisomerase I inhibitor
Teniposide	TENIPOSIDE	Topoisomerase inhibitors	DNA-damaging agents	TOP2 inhibitor / podophyllotoxin derivative
Topotecan	TOPOTECAN	Topoisomerase inhibitors	DNA-damaging agents	Topoisomerase I inhibitor
5-azacytidine	5-AZACYTIDINE	Epigenetic inhibitors	Epigenetic inhibitors	DNMT inhibitor / hypomethylating nucleoside analog; also antimetabolite-like
A-366	A-366	Epigenetic inhibitors	Epigenetic inhibitors	Histone methyltransferase/epigenetic writer inhibitor
AGK2	AGK2	Epigenetic inhibitors	Epigenetic inhibitors	Chromatin reader/writer/remodeling inhibitor
AMG-319	AMG-319	Epigenetic inhibitors	Epigenetic inhibitors	BET/bromodomain inhibitor
Avagacestat	AVAGACESTAT	Epigenetic inhibitors	Epigenetic inhibitors	BET/bromodomain inhibitor
AZD5153	AZD5153	Epigenetic inhibitors	Epigenetic inhibitors	BET/bromodomain inhibitor
AZD6482	AZD6482	Epigenetic inhibitors	Epigenetic inhibitors	BET/bromodomain inhibitor
AZD8186	AZD8186	Epigenetic inhibitors	Epigenetic inhibitors	BET/bromodomain inhibitor
BDF00022089a	BDF00022089A	Epigenetic inhibitors	Epigenetic inhibitors	Chromatin reader/writer/remodeling inhibitor
BDILV000379a	BDILV000379A	Epigenetic inhibitors	Epigenetic inhibitors	Chromatin reader/writer/remodeling inhibitor
BDOCA000347a	BDOCA000347A	Epigenetic inhibitors	Epigenetic inhibitors	Chromatin reader/writer/remodeling inhibitor
Bromosporine	BROMOSPORINE	Epigenetic inhibitors	Epigenetic inhibitors	BET/bromodomain inhibitor
Buparlisib	BUPARLISIB	Epigenetic inhibitors	Epigenetic inhibitors	BET/bromodomain inhibitor
CDK9_5038	CDK9_5038	Epigenetic inhibitors	Epigenetic inhibitors	CDK/cell-cycle kinase inhibitor
CDK9_5576	CDK9_5576	Epigenetic inhibitors	Epigenetic inhibitors	CDK/cell-cycle kinase inhibitor
CPI-637	CPI-637	Epigenetic inhibitors	Epigenetic inhibitors	Chromatin reader/writer/remodeling inhibitor
CT7033-2	CT7033-2	Epigenetic inhibitors	Epigenetic inhibitors	Histone demethylase inhibitor
Entinostat	ENTINOSTAT	Epigenetic inhibitors	Epigenetic inhibitors	HDAC inhibitor
EPZ004777	EPZ004777	Epigenetic inhibitors	Epigenetic inhibitors	Histone methyltransferase/epigenetic writer inhibitor
EPZ5676	EPZ5676	Epigenetic inhibitors	Epigenetic inhibitors	Histone methyltransferase/epigenetic writer inhibitor
GSK-LSD1	GSK-LSD1	Epigenetic inhibitors	Epigenetic inhibitors	Histone demethylase inhibitor
GSK-LSD1-2HCl	GSK-LSD1-2HCL	Epigenetic inhibitors	Epigenetic inhibitors	Histone demethylase inhibitor
GSK2801	GSK2801	Epigenetic inhibitors	Epigenetic inhibitors	Granular target/pathway: not listed; Chromatin other
GSK343	GSK343	Epigenetic inhibitors	Epigenetic inhibitors	Histone methyltransferase/epigenetic writer inhibitor
GSK591	GSK591	Epigenetic inhibitors	Epigenetic inhibitors	Multitarget receptor tyrosine kinase inhibitor
HKMTI-1-005	HKMTI-1-005	Epigenetic inhibitors	Epigenetic inhibitors	Unclassified GDSC screening compound; manual mechanism lookup recommended
I-BET-762	I-BET-762	Epigenetic inhibitors	Epigenetic inhibitors	BET/bromodomain inhibitor
I-BRD9	I-BRD9	Epigenetic inhibitors	Epigenetic inhibitors	BET/bromodomain inhibitor
ICL-SIRT078	ICL-SIRT078	Epigenetic inhibitors	Epigenetic inhibitors	Other/unclassified mechanism; GDSC target: SIR2; pathway: Other
JQ1	JQ1	Epigenetic inhibitors	Epigenetic inhibitors	BET/bromodomain inhibitor
OF-1	OF-1	Epigenetic inhibitors	Epigenetic inhibitors	Chromatin reader/writer/remodeling inhibitor
OTX015	OTX015	Epigenetic inhibitors	Epigenetic inhibitors	BET/bromodomain inhibitor
PCI-34051	PCI-34051	Epigenetic inhibitors	Epigenetic inhibitors	HDAC inhibitor
PFI-1	PFI-1	Epigenetic inhibitors	Epigenetic inhibitors	BET/bromodomain inhibitor
PFI3	PFI3	Epigenetic inhibitors	Epigenetic inhibitors	Chromatin reader/writer/remodeling inhibitor
Remodelin	REMODELIN	Epigenetic inhibitors	Epigenetic inhibitors	NAT10 acetyltransferase inhibitor / chromatin-nuclear architecture modulator
Romidepsin	ROMIDEPSIN	Epigenetic inhibitors	Epigenetic inhibitors	HDAC inhibitor
RVX-208	RVX-208	Epigenetic inhibitors	Epigenetic inhibitors	BET/bromodomain inhibitor
SGC-CBP30	SGC-CBP30	Epigenetic inhibitors	Epigenetic inhibitors	Chromatin reader/writer/remodeling inhibitor
SGC0946	SGC0946	Epigenetic inhibitors	Epigenetic inhibitors	Histone methyltransferase/epigenetic writer inhibitor
TAF1_5496	TAF1_5496	Epigenetic inhibitors	Epigenetic inhibitors	Chromatin reader/writer/remodeling inhibitor
Taselisib	TASELISIB	Epigenetic inhibitors	Epigenetic inhibitors	BET/bromodomain inhibitor
UNC0379	UNC0379	Epigenetic inhibitors	Epigenetic inhibitors	Histone methyltransferase/epigenetic writer inhibitor
UNC0638	UNC0638	Epigenetic inhibitors	Epigenetic inhibitors	Histone methyltransferase/epigenetic writer inhibitor
Vorinostat	VORINOSTAT	Epigenetic inhibitors	Epigenetic inhibitors	HDAC inhibitor
Bicalutamide	BICALUTAMIDE	Hormone therapy	Hormone therapy	Androgen receptor antagonist / anti-androgen
Fulvestrant	FULVESTRANT	Hormone therapy	Hormone therapy	Estrogen receptor degrader / SERD
GDC0810	GDC0810	Hormone therapy	Hormone therapy	Oral estrogen receptor degrader/modulator; ESR1/ESR2
Tamoxifen	TAMOXIFEN	Hormone therapy	Hormone therapy	Selective estrogen receptor modulator / SERM
AGI-5198	AGI-5198	Metabolic/redox agents	Metabolic/redox agents	Mutant IDH1-R132H metabolic enzyme inhibitor; oncometabolite/2-HG axis; not an RTK
AGI-6780	AGI-6780	Metabolic/redox agents	Metabolic/redox agents	Mutant IDH2-R140Q metabolic enzyme inhibitor; oncometabolite/2-HG axis; not an RTK
alpha-lipoic acid	ALPHA-LIPOIC ACID	Metabolic/redox agents	Metabolic/redox agents	Redox-active mitochondrial cofactor/antioxidant; metabolism/redox agent, not anticancer RTK inhibitor
ascorbate (vitamin C)	ASCORBATE (VITAMIN C)	Metabolic/redox agents	Metabolic/redox agents	Ascorbate/vitamin C redox agent; pharmacologic ascorbate can act through oxidative stress biology; not an RTK inhibitor
