category_label	n_drugs	source_primary_classes
Kinase inhibitors	100	Non-receptor tyrosine kinase inhibitors; Receptor tyrosine kinase inhibitors; Serine/threonine kinase inhibitors
Epigenetic inhibitors	45	Epigenetic inhibitors
Other	34	Other
DNA damage and repair agents	33	Alkylating agents; DNA damage repair inhibitors; Topoisomerase inhibitors
Metabolic/redox agents	14	Metabolic/redox agents
Proapoptotic agents	14	Proapoptotic agents
WNT/HH pathway inhibitors	10	Hedgehog pathway inhibitors; WNT-pathway modulators
Antimetabolites	8	Antimetabolites
Chaperone/protein-homeostasis inhibitors	10	Chaperone/protein-homeostasis inhibitors; Proteasome inhibitors
Antimitotic agents	6	Antimitotic agents
p53/MDM2 pathway	5	p53/MDM2 pathway
Hormone therapy	4	Hormone therapy
Tumor antibiotics	3	Tumor antibiotics
