page_index	cancer_type	metric	metric_label	abs_pearson_r_threshold	barplot_order	drug	pearson_r	abs_pearson_r	group	plot_color	page_tsv_file	response_direction_note
7	THCA	Z_SCORE	GDSC Z-score	0.185	1	SELUMETINIB	-0.895022856301351	0.895022856301351	Serine/threonine kinase inhibitors	#0040FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_07_THCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
7	THCA	Z_SCORE	GDSC Z-score	0.185	2	REFAMETINIB	-0.830568722083406	0.830568722083406	Serine/threonine kinase inhibitors	#0040FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_07_THCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
7	THCA	Z_SCORE	GDSC Z-score	0.185	3	PD0325901	-0.686383335493481	0.686383335493481	Serine/threonine kinase inhibitors	#0040FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_07_THCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
7	THCA	Z_SCORE	GDSC Z-score	0.185	4	PALBOCICLIB	-0.658149209847848	0.658149209847848	Serine/threonine kinase inhibitors	#0040FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_07_THCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
7	THCA	Z_SCORE	GDSC Z-score	0.185	5	SB590885	-0.607410963134695	0.607410963134695	Serine/threonine kinase inhibitors	#0040FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_07_THCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
7	THCA	Z_SCORE	GDSC Z-score	0.185	6	PFI-1	-0.590627297735813	0.590627297735813	Epigenetic inhibitors	#BFFF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_07_THCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
7	THCA	Z_SCORE	GDSC Z-score	0.185	7	TRAMETINIB	-0.536327753828862	0.536327753828862	Serine/threonine kinase inhibitors	#0040FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_07_THCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
7	THCA	Z_SCORE	GDSC Z-score	0.185	8	SCH772984	-0.522370957683124	0.522370957683124	Serine/threonine kinase inhibitors	#0040FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_07_THCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
7	THCA	Z_SCORE	GDSC Z-score	0.185	9	BIBR-1532	-0.482195005140566	0.482195005140566	Other	#00FF80	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_07_THCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
7	THCA	Z_SCORE	GDSC Z-score	0.185	10	MK-2206	-0.434907767741501	0.434907767741501	Serine/threonine kinase inhibitors	#0040FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_07_THCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
7	THCA	Z_SCORE	GDSC Z-score	0.185	11	FORETINIB	-0.432768014503164	0.432768014503164	Receptor tyrosine kinase inhibitors	#0080FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_07_THCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
7	THCA	Z_SCORE	GDSC Z-score	0.185	12	CRIZOTINIB	-0.390201979865365	0.390201979865365	Receptor tyrosine kinase inhibitors	#0080FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_07_THCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
7	THCA	Z_SCORE	GDSC Z-score	0.185	13	GSK343	-0.361227306813497	0.361227306813497	Epigenetic inhibitors	#BFFF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_07_THCA.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
