drug	metric	n	n_cancer_types	n_tissues	beta_ploidy	se_ploidy	t_ploidy	p_ploidy	fdr_ploidy	model_formula	model_status	rank_deficient	skipped_reason	notes
123138	Z_SCORE	490	29	29	0.067249479664648	0.063322670893342	1.06201268386042	0.288787161918309	0.635320987453261	response ~ ploidy + TCGA_DESC	ok	FALSE		
123829	Z_SCORE	490	29	29	0.0575093973755062	0.0654886903494459	0.878157695147629	0.380316586930189	0.727028318147426	response ~ ploidy + TCGA_DESC	ok	FALSE		
150412	Z_SCORE	490	29	29	0.141053311412888	0.0642450803890615	2.19555039169823	0.028622861063213	0.349548496682175	response ~ ploidy + TCGA_DESC	ok	FALSE		
5-azacytidine	Z_SCORE	513	29	29	0.0700562597705054	0.0580547166051388	1.20672813282331	0.228127544095808	0.57031886023952	response ~ ploidy + TCGA_DESC	ok	FALSE		
5-Fluorouracil	Z_SCORE	624	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
50869	Z_SCORE	490	29	29	0.151133693882059	0.0600377754597765	2.51731002230943	0.0121642554007869	0.255449363416524	response ~ ploidy + TCGA_DESC	ok	FALSE		
615590	Z_SCORE	490	29	29	0.11968847295781	0.0617683874400209	1.93769787294562	0.0532717764289962	0.361235100357239	response ~ ploidy + TCGA_DESC	ok	FALSE		
630600	Z_SCORE	490	29	29	0.119227614540481	0.0578739365245138	2.06012622780514	0.03994839962082	0.349548496682175	response ~ ploidy + TCGA_DESC	ok	FALSE		
667880	Z_SCORE	490	29	29	0.105533640801184	0.0611495693164291	1.72582803085794	0.0850498763163885	0.361235100357239	response ~ ploidy + TCGA_DESC	ok	FALSE		
720427	Z_SCORE	490	29	29	0.024677279417824	0.062335221288798	0.395880192732366	0.69237696138216	0.87122995156634	response ~ ploidy + TCGA_DESC	ok	FALSE		
729189	Z_SCORE	490	29	29	0.102982170841402	0.0608476400602674	1.69245957179936	0.0912355241268889	0.361235100357239	response ~ ploidy + TCGA_DESC	ok	FALSE		
741909	Z_SCORE	490	29	29	0.00448326344762163	0.0623087227377829	0.0719524209553899	0.942671045068762	0.969438772521428	response ~ ploidy + TCGA_DESC	ok	FALSE		
743380	Z_SCORE	490	29	29	0.0154982412530849	0.063486337909719	0.244119313908518	0.807247257418419	0.919838340589894	response ~ ploidy + TCGA_DESC	ok	FALSE		
765771	Z_SCORE	490	29	29	-0.049263305561994	0.0608864760647131	-0.809100948946932	0.418875369838029	0.745456166660899	response ~ ploidy + TCGA_DESC	ok	FALSE		
776928	Z_SCORE	489	29	29	0.00316801969756415	0.0623712916647536	0.0507929147049301	0.959512632675921	0.969438772521428	response ~ ploidy + TCGA_DESC	ok	FALSE		
A-366	Z_SCORE	514	29	29	0.057642846688311	0.0583437728998234	0.987986272113121	0.323653016206029	0.66634444513006	response ~ ploidy + TCGA_DESC	ok	FALSE		
ABT737	Z_SCORE	616	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Acetalax	Z_SCORE	490	29	29	0.134361288977708	0.0625174575436097	2.14918031309867	0.032141171555908	0.349548496682175	response ~ ploidy + TCGA_DESC	ok	FALSE		
Afatinib	Z_SCORE	622	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Afuresertib	Z_SCORE	617	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
AGI-5198	Z_SCORE	617	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
AGI-6780	Z_SCORE	570	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
AGK2	Z_SCORE	606	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Alisertib	Z_SCORE	611	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Alpelisib	Z_SCORE	622	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
alpha-lipoic acid	Z_SCORE	514	29	29	-0.0226391565937303	0.0567369035929356	-0.39901995280104	0.690054494228233	0.87122995156634	response ~ ploidy + TCGA_DESC	ok	FALSE		
AMG-319	Z_SCORE	611	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
ascorbate (vitamin C)	Z_SCORE	510	29	29	-0.110216508584128	0.058190478920345	-1.89406429761472	0.0588174004830798	0.361235100357239	response ~ ploidy + TCGA_DESC	ok	FALSE		
AT13148	Z_SCORE	612	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
Avagacestat	Z_SCORE	616	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
