drug	metric	n	n_cancer_types	n_tissues	beta_ploidy	se_ploidy	t_ploidy	p_ploidy	fdr_ploidy	model_formula	model_status	rank_deficient	skipped_reason	notes
123138	Z_SCORE	490	29	29	0.067249479664648	0.063322670893342	1.06201268386042	0.288787161918309	0.635320987453261	response ~ ploidy + TCGA_DESC	ok	FALSE		
123138	LN_IC50	490	29	29	0.0559052643678193	0.052640880624644	1.06201233156512	0.288787321677145	0.648839137858368	response ~ ploidy + TCGA_DESC	ok	FALSE		
123138	AUC	490	29	29	0.000339546501170409	0.000790215205139185	0.429688645526129	0.667623344733721	0.90002635962893	response ~ ploidy + TCGA_DESC	ok	FALSE		
123829	Z_SCORE	490	29	29	0.0575093973755062	0.0654886903494459	0.878157695147629	0.380316586930189	0.727028318147426	response ~ ploidy + TCGA_DESC	ok	FALSE		
123829	LN_IC50	490	29	29	0.0930826391363769	0.10599766298908	0.878157466037399	0.38031671111531	0.727027140235945	response ~ ploidy + TCGA_DESC	ok	FALSE		
123829	AUC	490	29	29	0.003891943709469	0.00487843302159865	0.797785619324465	0.42540654076461	0.827179384820075	response ~ ploidy + TCGA_DESC	ok	FALSE		
150412	Z_SCORE	490	29	29	0.141053311412888	0.0642450803890615	2.19555039169823	0.028622861063213	0.349548496682175	response ~ ploidy + TCGA_DESC	ok	FALSE		
150412	LN_IC50	490	29	29	0.153488820110212	0.0699090208190751	2.19555099344677	0.0286228176565854	0.34954810572693	response ~ ploidy + TCGA_DESC	ok	FALSE		
150412	AUC	490	29	29	0.00531852353855615	0.00236396217608246	2.24983444843858	0.0249314040416952	0.302315178892259	response ~ ploidy + TCGA_DESC	ok	FALSE		
5-azacytidine	Z_SCORE	513	29	29	0.0700562597705054	0.0580547166051388	1.20672813282331	0.228127544095808	0.57031886023952	response ~ ploidy + TCGA_DESC	ok	FALSE		
5-azacytidine	LN_IC50	513	29	29	0.0974352299318183	0.0807432985443132	1.20672838103517	0.228127448563227	0.570318621408068	response ~ ploidy + TCGA_DESC	ok	FALSE		
5-azacytidine	AUC	513	29	29	0.00464705578392718	0.00509678170415046	0.911762765931872	0.362348445563455	0.778509035475109	response ~ ploidy + TCGA_DESC	ok	FALSE		
5-Fluorouracil	Z_SCORE	624	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
5-Fluorouracil	LN_IC50	624	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
5-Fluorouracil	AUC	624	30	30						response ~ ploidy + TCGA_DESC	skipped_sparse_tissue_levels		one or more tissues below tissue_model_min_rows_per_tissue	
50869	Z_SCORE	490	29	29	0.151133693882059	0.0600377754597765	2.51731002230943	0.0121642554007869	0.255449363416524	response ~ ploidy + TCGA_DESC	ok	FALSE		
50869	LN_IC50	490	29	29	0.202749917207538	0.0805422994726141	2.51730976809865	0.012164264056234	0.255449545180915	response ~ ploidy + TCGA_DESC	ok	FALSE		
50869	AUC	490	29	29	0.00770186209394533	0.00264723053678002	2.90940361518856	0.00379666191183111	0.132883166914089	response ~ ploidy + TCGA_DESC	ok	FALSE		
615590	Z_SCORE	490	29	29	0.11968847295781	0.0617683874400209	1.93769787294562	0.0532717764289962	0.361235100357239	response ~ ploidy + TCGA_DESC	ok	FALSE		
615590	LN_IC50	490	29	29	0.0974617306025977	0.0502976760791196	1.93769848231731	0.0532717018161908	0.361234699241812	response ~ ploidy + TCGA_DESC	ok	FALSE		
615590	AUC	490	29	29	0.0012764735945849	0.000873023207541029	1.46213019718026	0.144388359005114	0.606431107821479	response ~ ploidy + TCGA_DESC	ok	FALSE		
630600	Z_SCORE	490	29	29	0.119227614540481	0.0578739365245138	2.06012622780514	0.03994839962082	0.349548496682175	response ~ ploidy + TCGA_DESC	ok	FALSE		
630600	LN_IC50	490	29	29	0.203827199856973	0.0989391577391142	2.06012669315854	0.0399483549402206	0.34954810572693	response ~ ploidy + TCGA_DESC	ok	FALSE		
630600	AUC	490	29	29	0.00676395199844578	0.00447837670739935	1.51035798021861	0.13163869414183	0.600959255864878	response ~ ploidy + TCGA_DESC	ok	FALSE		
667880	Z_SCORE	490	29	29	0.105533640801184	0.0611495693164291	1.72582803085794	0.0850498763163885	0.361235100357239	response ~ ploidy + TCGA_DESC	ok	FALSE		
667880	LN_IC50	490	29	29	0.143433646685298	0.0831100565001356	1.72582780863666	0.0850499163480805	0.361234699241812	response ~ ploidy + TCGA_DESC	ok	FALSE		
667880	AUC	490	29	29	0.00767358527706208	0.00571453976461808	1.3428177234103	0.179993211320325	0.644105786116487	response ~ ploidy + TCGA_DESC	ok	FALSE		
720427	Z_SCORE	490	29	29	0.024677279417824	0.062335221288798	0.395880192732366	0.69237696138216	0.87122995156634	response ~ ploidy + TCGA_DESC	ok	FALSE		
720427	LN_IC50	490	29	29	0.0207375904831767	0.0523835113829933	0.395880114480246	0.692377019072144	0.871229644060451	response ~ ploidy + TCGA_DESC	ok	FALSE		
720427	AUC	490	29	29	-0.000306557322302192	0.000986825297537986	-0.310650044204396	0.756207386938639	0.912664087684564	response ~ ploidy + TCGA_DESC	ok	FALSE		
729189	Z_SCORE	490	29	29	0.102982170841402	0.0608476400602674	1.69245957179936	0.0912355241268889	0.361235100357239	response ~ ploidy + TCGA_DESC	ok	FALSE		
729189	LN_IC50	490	29	29	0.0825863816774806	0.0487966912840353	1.69245863816386	0.0912357021439294	0.361234699241812	response ~ ploidy + TCGA_DESC	ok	FALSE		
729189	AUC	490	29	29	0.000940620477536446	0.000857070291686312	1.09748346974639	0.273004256773737	0.695232425658834	response ~ ploidy + TCGA_DESC	ok	FALSE		
