page_index	cancer_type	metric	metric_label	abs_pearson_r_threshold	barplot_order	drug	pearson_r	abs_pearson_r	group	plot_color	page_tsv_file	response_direction_note
23	LUSC	Z_SCORE	GDSC Z-score	0.185	1	SB590885	-0.721210304006636	0.721210304006636	Serine/threonine kinase inhibitors	#0040FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_23_LUSC.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
23	LUSC	Z_SCORE	GDSC Z-score	0.185	2	AZD8055	-0.691943379475357	0.691943379475357	Serine/threonine kinase inhibitors	#0040FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_23_LUSC.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
23	LUSC	Z_SCORE	GDSC Z-score	0.185	3	TALAZOPARIB	-0.682462630201896	0.682462630201896	DNA damage repair inhibitors	#FFFF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_23_LUSC.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
23	LUSC	Z_SCORE	GDSC Z-score	0.185	4	CDK9_5576	-0.630041241818109	0.630041241818109	Epigenetic inhibitors	#BFFF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_23_LUSC.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
23	LUSC	Z_SCORE	GDSC Z-score	0.185	5	METHOTREXATE	-0.606288078831472	0.606288078831472	Antimetabolites	#FF4000	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_23_LUSC.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
23	LUSC	Z_SCORE	GDSC Z-score	0.185	6	AFATINIB	-0.597132910748332	0.597132910748332	Receptor tyrosine kinase inhibitors	#0080FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_23_LUSC.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
23	LUSC	Z_SCORE	GDSC Z-score	0.185	7	PALBOCICLIB	-0.595672479820243	0.595672479820243	Serine/threonine kinase inhibitors	#0040FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_23_LUSC.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
23	LUSC	Z_SCORE	GDSC Z-score	0.185	8	LAPATINIB	-0.592277123073687	0.592277123073687	Receptor tyrosine kinase inhibitors	#0080FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_23_LUSC.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
23	LUSC	Z_SCORE	GDSC Z-score	0.185	9	ENTINOSTAT	-0.59174897990836	0.59174897990836	Epigenetic inhibitors	#BFFF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_23_LUSC.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
23	LUSC	Z_SCORE	GDSC Z-score	0.185	10	TEMSIROLIMUS	-0.579562996164603	0.579562996164603	Serine/threonine kinase inhibitors	#0040FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_23_LUSC.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
23	LUSC	Z_SCORE	GDSC Z-score	0.185	11	TEMOZOLOMIDE	-0.571629952012521	0.571629952012521	Alkylating agents	#FF0000	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_23_LUSC.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
