normalized_key	gdsc_cell_line_name	gdsc_cell_line_name_raw	canonical_raw_match	normalized_match_count	normalized_match_raw_names	normalized_key_match	match_status
22RV1	22RV1	22RV1	TRUE	1	22RV1	TRUE	matched_by_both
2313287	2313287	23132-87	TRUE	1	2313287	TRUE	matched_by_both
42MGBA	42MGBA	42-MG-BA	TRUE	1	42MGBA	TRUE	matched_by_both
5637	5637	5637	TRUE	1	5637	TRUE	matched_by_both
639V	639V	639-V	TRUE	1	639V	TRUE	matched_by_both
647V	647V	647-V	TRUE	1	647V	TRUE	matched_by_both
697	697	697	TRUE	1	697	TRUE	matched_by_both
769P	769P	769-P	TRUE	1	769P	TRUE	matched_by_both
8305C	8305C	8305C	TRUE	1	8305C	TRUE	matched_by_both
8505C	8505C	8505C	TRUE	1	8505C	TRUE	matched_by_both
8MGBA	8MGBA	8-MG-BA	TRUE	1	8MGBA	TRUE	matched_by_both
A101D	A101D	A101D	TRUE	1	A101D	TRUE	matched_by_both
A172	A172	A172	TRUE	1	A172	TRUE	matched_by_both
A204	A204	A204	TRUE	1	A204	TRUE	matched_by_both
A2058	A2058	A2058	TRUE	1	A2058	TRUE	matched_by_both
A253	A253	A253	TRUE	1	A253	TRUE	matched_by_both
A2780	A2780	A2780	TRUE	1	A2780	TRUE	matched_by_both
A375	A375	A375	TRUE	1	A375	TRUE	matched_by_both
A3KAW	A3KAW	A3-KAW	TRUE	1	A3KAW	TRUE	matched_by_both
A427	A427	A427	TRUE	1	A427	TRUE	matched_by_both
A498	A498	A498	TRUE	1	A498	TRUE	matched_by_both
A4FUK	A4FUK	A4-Fuk	TRUE	1	A4FUK	TRUE	matched_by_both
A549	A549	A549	TRUE	1	A549	TRUE	matched_by_both
A673	A673	A673	TRUE	1	A673	TRUE	matched_by_both
A704	A704	A704	TRUE	1	A704	TRUE	matched_by_both
ABC1	ABC1	ABC-1	TRUE	1	ABC1	TRUE	matched_by_both
ACHN	ACHN	ACHN	TRUE	1	ACHN	TRUE	matched_by_both
AGS	AGS	AGS	TRUE	1	AGS	TRUE	matched_by_both
ALLSIL	ALLSIL	ALL-SIL	TRUE	1	ALLSIL	TRUE	matched_by_both
AM38	AM38	AM-38	TRUE	1	AM38	TRUE	matched_by_both
AMO1	AMO1	AMO-1	TRUE	1	AMO1	TRUE	matched_by_both
AN3CA	AN3CA	AN3-CA	TRUE	1	AN3CA	TRUE	matched_by_both
ASPC1	ASPC1	AsPC-1	TRUE	1	ASPC1	TRUE	matched_by_both
AU565	AU565	AU565	TRUE	1	AU565	TRUE	matched_by_both
BCPAP	BCPAP	B-CPAP	TRUE	1	BCPAP	TRUE	matched_by_both
BECKER	BECKER	Becker	TRUE	1	BECKER	TRUE	matched_by_both
BEN	BEN	BEN	TRUE	1	BEN	TRUE	matched_by_both
BFTC905	BFTC905	BFTC-905	TRUE	1	BFTC905	TRUE	matched_by_both
BFTC909	BFTC909	BFTC-909	TRUE	1	BFTC909	TRUE	matched_by_both
BHT101	BHT101	BHT-101	TRUE	1	BHT101	TRUE	matched_by_both
BHY	BHY	BHY	TRUE	1	BHY	TRUE	matched_by_both
BICR22	BICR22	BICR22	TRUE	1	BICR22	TRUE	matched_by_both
BICR31	BICR31	BICR31	TRUE	1	BICR31	TRUE	matched_by_both
BL41	BL41	BL-41	TRUE	1	BL41	TRUE	matched_by_both
BT20	BT20	BT-20	TRUE	1	BT20	TRUE	matched_by_both
BT474	BT474	BT-474	TRUE	1	BT474	TRUE	matched_by_both
BT483	BT483	BT-483	TRUE	1	BT483	TRUE	matched_by_both
BT549	BT549	BT-549	TRUE	1	BT549	TRUE	matched_by_both
BV173	BV173	BV-173	TRUE	1	BV173	TRUE	matched_by_both
