ecosystem	package	version
system	R	4.5.1
system	Bioconductor	3.21
system	Python	3.12
r	abind	1.4-8
r	sys	3.4.3
r	askpass	1.2.1
r	assertthat	0.2.1
r	cli	3.6.5
r	generics	0.1.4
r	glue	1.8.0
r	rlang	1.1.6
r	lifecycle	1.0.4
r	magrittr	2.0.3
r	utf8	1.2.6
r	vctrs	0.6.5
r	pillar	1.11.0
r	R6	2.6.1
r	pkgconfig	2.0.3
r	tibble	3.3.0
r	withr	3.0.2
r	tidyselect	1.2.1
r	dplyr	1.1.4
r	babelgene	22.9
r	base64enc	0.1-3
r	beeswarm	0.4.0
r	BH	1.87.0-1
r	BiocManager	1.30.26
r	bit	4.6.0
r	bit64	4.6.0-1
r	bitops	1.0-9
r	fastmap	1.2.0
r	cachem	1.1.0
r	digest	0.6.37
r	htmltools	0.5.8.1
r	jquerylib	0.1.4
r	jsonlite	2.0.0
r	memoise	2.0.1
r	mime	0.13
r	fs	1.6.6
r	rappdirs	0.3.3
r	sass	0.4.10
r	bslib	0.9.0
r	Cairo	1.6-2
r	caTools	1.18.3
r	rematch	2.0.0
r	cellranger	1.1.0
r	clipr	0.8.0
r	commonmark	2.0.0
r	gtable	0.3.6
r	isoband	0.2.7
r	S7	0.2.0
r	farver	2.1.2
r	labeling	0.4.3
r	RColorBrewer	1.1-3
r	viridisLite	0.4.2
r	scales	1.4.0
r	ggplot2	4.0.2
r	cowplot	1.2.0
r	cpp11	0.5.2
r	crayon	1.5.3
r	lazyeval	0.2.2
r	crosstalk	1.2.1
r	curl	6.4.0
r	data.table	1.17.8
r	deldir	2.0-4
r	Rcpp	1.1.0
r	sitmo	2.0.2
r	dqrng	0.4.1
r	evaluate	1.0.4
r	fastmatch	1.1-6
r	fitdistrplus	1.2-4
r	FNN	1.1.4.1
r	fontawesome	0.5.3
r	formatR	1.14
r	lambda.r	1.2.4
r	futile.options	1.0.1
r	futile.logger	1.4.3
r	globals	0.18.0
r	listenv	0.9.1
r	parallelly	1.45.1
r	future	1.67.0
r	future.apply	1.20.0
r	vipor	0.4.7
r	ggbeeswarm	0.7.2
r	png	0.1-8
r	systemfonts	1.3.1
r	stringi	1.8.7
r	textshaping	1.0.1
r	ragg	1.4.0
r	ggrastr	1.0.2
r	ggrepel	0.9.6
r	ggridges	0.5.6
r	goftest	1.2-3
r	gtools	3.9.5
r	gplots	3.2.0
r	gridExtra	2.3
r	hdf5r	1.3.12
r	rprojroot	2.1.1
r	here	1.0.1
r	xfun	0.53
r	highr	0.11
r	hms	1.1.3
r	yaml	2.3.10
r	knitr	1.50
r	tinytex	0.57
r	rmarkdown	2.29
r	htmlwidgets	1.6.4
r	later	1.4.2
r	promises	1.3.3
r	httpuv	1.6.16
r	openssl	2.3.3
r	httr	1.4.7
r	ica	1.0-3
r	igraph	2.1.4
r	irlba	2.3.5.1
r	RcppTOML	0.2.3
r	reticulate	1.43.0
r	leiden	0.4.3.1
r	zoo	1.8-14
r	lmtest	0.9-40
r	locfit	1.5-9.12
r	matrixStats	1.5.0
r	xtable	1.8-4
r	sourcetools	0.1.7-1
r	shiny	1.11.1
r	miniUI	0.1.2
r	msigdbr	25.1.1
r	pak	0.9.0
r	patchwork	1.3.1
r	pbapply	1.7-4
r	pheatmap	1.0.13
r	purrr	1.1.0
r	stringr	1.5.1
r	tidyr	1.3.1
r	plotly	4.11.0
r	plyr	1.8.9
r	polyclip	1.10-7
r	prettyunits	1.2.0
r	progress	1.2.3
r	progressr	0.15.1
r	RANN	2.6.2
r	RcppAnnoy	0.0.22
r	RcppArmadillo	14.6.0-1
r	RcppEigen	0.3.4.0.2
r	RcppML	0.3.7
r	RcppProgress	0.4.2
r	RCurl	1.98-1.17
r	tzdb	0.5.0
r	vroom	1.6.5
r	readr	2.1.5
r	readxl	1.4.5
r	reshape2	1.4.4
r	XML	3.99-0.18
r	rjson	0.2.23
r	restfulr	0.0.16
r	ROCR	1.0-11
r	RSpectra	0.16-2
r	rsvd	1.0.5
r	Rtsne	0.17
r	scattermore	1.2
r	sctransform	0.4.2
r	sp	2.2-0
r	SeuratObject	4.1.4
r	spatstat.utils	3.1-5
r	spatstat.data	3.1-8
r	spatstat.univar	3.1-4
r	spatstat.geom	3.5-0
r	spatstat.random	3.4-1
r	tensor	1.5.1
r	spatstat.sparse	3.1-0
r	spatstat.explore	3.5-2
r	uwot	0.2.3
r	Seurat	4.4.0
r	snow	0.4-4
r	statmod	1.5.0
r	viridis	0.6.5
r	xgboost	1.7.11.1
r	xml2	1.3.8
recommended	cluster	2.1.8.1
recommended	codetools	0.2-20
recommended	KernSmooth	2.23-26
recommended	lattice	0.22-7
recommended	MASS	7.3-65
recommended	Matrix	1.7-3
recommended	nlme	3.1-168
recommended	survival	3.8-3
bioc	scDblFinder	1.22.0
bioc	SingleCellExperiment	1.30.1
bioc	EnhancedVolcano	1.26.0
bioc	fgsea	1.34.2
