ecosystem	package	version
r	abind	1.4-8
r	actuar	3.3-7
r	adbcdrivermanager	0.23.0-2
r	AER	1.2-17
r	alabaster.base	1.6.1
r	alabaster.matrix	1.6.1
r	alabaster.ranges	1.6.0
r	alabaster.schemas	1.6.0
r	alabaster.se	1.6.0
r	alfakR	0.0.1.000
r	alluvial	0.1-2
r	annotate	1.80.0
r	AnnotationDbi	1.68.0
r	AnnotationFilter	1.30.0
r	AnnotationHub	3.14.0
r	ape	5.8-1
r	aplot	0.2.9
r	AsioHeaders	1.30.2-1
r	askpass	1.2.1
r	assertthat	0.2.1
r	assorthead	1.4.0
r	AUC	0.3.2
r	audio	0.1-12
r	babelgene	22.9
r	backports	1.5.0
r	base	4.5.0
r	base64enc	0.1-6
r	batchelor	1.26.0
r	bbmle	1.0.25.1
r	bdsmatrix	1.3-7
r	beachmat	2.26.0
r	beepr	2.0
r	beeswarm	0.4.0
r	bench	1.1.4
r	betareg	3.2-5
r	BH	1.90.0-1
r	BiasedUrn	2.0.12
r	biglm	0.9-3
r	Biobase	2.70.0
r	BiocFileCache	2.14.0
r	BiocGenerics	0.56.0
r	BiocIO	1.16.0
r	BiocManager	1.30.27
r	BiocNeighbors	2.4.0
r	BiocParallel	1.44.0
r	BiocSingular	1.26.1
r	BiocVersion	3.22.0
r	biomaRt	2.62.1
r	Biostrings	2.74.1
r	bit	4.6.0
r	bit64	4.8.2
r	bitops	1.0-9
r	blob	1.2.4
r	bluster	1.16.0
r	bookdown	0.47
r	boot	1.3-31
r	BPCells	0.3.1
r	brew	1.0-10
r	brio	1.1.5
r	broom	1.0.8
r	broom.mixed	0.2.9.7
r	BSgenome	1.74.0
r	BSgenome.Hsapiens.UCSC.hg38	1.4.5
r	bslib	0.11.0
r	bspm	0.5.7
r	btergm	1.11.1
r	ca	0.71.1
r	cachem	1.1.0
r	Cairo	1.7-0
r	callr	3.7.6
r	car	3.1-3
r	carData	3.0-5
r	caret	7.0-1
r	caTools	1.18.3
r	celldex	1.16.0
r	cellranger	1.1.0
r	checkmate	2.3.4
r	circlize	0.4.16
r	class	7.3-23
r	classInt	0.4-11
r	cli	3.6.6
r	clipr	0.8.1
r	clock	0.7.3
r	clue	0.3-66
r	cluster	2.1.8.1
r	cmprsk	2.2-12
r	CNEr	1.42.0
