figure	panel	asset_path	source_file	source_kind	generated_by	command	input_data	result_run_dir	run_id	caption_role	asset_status	not_regenerated_reason	local_provenance_path	citation_or_uri	notes
Figure7	7A	figures/Figure7/panel_7A_day17_tgi_calculation.pdf	figures/Figure7/panel_7A_day17_tgi_calculation.pdf	generated_panel	Manager.sh	materialize_figure_assets.py	figures/Figure7/panel_7A_day17_tgi_calculation.pdf	figures/Figure7	20260731_figure7_ak_reviewed_v3	Tumor-growth trajectories explaining the Day-17 TGI calculation	generated				materialization_operation_id=20260731_figure7_ak_reviewed_v3;validated_source_file=Results/in-vivo/figure7/runs/20260731_figure7_ak_reviewed_v3_figure7/figures/panel_7A_day17_tgi_calculation.pdf;validated_source_run=Results/in-vivo/figure7/runs/20260731_figure7_ak_reviewed_v3_figure7;validated_source_sha256=1692b6e14d0888abe9e3bb958ef4c2193d2e5a51983b71a74329cfb0f15f855d
Figure7	7A-7K_composite	figures/Figure7/Figure7_reviewed_GRCh.png	figures/Figure7/Figure7_reviewed_GRCh.png	generated_panel	Manager.sh	materialize_figure_assets.py	figures/Figure7/Figure7_reviewed_GRCh.png	figures/Figure7	20260731_figure7_ak_reviewed_v3	Main Figure 7 A-K composite assembled in first-citation order	generated				materialization_operation_id=20260731_figure7_ak_reviewed_v3;validated_source_file=Results/in-vivo/figure7/runs/20260731_figure7_ak_reviewed_v3_figure7/figures/Figure7_reviewed_GRCh.png;validated_source_run=Results/in-vivo/figure7/runs/20260731_figure7_ak_reviewed_v3_figure7;validated_source_sha256=670d35f39d393f45045b5c1203c99ad33ef9a0398ce8e5b3cab680bcccc7a36e
Figure7	7A_png	figures/Figure7/panel_7A_day17_tgi_calculation.png	figures/Figure7/panel_7A_day17_tgi_calculation.png	generated_panel	Manager.sh	materialize_figure_assets.py	figures/Figure7/panel_7A_day17_tgi_calculation.png	figures/Figure7	20260731_figure7_ak_reviewed_v3	PNG derivative of the Day-17 TGI calculation panel	generated				materialization_operation_id=20260731_figure7_ak_reviewed_v3;validated_source_file=Results/in-vivo/figure7/runs/20260731_figure7_ak_reviewed_v3_figure7/figures/panel_7A_day17_tgi_calculation.png;validated_source_run=Results/in-vivo/figure7/runs/20260731_figure7_ak_reviewed_v3_figure7;validated_source_sha256=c687de697b52aadd0d8596a6dce70c037647efa0c70d91918294d43f6d9cff13
Figure7	7B	figures/Figure7/panel_7B_cellcycle_selected_ecdf_comparisons.pdf	figures/Figure7/panel_7B_cellcycle_selected_ecdf_comparisons.pdf	generated_panel	Manager.sh	materialize_figure_assets.py	figures/Figure7/panel_7B_cellcycle_selected_ecdf_comparisons.pdf	figures/Figure7	20260731_figure7_ak_reviewed_v3	Selected CellCycle mean-ECDF comparisons	generated				materialization_operation_id=20260731_figure7_ak_reviewed_v3;validated_source_file=Results/in-vivo/figure7/runs/20260731_figure7_ak_reviewed_v3_figure7/figures/panel_7B_cellcycle_selected_ecdf_comparisons.pdf;validated_source_run=Results/in-vivo/figure7/runs/20260731_figure7_ak_reviewed_v3_figure7;validated_source_sha256=f025959c3ec3b2aea6b1f09c6bd18d3e92484f56b6afa91c7de4f9ee0fd0f0e4
Figure7	7B_png	figures/Figure7/panel_7B_cellcycle_selected_ecdf_comparisons.png	figures/Figure7/panel_7B_cellcycle_selected_ecdf_comparisons.png	generated_panel	Manager.sh	materialize_figure_assets.py	figures/Figure7/panel_7B_cellcycle_selected_ecdf_comparisons.png	figures/Figure7	20260731_figure7_ak_reviewed_v3	PNG derivative of the selected CellCycle mean-ECDF panel	generated				materialization_operation_id=20260731_figure7_ak_reviewed_v3;validated_source_file=Results/in-vivo/figure7/runs/20260731_figure7_ak_reviewed_v3_figure7/figures/panel_7B_cellcycle_selected_ecdf_comparisons.png;validated_source_run=Results/in-vivo/figure7/runs/20260731_figure7_ak_reviewed_v3_figure7;validated_source_sha256=5ea21a6c8e31fb028006113c0898541e264b2ec82216ef237cc8744205c083a2
Figure7	7C	figures/Figure7/panel_7C_day17_tgi_by_initial_ploidy.pdf	figures/Figure7/panel_7C_day17_tgi_by_initial_ploidy.pdf	generated_panel	Manager.sh	materialize_figure_assets.py	figures/Figure7/panel_7C_day17_tgi_by_initial_ploidy.pdf	figures/Figure7	20260731_figure7_ak_reviewed_v3	Day-17 TGI in initial 2N versus 4N treated tumors	generated				materialization_operation_id=20260731_figure7_ak_reviewed_v3;validated_source_file=Results/in-vivo/figure7/runs/20260731_figure7_ak_reviewed_v3_figure7/figures/panel_7C_day17_tgi_by_initial_ploidy.pdf;validated_source_run=Results/in-vivo/figure7/runs/20260731_figure7_ak_reviewed_v3_figure7;validated_source_sha256=5736386321643535f2e7e23a1a6072f99c3ba0b0991dccbe586027fdce563a21
Figure7	7C_png	figures/Figure7/panel_7C_day17_tgi_by_initial_ploidy.png	figures/Figure7/panel_7C_day17_tgi_by_initial_ploidy.png	generated_panel	Manager.sh	materialize_figure_assets.py	figures/Figure7/panel_7C_day17_tgi_by_initial_ploidy.png	figures/Figure7	20260731_figure7_ak_reviewed_v3	PNG derivative of the initial-ploidy Day-17 TGI panel	generated				materialization_operation_id=20260731_figure7_ak_reviewed_v3;validated_source_file=Results/in-vivo/figure7/runs/20260731_figure7_ak_reviewed_v3_figure7/figures/panel_7C_day17_tgi_by_initial_ploidy.png;validated_source_run=Results/in-vivo/figure7/runs/20260731_figure7_ak_reviewed_v3_figure7;validated_source_sha256=47ad91408e8fea5b1cbb48c7d3aa578fb648c558931b19817804c0883a4e8baa
Figure7	7D	figures/Figure7/panel_7D_day17_tgi_vs_centered_ecdf_shift.pdf	figures/Figure7/panel_7D_day17_tgi_vs_centered_ecdf_shift.pdf	generated_panel	Manager.sh	materialize_figure_assets.py	figures/Figure7/panel_7D_day17_tgi_vs_centered_ecdf_shift.pdf	figures/Figure7	20260731_figure7_ak_reviewed_v3	Within-dose-centered TGI and CellCycle ECDF-shift association	generated				materialization_operation_id=20260731_figure7_ak_reviewed_v3;validated_source_file=Results/in-vivo/figure7/runs/20260731_figure7_ak_reviewed_v3_figure7/figures/panel_7D_day17_tgi_vs_centered_ecdf_shift.pdf;validated_source_run=Results/in-vivo/figure7/runs/20260731_figure7_ak_reviewed_v3_figure7;validated_source_sha256=a00ed3a87090fe8c4f88f53f5421f722ccff3c8833bf96a2e0860657f9be8244
Figure7	7D_png	figures/Figure7/panel_7D_day17_tgi_vs_centered_ecdf_shift.png	figures/Figure7/panel_7D_day17_tgi_vs_centered_ecdf_shift.png	generated_panel	Manager.sh	materialize_figure_assets.py	figures/Figure7/panel_7D_day17_tgi_vs_centered_ecdf_shift.png	figures/Figure7	20260731_figure7_ak_reviewed_v3	PNG derivative of the centered ECDF-shift association panel	generated				materialization_operation_id=20260731_figure7_ak_reviewed_v3;validated_source_file=Results/in-vivo/figure7/runs/20260731_figure7_ak_reviewed_v3_figure7/figures/panel_7D_day17_tgi_vs_centered_ecdf_shift.png;validated_source_run=Results/in-vivo/figure7/runs/20260731_figure7_ak_reviewed_v3_figure7;validated_source_sha256=f6e1c6fb02f969c0eafe8e78757c13157065772d5300024afc69ccaa3edcf2a4
Figure7	7E	figures/Figure7/panel_7E_day17_tgi_vs_mean_etp.pdf	figures/Figure7/panel_7E_day17_tgi_vs_mean_etp.pdf	generated_panel	Manager.sh	materialize_figure_assets.py	figures/Figure7/panel_7E_day17_tgi_vs_mean_etp.pdf	figures/Figure7	20260731_figure7_ak_reviewed_v3	Day-17 TGI versus sample mean endpoint ploidy	generated				materialization_operation_id=20260731_figure7_ak_reviewed_v3;validated_source_file=Results/in-vivo/figure7/runs/20260731_figure7_ak_reviewed_v3_figure7/figures/panel_7E_day17_tgi_vs_mean_etp.pdf;validated_source_run=Results/in-vivo/figure7/runs/20260731_figure7_ak_reviewed_v3_figure7;validated_source_sha256=cb9882efdfada57102438057a603208aa6acd74c80c968e813bc948418170258
