figure,panel,subpanel_png,x_in,y_in,width_in,height_in,sx,sy,x_npc,y_npc,width_npc,height_npc,layout_width_in,layout_height_in
Figure 7,a,figures/Figure7/polishing/subpanels/Figure7_A.png,0.142000,9.445,4.450179,1.20,1,1,0.020000,0.887271,0.626786,0.112729,7.1,10.645
Figure 7,b,figures/Figure7/polishing/subpanels/Figure7_B.png,4.592179,9.445,2.472321,1.20,1,1,0.646786,0.887271,0.348214,0.112729,7.1,10.645
Figure 7,c,figures/Figure7/polishing/subpanels/Figure7_C.png,0.142000,8.095,2.225089,1.35,1,1,0.020000,0.760451,0.313393,0.126820,7.1,10.645
Figure 7,d,figures/Figure7/polishing/subpanels/Figure7_D.png,2.367089,8.095,2.472321,1.35,1,1,0.333393,0.760451,0.348214,0.126820,7.1,10.645
Figure 7,e,figures/Figure7/polishing/subpanels/Figure7_E.png,4.839411,8.095,2.225089,1.35,1,1,0.681607,0.760451,0.313393,0.126820,7.1,10.645
Figure 7,f,figures/Figure7/polishing/subpanels/Figure7_F.png,0.142000,5.645,2.472321,2.45,1,1,0.020000,0.530296,0.348214,0.230155,7.1,10.645
Figure 7,g,figures/Figure7/polishing/subpanels/Figure7_G.png,2.614321,5.645,4.450179,2.45,1,1,0.368214,0.530296,0.626786,0.230155,7.1,10.645
Figure 7,h,figures/Figure7/polishing/subpanels/Figure7_H.png,0.142000,4.195,6.922500,1.45,1,1,0.020000,0.394082,0.975000,0.136214,7.1,10.645
Figure 7,i,figures/Figure7/polishing/subpanels/Figure7_I.png,0.142000,1.450,2.719554,2.745,1,1,0.020000,0.136214,0.383036,0.257868,7.1,10.645
Figure 7,j,figures/Figure7/polishing/subpanels/Figure7_J.png,2.861554,1.450,4.202946,2.745,1,1,0.403036,0.136214,0.591964,0.257868,7.1,10.645
Figure 7,k,figures/Figure7/polishing/subpanels/Figure7_K.png,0.142000,0.000,3.461250,1.45,1,1,0.020000,0.000000,0.487500,0.136214,7.1,10.645
Figure 7,l,figures/Figure7/polishing/subpanels/Figure7_L.png,3.603250,0.000,3.461250,1.45,1,1,0.507500,0.000000,0.487500,0.136214,7.1,10.645
