figure	panel	asset_path	source_file	source_kind	generated_by	command	input_data	result_run_dir	run_id	caption_role	asset_status	not_regenerated_reason	local_provenance_path	citation_or_uri	notes
Figure7_Supplement	7A	figures/Figure7_Supplement/panel_7A_day24_tgi_calculation.pdf	figures/Figure7_Supplement/panel_7A_day24_tgi_calculation.pdf	generated_panel	Manager.sh	materialize_figure_assets.py	figures/Figure7_Supplement/panel_7A_day24_tgi_calculation.pdf	figures/Figure7_Supplement	20260801_qc_curated_day24_v3	Tumor-growth trajectories explaining the Day-24 TGI calculation	generated				materialization_operation_id=20260801_qc_curated_day24_v3_materialize;validated_source_file=Results/in-vivo/figure7/runs/20260801_qc_curated_day24_v3_figure7/figures/panel_7A_day24_tgi_calculation.pdf;validated_source_run=Results/in-vivo/figure7/runs/20260801_qc_curated_day24_v3_figure7;validated_source_sha256=6e3316618dc06a27ab4954a0cbe8b1cefc90ae493d57330cd1814ced0e09a949
Figure7_Supplement	7A-7K_composite	figures/Figure7_Supplement/Figure7_reviewed_GRCh.png	figures/Figure7_Supplement/Figure7_reviewed_GRCh.png	generated_panel	Manager.sh	materialize_figure_assets.py	figures/Figure7_Supplement/Figure7_reviewed_GRCh.png	figures/Figure7_Supplement	20260801_qc_curated_day24_v3	Main Figure 7 A-K composite assembled in first-citation order	generated				materialization_operation_id=20260801_qc_curated_day24_v3_materialize;validated_source_file=Results/in-vivo/figure7/runs/20260801_qc_curated_day24_v3_figure7/figures/Figure7_reviewed_GRCh.png;validated_source_run=Results/in-vivo/figure7/runs/20260801_qc_curated_day24_v3_figure7;validated_source_sha256=c15d5c87739180de3e6ca5a8fe875cb1d182331f332399b3f720c34ff23a6c8d
Figure7_Supplement	7A_png	figures/Figure7_Supplement/panel_7A_day24_tgi_calculation.png	figures/Figure7_Supplement/panel_7A_day24_tgi_calculation.png	generated_panel	Manager.sh	materialize_figure_assets.py	figures/Figure7_Supplement/panel_7A_day24_tgi_calculation.png	figures/Figure7_Supplement	20260801_qc_curated_day24_v3	PNG derivative of the Day-24 TGI calculation panel	generated				materialization_operation_id=20260801_qc_curated_day24_v3_materialize;validated_source_file=Results/in-vivo/figure7/runs/20260801_qc_curated_day24_v3_figure7/figures/panel_7A_day24_tgi_calculation.png;validated_source_run=Results/in-vivo/figure7/runs/20260801_qc_curated_day24_v3_figure7;validated_source_sha256=ac56651eec09949323e7eefda909ee5850162c1f24ba5c103c87d6d3f7fd1daa
Figure7_Supplement	7B	figures/Figure7_Supplement/panel_7B_cellcycle_selected_ecdf_comparisons.pdf	figures/Figure7_Supplement/panel_7B_cellcycle_selected_ecdf_comparisons.pdf	generated_panel	Manager.sh	materialize_figure_assets.py	figures/Figure7_Supplement/panel_7B_cellcycle_selected_ecdf_comparisons.pdf	figures/Figure7_Supplement	20260801_qc_curated_day24_v3	Selected CellCycle mean-ECDF comparisons	generated				materialization_operation_id=20260801_qc_curated_day24_v3_materialize;validated_source_file=Results/in-vivo/figure7/runs/20260801_qc_curated_day24_v3_figure7/figures/panel_7B_cellcycle_selected_ecdf_comparisons.pdf;validated_source_run=Results/in-vivo/figure7/runs/20260801_qc_curated_day24_v3_figure7;validated_source_sha256=985027d1924d0256be94e28501a8670ed4f406f8861aadf9a6448a203aa75668
Figure7_Supplement	7B_png	figures/Figure7_Supplement/panel_7B_cellcycle_selected_ecdf_comparisons.png	figures/Figure7_Supplement/panel_7B_cellcycle_selected_ecdf_comparisons.png	generated_panel	Manager.sh	materialize_figure_assets.py	figures/Figure7_Supplement/panel_7B_cellcycle_selected_ecdf_comparisons.png	figures/Figure7_Supplement	20260801_qc_curated_day24_v3	PNG derivative of the selected CellCycle mean-ECDF panel	generated				materialization_operation_id=20260801_qc_curated_day24_v3_materialize;validated_source_file=Results/in-vivo/figure7/runs/20260801_qc_curated_day24_v3_figure7/figures/panel_7B_cellcycle_selected_ecdf_comparisons.png;validated_source_run=Results/in-vivo/figure7/runs/20260801_qc_curated_day24_v3_figure7;validated_source_sha256=5ea21a6c8e31fb028006113c0898541e264b2ec82216ef237cc8744205c083a2
Figure7_Supplement	7C	figures/Figure7_Supplement/panel_7C_day24_tgi_by_initial_ploidy.pdf	figures/Figure7_Supplement/panel_7C_day24_tgi_by_initial_ploidy.pdf	generated_panel	Manager.sh	materialize_figure_assets.py	figures/Figure7_Supplement/panel_7C_day24_tgi_by_initial_ploidy.pdf	figures/Figure7_Supplement	20260801_qc_curated_day24_v3	Day-24 TGI in initial 2N versus 4N treated tumors	generated				materialization_operation_id=20260801_qc_curated_day24_v3_materialize;validated_source_file=Results/in-vivo/figure7/runs/20260801_qc_curated_day24_v3_figure7/figures/panel_7C_day24_tgi_by_initial_ploidy.pdf;validated_source_run=Results/in-vivo/figure7/runs/20260801_qc_curated_day24_v3_figure7;validated_source_sha256=e3caabe87b55329cf9053bbc7f057841a762da6d3e908ad3a5ddbe4ff59822eb
Figure7_Supplement	7C_png	figures/Figure7_Supplement/panel_7C_day24_tgi_by_initial_ploidy.png	figures/Figure7_Supplement/panel_7C_day24_tgi_by_initial_ploidy.png	generated_panel	Manager.sh	materialize_figure_assets.py	figures/Figure7_Supplement/panel_7C_day24_tgi_by_initial_ploidy.png	figures/Figure7_Supplement	20260801_qc_curated_day24_v3	PNG derivative of the initial-ploidy Day-24 TGI panel	generated				materialization_operation_id=20260801_qc_curated_day24_v3_materialize;validated_source_file=Results/in-vivo/figure7/runs/20260801_qc_curated_day24_v3_figure7/figures/panel_7C_day24_tgi_by_initial_ploidy.png;validated_source_run=Results/in-vivo/figure7/runs/20260801_qc_curated_day24_v3_figure7;validated_source_sha256=6bd481834bf8b3cc0833bcb2b81f3300abcdd888ab84ee58f923371e2887b8ef
Figure7_Supplement	7D	figures/Figure7_Supplement/panel_7D_day24_tgi_vs_centered_ecdf_shift.pdf	figures/Figure7_Supplement/panel_7D_day24_tgi_vs_centered_ecdf_shift.pdf	generated_panel	Manager.sh	materialize_figure_assets.py	figures/Figure7_Supplement/panel_7D_day24_tgi_vs_centered_ecdf_shift.pdf	figures/Figure7_Supplement	20260801_qc_curated_day24_v3	Within-dose-centered TGI and CellCycle ECDF-shift association	generated				materialization_operation_id=20260801_qc_curated_day24_v3_materialize;validated_source_file=Results/in-vivo/figure7/runs/20260801_qc_curated_day24_v3_figure7/figures/panel_7D_day24_tgi_vs_centered_ecdf_shift.pdf;validated_source_run=Results/in-vivo/figure7/runs/20260801_qc_curated_day24_v3_figure7;validated_source_sha256=55d1f13ed8d210f9209afd032d47e2669008f45731bb1fc2087c08e9cdc773b0
Figure7_Supplement	7D_png	figures/Figure7_Supplement/panel_7D_day24_tgi_vs_centered_ecdf_shift.png	figures/Figure7_Supplement/panel_7D_day24_tgi_vs_centered_ecdf_shift.png	generated_panel	Manager.sh	materialize_figure_assets.py	figures/Figure7_Supplement/panel_7D_day24_tgi_vs_centered_ecdf_shift.png	figures/Figure7_Supplement	20260801_qc_curated_day24_v3	PNG derivative of the centered ECDF-shift association panel	generated				materialization_operation_id=20260801_qc_curated_day24_v3_materialize;validated_source_file=Results/in-vivo/figure7/runs/20260801_qc_curated_day24_v3_figure7/figures/panel_7D_day24_tgi_vs_centered_ecdf_shift.png;validated_source_run=Results/in-vivo/figure7/runs/20260801_qc_curated_day24_v3_figure7;validated_source_sha256=6e09a6f24d2753fa639a5947de211cc4e1ae8f85bf11eb75e9ed4df14fd5c179
Figure7_Supplement	7E	figures/Figure7_Supplement/panel_7E_day24_tgi_vs_mean_etp.pdf	figures/Figure7_Supplement/panel_7E_day24_tgi_vs_mean_etp.pdf	generated_panel	Manager.sh	materialize_figure_assets.py	figures/Figure7_Supplement/panel_7E_day24_tgi_vs_mean_etp.pdf	figures/Figure7_Supplement	20260801_qc_curated_day24_v3	Day-24 TGI versus within-origin standardized terminal postprocessed CN score, adjusted for origin and dose	generated				materialization_operation_id=20260801_qc_curated_day24_v3_materialize;validated_source_file=Results/in-vivo/figure7/runs/20260801_qc_curated_day24_v3_figure7/figures/panel_7E_day24_tgi_vs_mean_etp.pdf;validated_source_run=Results/in-vivo/figure7/runs/20260801_qc_curated_day24_v3_figure7;validated_source_sha256=7de20d0f4018e7f2a8db5efa068f34fb6008373b15b366013d6df7a3ffa16462
Figure7_Supplement	7E_png	figures/Figure7_Supplement/panel_7E_day24_tgi_vs_mean_etp.png	figures/Figure7_Supplement/panel_7E_day24_tgi_vs_mean_etp.png	generated_panel	Manager.sh	materialize_figure_assets.py	figures/Figure7_Supplement/panel_7E_day24_tgi_vs_mean_etp.png	figures/Figure7_Supplement	20260801_qc_curated_day24_v3	PNG derivative of the adjusted terminal CN-score association panel	generated				materialization_operation_id=20260801_qc_curated_day24_v3_materialize;validated_source_file=Results/in-vivo/figure7/runs/20260801_qc_curated_day24_v3_figure7/figures/panel_7E_day24_tgi_vs_mean_etp.png;validated_source_run=Results/in-vivo/figure7/runs/20260801_qc_curated_day24_v3_figure7;validated_source_sha256=42a2746508e55e03e4ddf22534a10235628c98306d9f9e095bd41dd110d64d78
Figure7_Supplement	7F	figures/Figure7_Supplement/panel_7F_pseudotime_state_pathway_activity.pdf	figures/Figure7_Supplement/panel_7F_pseudotime_state_pathway_activity.pdf	generated_panel	Manager.sh	materialize_figure_assets.py	figures/Figure7_Supplement/panel_7F_pseudotime_state_pathway_activity.pdf	figures/Figure7_Supplement	20260801_qc_curated_day24_v3	Pathway activity across the accumulated CellCycle pseudotime state	generated				materialization_operation_id=20260801_qc_curated_day24_v3_materialize;validated_source_file=Results/in-vivo/figure7/runs/20260801_qc_curated_day24_v3_figure7/figures/panel_7F_pseudotime_state_pathway_activity.pdf;validated_source_run=Results/in-vivo/figure7/runs/20260801_qc_curated_day24_v3_figure7;validated_source_sha256=6f521250edbd5ebf2ec1339a8904e9da76c644b3244b1124e79ffcaf595fb764
Figure7_Supplement	7F_png	figures/Figure7_Supplement/panel_7F_pseudotime_state_pathway_activity.png	figures/Figure7_Supplement/panel_7F_pseudotime_state_pathway_activity.png	generated_panel	Manager.sh	materialize_figure_assets.py	figures/Figure7_Supplement/panel_7F_pseudotime_state_pathway_activity.png	figures/Figure7_Supplement	20260801_qc_curated_day24_v3	PNG derivative of the pseudotime state-pathway activity panel	generated				materialization_operation_id=20260801_qc_curated_day24_v3_materialize;validated_source_file=Results/in-vivo/figure7/runs/20260801_qc_curated_day24_v3_figure7/figures/panel_7F_pseudotime_state_pathway_activity.png;validated_source_run=Results/in-vivo/figure7/runs/20260801_qc_curated_day24_v3_figure7;validated_source_sha256=a84e8cfdf92832ca5ed245fdd9652dbfa2f5ae6ff7a9bffe07bf7defa7505ea1
